seed,arm,analysis,context,view,timing_label,target,variant,model,population,clinical_contract,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,delta_auroc_vs_C+F+R0,delta_auprc_vs_C+F+R0,brier_improvement_vs_C+F+R0,delta_auroc_vs_C+F,delta_auprc_vs_C+F,brier_improvement_vs_C+F,timing,delta_auroc_vs_cf_r0,delta_auroc
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T2,,pCR,NONE,C+F,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.726106346483705,0.5400010651611841,0.6954545454545455,0.1887354938947084,0.023636363636363567,0.048054130926160454,0.014408981290304018,0.0,0.0,0.0,T0-T2,0.023636363636363567,0.023636363636363567
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T2,,pCR,R0,C+F+R0,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.7024699828473414,0.4919469342350236,0.6476843910806175,0.2031444751850124,0.0,0.0,0.0,-0.023636363636363567,-0.048054130926160454,-0.014408981290304018,T0-T2,0.0,0.0
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T2,,pCR,R1,C+F+R1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.7184562607204117,0.5123037677956912,0.6368782161234992,0.1987800037608188,0.015986277873070276,0.020356833560667587,0.0043644714241936056,-0.007650085763293291,-0.027697297365492868,-0.010044509866110413,T0-T2,0.015986277873070276,0.015986277873070276
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T2,,pCR,R2,C+F+R2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.7067238421955403,0.48637342410272677,0.6343910806174957,0.20393396939648537,0.004253859348198885,-0.005573510132296844,-0.000789494211472952,-0.01938250428816468,-0.0536276410584573,-0.01519847550177697,T0-T2,0.004253859348198885,0.004253859348198885
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T2,,pCR,R3,C+F+R3,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6860720411663808,0.47267699013528464,0.6316466552315609,0.20802105934003512,-0.016397941680960648,-0.019269944099738978,-0.004876584155022706,-0.040034305317324215,-0.06732407502589943,-0.019285565445326724,T0-T2,-0.016397941680960648,-0.016397941680960648
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T2,,pCR,R4,C+F+R4,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.7046998284734134,0.4853703180713484,0.628902229845626,0.21037956223071685,0.00222984562607198,-0.00657661616367522,-0.007235087045704441,-0.021406518010291586,-0.054630747089835674,-0.02164406833600846,T0-T2,0.00222984562607198,0.00222984562607198
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T2,,pCR,R5,C+F+R5,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6645626072041168,0.4223072667890752,0.6310463121783876,0.24015700399536552,-0.03790737564322466,-0.0696396674459484,-0.03701252881035311,-0.06154373927958823,-0.11769379837210886,-0.051421510100657125,T0-T2,-0.03790737564322466,-0.03790737564322466
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T2,,pCR,R5_RP192,C+F+R5_RP192,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6955746140651802,0.46517860229047314,0.6078902229845626,0.2143446011374048,-0.0068953687821612375,-0.026768331944550472,-0.011200125952392392,-0.030531732418524804,-0.07482246287071093,-0.02560910724269641,T0-T2,-0.0068953687821612375,-0.0068953687821612375
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T2,,pCR,S1,C+F+S1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.7018867924528303,0.4866070018524613,0.6364493996569468,0.2053634756500834,-0.0005831903945111572,-0.005339932382562307,-0.0022190004650709805,-0.024219554030874724,-0.05339406330872276,-0.016627981755375,T0-T2,-0.0005831903945111572,-0.0005831903945111572
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T2,,pCR,S2,C+F+S2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6833962264150945,0.4441775667597737,0.6307032590051458,0.2270787545084354,-0.019073756432246958,-0.0477693674752499,-0.023934279323422986,-0.042710120068610524,-0.09582349840141036,-0.038343260613727004,T0-T2,-0.019073756432246958,-0.019073756432246958
