seed,arm,context,view,timing,target,population,candidate,reference_model,comparison_model,metric,reference,comparison,estimate,improvement,delta_auroc,ci_lower,ci_upper,confidence_level,n_patients,n_folds,n_bootstrap,n_valid_bootstrap,bootstrap_unit,ci_method,orientation,bootstrap_seed
2026,LOCAL0,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R3,C+F+R0,C+F+R3,brier,0.20291466374104608,0.2004118037060881,0.0025028600349579766,0.0025028600349579766,,-0.004331182541889873,0.00933922778191461,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R5,R0,R5,auroc,0.5227358007845813,0.5097663312297459,-0.012969469554835356,-0.012969469554835356,-0.012969469554835356,-0.05770076229183873,0.02951899079241579,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R5,R0,R5,auprc,0.3577654974097515,0.35074626963451816,-0.007019227775233339,-0.007019227775233339,,-0.04757019095044592,0.03148516635587435,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R5,R0,R5,brier,0.30851901993309533,0.31563343405342337,-0.007114414120328039,-0.007114414120328039,,-0.030375298084859847,0.014931834766214137,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL0,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R5,C+F+R0,C+F+R5,auroc,0.694648370497427,0.6519725557461405,-0.042675814751286456,-0.042675814751286456,-0.042675814751286456,-0.0865256044165239,0.0019109082113782233,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R5,C+F+R0,C+F+R5,auprc,0.47332108710912113,0.42503573491908053,-0.0482853521900406,-0.0482853521900406,,-0.11667744183471421,0.012980535576503041,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R5,C+F+R0,C+F+R5,brier,0.20291466374104608,0.23674226193504017,-0.033827598193994085,-0.033827598193994085,,-0.050847288922877,-0.016068609495734413,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,pCR,full_808,R2,R0,R2,auroc,0.5356779805560293,0.5240115981579396,-0.011666382398089703,-0.011666382398089703,-0.011666382398089703,-0.052349426531785044,0.029889075932290714,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,pCR,full_808,R2,R0,R2,auprc,0.36611986343785696,0.35522026553594777,-0.010899597901909197,-0.010899597901909197,,-0.0494825141965519,0.026277576713022967,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,pCR,full_808,R2,R0,R2,brier,0.279763544793725,0.30572213806593407,-0.025958593272209063,-0.025958593272209063,,-0.04729262539492772,-0.005370911575285765,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL0,C_PLUS_F,T0-T2,T0-T2,pCR,ftv_complete_375,R2,C+F+R0,C+F+R2,auroc,0.7024699828473414,0.7067238421955403,0.004253859348198885,0.004253859348198885,0.004253859348198885,-0.014220849282064317,0.022443539103235224,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,C_PLUS_F,T0-T2,T0-T2,pCR,ftv_complete_375,R2,C+F+R0,C+F+R2,auprc,0.4919469342350236,0.48637342410272677,-0.005573510132296844,-0.005573510132296844,,-0.030474182065749617,0.018953762845096044,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,C_PLUS_F,T0-T2,T0-T2,pCR,ftv_complete_375,R2,C+F+R0,C+F+R2,brier,0.2031444751850124,0.20393396939648537,-0.000789494211472952,-0.000789494211472952,,-0.008151077732369874,0.006468019621880953,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,pCR,full_808,R3,R0,R3,auroc,0.5356779805560293,0.5632338393314004,0.027555858775371034,0.027555858775371034,0.027555858775371034,-0.018636495760351788,0.07204561163861423,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,pCR,full_808,R3,R0,R3,auprc,0.36611986343785696,0.39586977711183646,0.0297499136739795,0.0297499136739795,,-0.015469200495625487,0.07048434366668214,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,pCR,full_808,R3,R0,R3,brier,0.279763544793725,0.2629575257698816,0.016806019023843433,0.016806019023843433,,-0.003545886211635097,0.03573553628105757,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL0,C_PLUS_F,T0-T2,T0-T2,pCR,ftv_complete_375,R3,C+F+R0,C+F+R3,auroc,0.7024699828473414,0.6860720411663808,-0.016397941680960648,-0.016397941680960648,-0.016397941680960648,-0.040334958946948364,0.006666989872872155,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,C_PLUS_F,T0-T2,T0-T2,pCR,ftv_complete_375,R3,C+F+R0,C+F+R3,auprc,0.4919469342350236,0.47267699013528464,-0.019269944099738978,-0.019269944099738978,,-0.05195086221890372,0.015558256115771926,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,C_PLUS_F,T0-T2,T0-T2,pCR,ftv_complete_375,R3,C+F+R0,C+F+R3,brier,0.2031444751850124,0.20802105934003512,-0.004876584155022706,-0.004876584155022706,,-0.01435939639645503,0.0045833198356286945,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,pCR,full_808,R5,R0,R5,auroc,0.5356779805560293,0.5130888623571551,-0.022589118198874214,-0.022589118198874214,-0.022589118198874214,-0.06188820532096601,0.018208533209902778,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,pCR,full_808,R5,R0,R5,auprc,0.36611986343785696,0.3530269813773854,-0.013092882060471545,-0.013092882060471545,,-0.05252735201811236,0.025048663105177484,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,pCR,full_808,R5,R0,R5,brier,0.279763544793725,0.3034380625578695,-0.023674517764144476,-0.023674517764144476,,-0.04320965246399316,-0.00340994296684044,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL0,C_PLUS_F,T0-T2,T0-T2,pCR,ftv_complete_375,R5,C+F+R0,C+F+R5,auroc,0.7024699828473414,0.6645626072041168,-0.03790737564322466,-0.03790737564322466,-0.03790737564322466,-0.069221355971702,-0.005255255255255165,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
