seed,arm,context,view,timing,timing_label,target,population,variant,reference,auroc,reference_auroc,delta_auroc_vs_r0
2026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R3,R0,0.5489885724032065,0.5069895957700836,0.04199897663312291
2026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R4,R0,0.5178304622207061,0.5069895957700836,0.010840866450622433
2026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R5,R0,0.507098754903633,0.5069895957700836,0.00010915913354936357
2026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R0,R0,0.5666552315608919,0.5666552315608919,0.0
2026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R1,R0,0.5749914236706689,0.5666552315608919,0.008336192109776985
2026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R2,R0,0.5476500857632933,0.5666552315608919,-0.0190051457975986
2026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R3,R0,0.5203430531732418,0.5666552315608919,-0.046312178387650116
2026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R4,R0,0.5302229845626072,0.5666552315608919,-0.036432246998284734
2026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R5,R0,0.5157804459691252,0.5666552315608919,-0.050874785591766725
2026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R0,R0,0.542725567115811,0.542725567115811,0.0
2026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R1,R0,0.5538325089544601,0.542725567115811,0.011106941838649131
2026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R2,R0,0.5504485758144295,0.542725567115811,0.007723008698618528
2026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R3,R0,0.5517516629711752,0.542725567115811,0.00902609585536418
2026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R4,R0,0.5090636193075218,0.542725567115811,-0.03366194780828924
2026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R5,R0,0.5223196315879243,0.542725567115811,-0.02040593552788672
3026,LOCAL0,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R0,R0,0.5074442538593482,0.5074442538593482,0.0
3026,LOCAL0,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R1,R0,0.4839451114922813,0.5074442538593482,-0.023499142367066905
3026,LOCAL0,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R2,R0,0.5013379073756431,0.5074442538593482,-0.006106346483705116
