seed,arm,analysis,context,view,timing_label,target,variant,model,population,clinical_contract,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,timing,r0_auroc,delta_auroc_vs_r0,delta_auroc
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,R3,R3,ftv_complete_375,,375,110,265,2,0.5463464837049743,0.3327250292039241,0.5462264150943397,0.2419027392728686,T0-T1,0.55368782161235,-0.007341337907375678,-0.007341337907375678
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,R3,R3,full_808,,808,275,533,2,0.5542623230428109,0.3666515303250744,0.5288043663653419,0.289055999847217,T0-T1,0.5227358007845813,0.031526522258229606,0.031526522258229606
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,R4,R4,ftv_complete_375,,375,110,265,2,0.5362264150943397,0.34252932736198277,0.5607204116638078,0.24443894750465317,T0-T1,0.55368782161235,-0.017461406518010314,-0.017461406518010314
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,R4,R4,full_808,,808,275,533,2,0.5082108135766672,0.35730014522136033,0.518147705952584,0.27407974669735224,T0-T1,0.5227358007845813,-0.014524987207914064,-0.014524987207914064
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,R5,R5,ftv_complete_375,,375,110,265,2,0.5529331046312178,0.345177735652361,0.590566037735849,0.2956218704766853,T0-T1,0.55368782161235,-0.0007547169811321641,-0.0007547169811321641
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,R5,R5,full_808,,808,275,533,2,0.5097663312297459,0.35074626963451816,0.5156336346580249,0.31563343405342337,T0-T1,0.5227358007845813,-0.012969469554835356,-0.012969469554835356
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,R5_RP192,R5_RP192,ftv_complete_375,,375,110,265,2,0.5523499142367067,0.3625004750292184,0.5679245283018868,0.2611763106323762,T0-T1,0.55368782161235,-0.0013379073756433213,-0.0013379073756433213
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,R5_RP192,R5_RP192,full_808,,808,275,533,2,0.5209278526351697,0.35604400470777087,0.5149957359713457,0.2720977377733631,T0-T1,0.5227358007845813,-0.0018079481494115424,-0.0018079481494115424
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,S1,S1,ftv_complete_375,,375,110,265,2,0.5007204116638079,0.3057233112860079,0.5204974271012006,0.2681096288992864,T0-T1,0.55368782161235,-0.0529674099485421,-0.0529674099485421
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,S1,S1,full_808,,808,275,533,2,0.5375405082722156,0.36903553179891685,0.5292410028995395,0.2719373578032954,T0-T1,0.5227358007845813,0.014804707487634294,0.014804707487634294
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,S2,S2,ftv_complete_375,,375,110,265,2,0.5526929674099486,0.3796824578421459,0.5690394511149228,0.231818955590732,T0-T1,0.55368782161235,-0.0009948542024014184,-0.0009948542024014184
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,S2,S2,full_808,,808,275,533,2,0.512379327989084,0.36320298754325014,0.5170561146170902,0.26478682402624604,T0-T1,0.5227358007845813,-0.010356472795497229,-0.010356472795497229
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,S3,S3,ftv_complete_375,,375,110,265,2,0.5613379073756433,0.3453615113044261,0.5249571183533448,0.2575023771285464,T0-T1,0.55368782161235,0.007650085763293291,0.007650085763293291
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,S3,S3,full_808,,808,275,533,2,0.5611461709022685,0.38319566335953426,0.5287088521234863,0.25453235069757296,T0-T1,0.5227358007845813,0.03841037011768722,0.03841037011768722
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,S4,S4,ftv_complete_375,,375,110,265,2,0.5246998284734135,0.32686373474559166,0.5332761578044597,0.24189568550502025,T0-T1,0.55368782161235,-0.02898799313893652,-0.02898799313893652
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,S4,S4,full_808,,808,275,533,2,0.5180283131502643,0.3558291938557181,0.5073068395019615,0.30873035933729776,T0-T1,0.5227358007845813,-0.0047074876343169425,-0.0047074876343169425
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,S5,S5,ftv_complete_375,,375,110,265,2,0.5316981132075471,0.31384086039720366,0.5746998284734134,0.2804149904561752,T0-T1,0.55368782161235,-0.021989708404802855,-0.021989708404802855
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,S5,S5,full_808,,808,275,533,2,0.526454033771107,0.3631991675213512,0.5313491386662118,0.2950702566503451,T0-T1,0.5227358007845813,0.003718232986525738,0.003718232986525738
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,R0,R0,ftv_complete_375,,375,110,265,2,0.590566037735849,0.3599199617256347,0.5137221269296741,0.24190303259367707,T0-T2,0.590566037735849,0.0,0.0
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,R0,R0,full_808,,808,275,533,2,0.5356779805560293,0.36611986343785696,0.5203138325089545,0.279763544793725,T0-T2,0.5356779805560293,0.0,0.0
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,R1,R1,ftv_complete_375,,375,110,265,2,0.5552658662092624,0.352154745642742,0.5433104631217839,0.24551533991822608,T0-T2,0.590566037735849,-0.0353001715265866,-0.0353001715265866
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,R1,R1,full_808,,808,275,533,2,0.5181511171755074,0.366755332726772,0.529155722326454,0.27914289265110936,T0-T2,0.5356779805560293,-0.017526863380521895,-0.017526863380521895
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,R2,R2,ftv_complete_375,,375,110,265,2,0.562229845626072,0.3713267199760082,0.5222984562607205,0.24159185331793318,T0-T2,0.590566037735849,-0.028336192109777003,-0.028336192109777003
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,R2,R2,full_808,,808,275,533,2,0.5240115981579396,0.35522026553594777,0.5322292341804536,0.30572213806593407,T0-T2,0.5356779805560293,-0.011666382398089703,-0.011666382398089703
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,R3,R3,ftv_complete_375,,375,110,265,2,0.5304974271012007,0.34552106409286276,0.4957975986277873,0.25024398505262496,T0-T2,0.590566037735849,-0.0600686106346483,-0.0600686106346483
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,R3,R3,full_808,,808,275,533,2,0.5632338393314004,0.39586977711183646,0.5499266587071465,0.2629575257698816,T0-T2,0.5356779805560293,0.027555858775371034,0.027555858775371034
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,R4,R4,ftv_complete_375,,375,110,265,2,0.5632590051457976,0.3747613248332425,0.5421097770154374,0.2405196123047461,T0-T2,0.590566037735849,-0.027307032590051405,-0.027307032590051405
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,R4,R4,full_808,,808,275,533,2,0.5036943544260617,0.35083189390098274,0.5270066518847007,0.29582564716718535,T0-T2,0.5356779805560293,-0.031983626129967635,-0.031983626129967635
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,R5,R5,ftv_complete_375,,375,110,265,2,0.5407204116638079,0.3455014163520588,0.55,0.27473865252840507,T0-T2,0.590566037735849,-0.04984562607204113,-0.04984562607204113
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,R5,R5,full_808,,808,275,533,2,0.5130888623571551,0.3530269813773854,0.5086031042128603,0.3034380625578695,T0-T2,0.5356779805560293,-0.022589118198874214,-0.022589118198874214
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,R5_RP192,R5_RP192,ftv_complete_375,,375,110,265,2,0.5588336192109777,0.3758387986871158,0.5426243567753002,0.25793904694676534,T0-T2,0.590566037735849,-0.0317324185248713,-0.0317324185248713
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,R5_RP192,R5_RP192,full_808,,808,275,533,2,0.5162612996759338,0.35391556712580896,0.5129455909943714,0.31078584830385264,T0-T2,0.5356779805560293,-0.019416680880095516,-0.019416680880095516
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,S1,S1,ftv_complete_375,,375,110,265,2,0.5436363636363636,0.3399312606641607,0.5327615780445969,0.23859984588581248,T0-T2,0.590566037735849,-0.04692967409948545,-0.04692967409948545
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,S1,S1,full_808,,808,275,533,2,0.545181647620672,0.37457192955128127,0.5497629200068224,0.2646535887591845,T0-T2,0.5356779805560293,0.009503667064642674,0.009503667064642674
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,S2,S2,ftv_complete_375,,375,110,265,2,0.5598627787307032,0.3647573414259523,0.5602915951972556,0.24597869705236886,T0-T2,0.590566037735849,-0.03070325900514581,-0.03070325900514581
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,S2,S2,full_808,,808,275,533,2,0.511635681391779,0.35344505810267346,0.498563875149241,0.2955122264551884,T0-T2,0.5356779805560293,-0.02404229916425038,-0.02404229916425038
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,S3,S3,ftv_complete_375,,375,110,265,2,0.5472384219554032,0.34729138542618115,0.5394511149228131,0.25649854450451526,T0-T2,0.590566037735849,-0.04332761578044586,-0.04332761578044586
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,S3,S3,full_808,,808,275,533,2,0.5491181988742964,0.39403821003869843,0.5335630223435102,0.2914264143450233,T0-T2,0.5356779805560293,0.013440218318267028,0.013440218318267028
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,S4,S4,ftv_complete_375,,375,110,265,2,0.5375986277873069,0.3406718310456983,0.539279588336192,0.24983620217555993,T0-T2,0.590566037735849,-0.0529674099485421,-0.0529674099485421
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,S4,S4,full_808,,808,275,533,2,0.5509602592529422,0.38054121782093425,0.5477809994883165,0.2704586040936759,T0-T2,0.5356779805560293,0.015282278696912899,0.015282278696912899
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,S5,S5,ftv_complete_375,,375,110,265,2,0.5186277873070326,0.31847569599854836,0.5204116638078902,0.2858918613233464,T0-T2,0.590566037735849,-0.07193825042881641,-0.07193825042881641
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T2,,pCR,S5,S5,full_808,,808,275,533,2,0.5200477571209279,0.3591637448058727,0.5134675081016544,0.29906839435196264,T0-T2,0.5356779805560293,-0.015630223435101454,-0.015630223435101454
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,R0,R0,ftv_complete_375,,375,110,265,2,0.5541680960548885,0.3588957694210692,0.5463121783876501,0.23813194748143596,T0-T3,0.5541680960548885,0.0,0.0
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,R0,R0,full_808,,808,275,533,2,0.5345522769913014,0.37323311448271046,0.5245983285007676,0.2759951873037781,T0-T3,0.5345522769913014,0.0,0.0
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,R1,R1,ftv_complete_375,,375,110,265,2,0.5880960548885077,0.36592964422826046,0.5501715265866209,0.23337399636168668,T0-T3,0.5541680960548885,0.03392795883361921,0.03392795883361921
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,R1,R1,full_808,,808,275,533,2,0.534320313832509,0.3704274239265726,0.5113491386662119,0.30509721012509433,T0-T3,0.5345522769913014,-0.00023196315879236984,-0.00023196315879236984
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,R2,R2,ftv_complete_375,,375,110,265,2,0.5471698113207547,0.35570959015329173,0.5192109777015437,0.24014773952701254,T0-T3,0.5541680960548885,-0.006998284734133775,-0.006998284734133775
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,R2,R2,full_808,,808,275,533,2,0.5311615214054238,0.3569830370195252,0.5400716356813917,0.302361691200837,T0-T3,0.5345522769913014,-0.0033907555858775362,-0.0033907555858775362
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,R3,R3,ftv_complete_375,,375,110,265,2,0.5005145797598628,0.31299678272966214,0.49982847341337905,0.28292155090813415,T0-T3,0.5541680960548885,-0.05365351629502568,-0.05365351629502568
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,R3,R3,full_808,,808,275,533,2,0.5548626982773324,0.3879284419420251,0.5444823469213713,0.2761681693083704,T0-T3,0.5345522769913014,0.020310421286031,0.020310421286031
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,R4,R4,ftv_complete_375,,375,110,265,2,0.5607204116638078,0.3744097742270544,0.5378216123499142,0.2544064528660667,T0-T3,0.5541680960548885,0.006552315608919335,0.006552315608919335
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,R4,R4,full_808,,808,275,533,2,0.5238887941326966,0.34991453920503324,0.535691625447723,0.28438544603775673,T0-T3,0.5345522769913014,-0.010663482858604745,-0.010663482858604745
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,R5,R5,ftv_complete_375,,375,110,265,2,0.5376672384219554,0.34122969066205705,0.5067753001715266,0.2751745818110562,T0-T3,0.5541680960548885,-0.016500857632933075,-0.016500857632933075
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,R5,R5,full_808,,808,275,533,2,0.5286781511171755,0.36390112617282666,0.5186013986013986,0.30783288802253556,T0-T3,0.5345522769913014,-0.005874125874125835,-0.005874125874125835
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,R5_RP192,R5_RP192,ftv_complete_375,,375,110,265,2,0.5848370497427101,0.37547137120598706,0.55,0.2381357572809438,T0-T3,0.5541680960548885,0.030668953687821632,0.030668953687821632
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,R5_RP192,R5_RP192,full_808,,808,275,533,2,0.5055432372505544,0.3407773986791265,0.5083506737165274,0.2952907814770136,T0-T3,0.5345522769913014,-0.029009039740746978,-0.029009039740746978
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,S1,S1,ftv_complete_375,,375,110,265,2,0.5486792452830189,0.3228285258027299,0.5228987993138936,0.25285077496901137,T0-T3,0.5541680960548885,-0.005488850771869558,-0.005488850771869558
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,S1,S1,full_808,,808,275,533,2,0.5605662630052874,0.394566292448909,0.5318710557734948,0.26434763105535736,T0-T3,0.5345522769913014,0.02601398601398608,0.02601398601398608
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,S2,S2,ftv_complete_375,,375,110,265,2,0.5335849056603774,0.344047721592145,0.5451114922813036,0.27872082901879625,T0-T3,0.5541680960548885,-0.020583190394511064,-0.020583190394511064
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,S2,S2,full_808,,808,275,533,2,0.5351867644550572,0.35890156657074734,0.5306430155210643,0.2801071830220143,T0-T3,0.5345522769913014,0.0006344874637558284,0.0006344874637558284
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,S3,S3,ftv_complete_375,,375,110,265,2,0.541680960548885,0.3338705354725868,0.5501715265866209,0.25109209263457083,T0-T3,0.5541680960548885,-0.012487135506003444,-0.012487135506003444
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,S3,S3,full_808,,808,275,533,2,0.5481221217806583,0.3826074059490211,0.5393859798737848,0.2747942954969732,T0-T3,0.5345522769913014,0.013569844789356966,0.013569844789356966
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,S4,S4,ftv_complete_375,,375,110,265,2,0.5647684391080617,0.36388291289604024,0.5686963979416809,0.24483894876819098,T0-T3,0.5541680960548885,0.010600343053173256,0.010600343053173256
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,S4,S4,full_808,,808,275,533,2,0.55691625447723,0.39887917796819883,0.5435067371652738,0.2480967799551607,T0-T3,0.5345522769913014,0.022363977485928666,0.022363977485928666
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,S5,S5,ftv_complete_375,,375,110,265,2,0.5511835334476844,0.36421674169170565,0.5180960548885077,0.25451880646662245,T0-T3,0.5541680960548885,-0.002984562607204033,-0.002984562607204033
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T3,late/pre-surgery,pCR,S5,S5,full_808,,808,275,533,2,0.5304519870373529,0.3618846794349683,0.5271908579225653,0.3009497583996694,T0-T3,0.5345522769913014,-0.0041002899539485105,-0.0041002899539485105
2026,LOCAL3,mri_only_pcr,MRI_ONLY,T0,,pCR,R0,R0,ftv_complete_375,,375,110,265,2,0.5017495711835335,0.3080035557671906,0.49433962264150944,0.25843942616055804,T0,0.5017495711835335,0.0,0.0
2026,LOCAL3,mri_only_pcr,MRI_ONLY,T0,,pCR,R0,R0,full_808,,808,275,533,2,0.5208732730683949,0.3489863499972896,0.5192222411734607,0.2476700674293039,T0,0.5208732730683949,0.0,0.0
2026,LOCAL3,mri_only_pcr,MRI_ONLY,T0,,pCR,R1,R1,ftv_complete_375,,375,110,265,2,0.444631217838765,0.2618711911136803,0.48216123499142366,0.3515979563303546,T0,0.5017495711835335,-0.05711835334476845,-0.05711835334476845
2026,LOCAL3,mri_only_pcr,MRI_ONLY,T0,,pCR,R1,R1,full_808,,808,275,533,2,0.49273068395019615,0.3456263178633302,0.4957496162374211,0.2689370136615512,T0,0.5208732730683949,-0.02814258911819878,-0.02814258911819878
2026,LOCAL3,mri_only_pcr,MRI_ONLY,T0,,pCR,R2,R2,ftv_complete_375,,375,110,265,2,0.5087478559176672,0.31461711093546096,0.4798456260720412,0.2656231505101851,T0,0.5017495711835335,0.006998284734133775,0.006998284734133775
2026,LOCAL3,mri_only_pcr,MRI_ONLY,T0,,pCR,R2,R2,full_808,,808,275,533,2,0.5185604639263175,0.35970412266594065,0.5304792768207403,0.27089715981234386,T0,0.5208732730683949,-0.002312809142077432,-0.002312809142077432
2026,LOCAL3,mri_only_pcr,MRI_ONLY,T0,,pCR,R3,R3,ftv_complete_375,,375,110,265,2,0.5383876500857633,0.32786315047968195,0.5221269296740995,0.24730655822859407,T0,0.5017495711835335,0.03663807890222981,0.03663807890222981
2026,LOCAL3,mri_only_pcr,MRI_ONLY,T0,,pCR,R3,R3,full_808,,808,275,533,2,0.547760532150776,0.37913893987979613,0.538147705952584,0.23734764200281808,T0,0.5208732730683949,0.0268872590823811,0.0268872590823811
2026,LOCAL3,mri_only_pcr,MRI_ONLY,T0,,pCR,R4,R4,ftv_complete_375,,375,110,265,2,0.45999999999999996,0.276175877882477,0.4667238421955403,0.2787131498405772,T0,0.5017495711835335,-0.04174957118353351,-0.04174957118353351
