seed,arm,analysis,context,view,timing_label,target,variant,model,population,clinical_contract,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,visit,r0_auroc,delta_auroc_vs_r0
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,HR,R1,R1,full_808,,808,453.0,355.0,2,0.5064826042346796,0.5677164925055944,0.5055560737493393,0.2940725135384902,T1,0.5304355936946181,-0.023952989459938512
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,HR,R2,R2,full_808,,808,453.0,355.0,2,0.5198830954823866,0.5668191314557514,0.5168982992880018,0.2811549622475737,T1,0.5304355936946181,-0.010552498212231476
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,HR,R3,R3,full_808,,808,453.0,355.0,2,0.5615334390448652,0.6140140172297862,0.5449864751422442,0.272033482355098,T1,0.5304355936946181,0.031097845350247066
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,HR,R4,R4,full_808,,808,453.0,355.0,2,0.5034791530640799,0.5606798056612811,0.5150172558529988,0.3185612423705139,T1,0.5304355936946181,-0.02695644063053826
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,HR,R5,R5,full_808,,808,453.0,355.0,2,0.5219973261200759,0.5729208075213519,0.5038709075645929,0.2910511189802142,T1,0.5304355936946181,-0.008438267574542246
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,HR,R5_RP192,R5_RP192,full_808,,808,453.0,355.0,2,0.5440226347044741,0.5959746268356089,0.531816061934521,0.2779454347032705,T1,0.5304355936946181,0.013587041009855971
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,HR,S1,S1,full_808,,808,453.0,355.0,2,0.5239560986226409,0.5841787451624789,0.5246929701831297,0.27442847794445985,T1,0.5304355936946181,-0.006479495071977204
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,HR,S2,S2,full_808,,808,453.0,355.0,2,0.5258962161489911,0.5787369842172885,0.5152597705437926,0.27483676759953435,T1,0.5304355936946181,-0.004539377545627055
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,HR,S3,S3,full_808,,808,453.0,355.0,2,0.5405465908030969,0.6022239326245679,0.5371109660168516,0.26382232871380795,T1,0.5304355936946181,0.010110997108478736
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,HR,S4,S4,full_808,,808,453.0,355.0,2,0.503647047850014,0.5599142322861657,0.5238192954637316,0.2925946754086528,T1,0.5304355936946181,-0.026788545844604106
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,HR,S5,S5,full_808,,808,453.0,355.0,2,0.5124459782980444,0.572866830516978,0.5114883561856791,0.34602760309113134,T1,0.5304355936946181,-0.017989615396573733
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,subtype_4class,R0,R0,full_808,,808,,,4,0.5394352752266498,0.28140751969733296,0.2762225377153429,,T1,0.5394352752266498,0.0
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,subtype_4class,R1,R1,full_808,,808,,,4,0.5267256735734579,0.2733542442867338,0.26637176412606123,,T1,0.5394352752266498,-0.012709601653191904
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,subtype_4class,R2,R2,full_808,,808,,,4,0.5097038125931868,0.26112111659888626,0.25289853264797574,,T1,0.5394352752266498,-0.029731462633463046
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,subtype_4class,R3,R3,full_808,,808,,,4,0.5315734451842218,0.27763194167479627,0.2549328621050474,,T1,0.5394352752266498,-0.00786183004242802
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,subtype_4class,R4,R4,full_808,,808,,,4,0.5222797382156603,0.2636397796348758,0.26458430532033095,,T1,0.5394352752266498,-0.017155537010989486
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,subtype_4class,R5,R5,full_808,,808,,,4,0.5243846924058622,0.26594680629072864,0.2701266706939515,,T1,0.5394352752266498,-0.015050582820787639
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,subtype_4class,R5_RP192,R5_RP192,full_808,,808,,,4,0.516504014027208,0.2602973770032428,0.26333319792936427,,T1,0.5394352752266498,-0.022931261199441777
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,subtype_4class,S1,S1,full_808,,808,,,4,0.5261618671256333,0.27276213488749323,0.27273931275013213,,T1,0.5394352752266498,-0.013273408101016515
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,subtype_4class,S2,S2,full_808,,808,,,4,0.49809664951565746,0.2555152743882513,0.24159196131918748,,T1,0.5394352752266498,-0.04133862571099234
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,subtype_4class,S3,S3,full_808,,808,,,4,0.5427144781241221,0.28405708117717676,0.2965209045749237,,T1,0.5394352752266498,0.0032792028974722998
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,subtype_4class,S4,S4,full_808,,808,,,4,0.5093650283338025,0.2594194746431198,0.25402792816420533,,T1,0.5394352752266498,-0.03007024689284732
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T1,,subtype_4class,S5,S5,full_808,,808,,,4,0.5158974841728509,0.26341326090367034,0.25887476941996307,,T1,0.5394352752266498,-0.02353779105379894
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HER2,R0,R0,full_808,,808,201.0,607.0,2,0.551435573368741,0.2997847025606276,0.517634234101322,0.24701525272813413,T2,0.551435573368741,0.0
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HER2,R1,R1,full_808,,808,201.0,607.0,2,0.5322645421983985,0.2715538424993798,0.5043235224208447,0.2765111140971829,T2,0.551435573368741,-0.01917103117034258
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HER2,R2,R2,full_808,,808,201.0,607.0,2,0.5278057816354799,0.2865629575849272,0.504569409951888,0.26752415517017303,T2,0.551435573368741,-0.023629791733261185
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HER2,R3,R3,full_808,,808,201.0,607.0,2,0.5437884711532944,0.29147704793759543,0.5305351332300605,0.24802345619093916,T2,0.551435573368741,-0.007647102215446622
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HER2,R4,R4,full_808,,808,201.0,607.0,2,0.5171752440433744,0.26569441415776673,0.49857385231994883,0.27578324207633115,T2,0.551435573368741,-0.0342603293253666
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HER2,R5,R5,full_808,,808,201.0,607.0,2,0.5325350184825461,0.2904937063798278,0.5209455195193718,0.2570786837614994,T2,0.551435573368741,-0.01890055488619491
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HER2,R5_RP192,R5_RP192,full_808,,808,201.0,607.0,2,0.5015695820731597,0.25592194762145787,0.48262804593179076,0.28158512088366844,T2,0.551435573368741,-0.049865991295581336
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HER2,S1,S1,full_808,,808,201.0,607.0,2,0.5241174686698304,0.26461978073837067,0.49794683911578846,0.27150956182134184,T2,0.551435573368741,-0.027318104698910606
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HER2,S2,S2,full_808,,808,201.0,607.0,2,0.5217569483718147,0.2706044469928532,0.4851483931249846,0.2759710333035004,T2,0.551435573368741,-0.029678624996926306
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HER2,S3,S3,full_808,,808,201.0,607.0,2,0.5549353725605908,0.29985166074463127,0.5464809396182186,0.24543602503617432,T2,0.551435573368741,0.0034997991918497284
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HER2,S4,S4,full_808,,808,201.0,607.0,2,0.5191505405427558,0.25883785618321103,0.5002049062758694,0.2751467215779849,T2,0.551435573368741,-0.03228503282598527
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HER2,S5,S5,full_808,,808,201.0,607.0,2,0.5176916078585655,0.2656734664335135,0.5076020228347554,0.2647606726559965,T2,0.551435573368741,-0.033743965510175555
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HR,R0,R0,full_808,,808,453.0,355.0,2,0.5473680937723472,0.5968637691059304,0.5509933774834437,0.262212432684259,T2,0.5473680937723472,0.0
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HR,R1,R1,full_808,,808,453.0,355.0,2,0.5580698317942978,0.6120217508357764,0.5517924322979821,0.26181910946370657,T2,0.5473680937723472,0.010701738021950624
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HR,R2,R2,full_808,,808,453.0,355.0,2,0.5470944874545286,0.6142132194036858,0.528579423561235,0.2625217974762199,T2,0.5473680937723472,-0.0002736063178185866
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HR,R3,R3,full_808,,808,453.0,355.0,2,0.5234275409632186,0.573219302711437,0.5517582315082549,0.26640046967102565,T2,0.5473680937723472,-0.023940552809128546
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HR,R4,R4,full_808,,808,453.0,355.0,2,0.5453160463887075,0.5915826422962795,0.5428535895283401,0.29629756118487743,T2,0.5473680937723472,-0.0020520473836397324
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HR,R5,R5,full_808,,808,453.0,355.0,2,0.5416037061219413,0.582676415525349,0.5348692597083605,0.2871839565150948,T2,0.5473680937723472,-0.005764387650405878
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HR,R5_RP192,R5_RP192,full_808,,808,453.0,355.0,2,0.5554208251717812,0.6121407934094534,0.5424742716786369,0.27531188047857097,T2,0.5473680937723472,0.008052731399433966
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HR,S1,S1,full_808,,808,453.0,355.0,2,0.5453595746665423,0.5966749255829493,0.5336380312781768,0.28393313242456214,T2,0.5473680937723472,-0.0020085191058049068
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HR,S2,S2,full_808,,808,453.0,355.0,2,0.5450735316979138,0.6121792352258882,0.5424742716786369,0.26757486362997235,T2,0.5473680937723472,-0.0022945620744333484
