seed,arm,analysis,context,view,timing_label,target,variant,model,population,clinical_contract,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,timing,c_auroc,c_auprc,c_brier,delta_auroc_vs_C,delta_auprc_vs_C,brier_improvement_vs_C
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0,,pCR,S1,C+S1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6341680960548886,0.41376275872523877,0.5789022298456261,0.2137705389996798,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.06250428816466558,-0.12244982867474391,0.02932455554326091
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0,,pCR,S2,C+S2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.582058319039451,0.38535396784443754,0.5810463121783876,0.28086152073275034,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.11461406518010309,-0.15085861955554514,-0.03776642618980963
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0,,pCR,S3,C+S3,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6580102915951973,0.44437160528339065,0.6234991423670668,0.20880386556199032,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.038662092624356825,-0.09184098211659203,0.03429122898095038
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0,,pCR,S4,C+S4,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6138593481989708,0.3903624039039424,0.5928816466552316,0.22494220281309435,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.08281303602058332,-0.1458501834960403,0.018152891729846354
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0,,pCR,S5,C+S5,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6132075471698113,0.39212786987488496,0.5939108061749572,0.24029631629120513,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.08346483704974283,-0.14408471752509772,0.0027987782517355786
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T1,,pCR,NONE,C,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,T0-T1,0.6966723842195541,0.5362125873999827,0.2430950945429407,0.0,0.0,0.0
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T1,,pCR,R0,C+R0,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6751286449399657,0.47152305549297413,0.6399656946826757,0.20571990463385662,T0-T1,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.021543739279588414,-0.06468953190700855,0.03737518990908409
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T1,,pCR,R1,C+R1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6642195540308747,0.4793333719722066,0.6056603773584905,0.21212116839771414,T0-T1,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.032452830188679394,-0.056879215427776075,0.030973926145226566
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T1,,pCR,R2,C+R2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6756432246998285,0.4661245653521699,0.6212692967409948,0.2142295153164574,T0-T1,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.021029159519725615,-0.07008802204781278,0.028865579226483307
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T1,,pCR,R3,C+R3,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6659005145797599,0.4513100271519356,0.6234133790737564,0.2094650339309801,T0-T1,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.03077186963979428,-0.0849025602480471,0.03363006061196061
