seed,arm,variant,feature_dim,task,endpoint,view,target,analysis_scope,target_semantics,aggregation,n_test,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias,timing
3026,LOCAL0,S1,128,static,T0,T0,FTV,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,375,0.7352884287177154,0.6084043996940864,0.33086631881766715,34.90179481743008,14.94789243832445,42.77656700591202,0.1840907940881182,0.2587471379086724,0.30947824352523184,12.433923073709272,-7.308761611692425,T0
3026,LOCAL0,S1,128,static,T1,T1,FTV,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,367,0.3959991823670958,0.11852948520447898,-0.11217600652855864,36.034581782921585,12.60120456239356,34.34636987087729,-0.04915255726852667,0.16255703316748196,0.04778914717594742,8.364779696311029,-7.264217113126825,T1
3026,LOCAL0,S1,128,static,T1,T1,FTV,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,375,0.4222273296165662,0.27043864241098337,0.012976198706885711,37.43397227640361,12.844639519788725,37.95576601319648,0.013747416838101888,0.0354411386096162,0.050912283944774886,7.961137291015016,-8.707673384854825,T1
3026,LOCAL0,S1,128,static,T2,T2,FTV,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,372,0.35302513617535997,0.07049098971122403,-2.05993181920041,44.33581836845574,8.962412872594403,25.507316453551763,-0.7381608311948553,2.2580618105653465,0.10592574352364328,4.236925107152872,-2.968927422143024,T2
3026,LOCAL0,S1,128,static,T2,T2,FTV,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,375,0.36240687222664697,0.05565161501881905,-1.4051548017504003,48.23618617483849,9.876450134873538,31.345565059981617,-0.5388520220495516,1.5276152740239808,0.06878357877236668,4.536714441313643,-3.8228392506310493,T2
3026,LOCAL0,S1,128,static,T3,T3,FTV,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,373,0.2196682704322586,0.3812583791332625,0.009954360414455299,12.087549115719014,3.0378934400371085,12.201692990259323,0.009354757133410144,0.0051959776333182495,0.027482297313849057,0.9110823948132865,-2.423985120130835,T3
3026,LOCAL0,S1,128,static,T3,T3,FTV,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,375,0.22137935040273965,0.3727062367320727,0.004673540312832514,12.37958638996699,3.1654736783451045,12.477635535818399,0.007857990848502357,0.004862521606153608,0.025989470544930046,0.9155967092964183,-2.55638216357878,T3
3026,LOCAL0,S2,128,delta,T0_to_T1,T0_to_T1,delta_FTV,observable_only,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,366,0.43393126270077237,0.27251802207529086,0.07394729322620452,23.18172912863783,12.002518087232463,24.222567386068665,0.042969774460384455,0.08397436134144583,0.07897117192633225,-9.919533266238151,0.10957228423723543,T0_to_T1
3026,LOCAL0,S2,128,delta,T0_to_T1,T0_to_T1,delta_FTV,primary_measurement_valid,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,375,0.4295753783138013,0.26981714588826095,0.07178529300148406,24.405127143368542,12.608682651822265,25.477864188497076,0.04210466926081114,0.09076378748010026,0.08128788971861056,-10.000653833912295,0.13088925288645425,T0_to_T1
3026,LOCAL0,S2,128,delta,T1_to_T2,T1_to_T2,delta_FTV,observable_only,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,365,0.38285067728139827,0.38577399083900377,0.14353575808744667,15.722855352879247,9.02879173095104,17.02259769956717,0.07635393666860686,0.20360712987435794,0.17407220668420562,-6.475186289921083,0.5376600730467299,T1_to_T2
3026,LOCAL0,S2,128,delta,T1_to_T2,T1_to_T2,delta_FTV,primary_measurement_valid,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,375,0.3959262714757083,0.40739233860959484,0.16243648005184708,15.735063127256277,9.134300573017587,17.219808801872187,0.0862231219695357,0.2154822022214499,0.1891117702914945,-6.662052545528343,0.3001985785780009,T1_to_T2
