target,model,spatial,task,endpoint,analysis_population,split_seed,fold_manifest_sha256,aggregation,n,n_folds,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,calibration_slope,calibration_intercept,calibration_mean_bias
FTV,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,static,T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.4519164071742986,0.6349616613630221,0.14957308502924668,22.677602092226742,7.407709578577823,25.99578169892136,0.1529013337088166,0.11504180920697146,2.628152475818243,-5.142385704173083
FTV,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,static,T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.29883252695734064,0.25205042094220775,0.011958002013860436,12.334202171850578,3.3033891151138692,12.477635535818399,0.011495235900750602,0.023699644548541104,1.4563519661982909,-2.023789269651023
FTV,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,static,T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.28892490386039726,0.30399782587437585,0.016069425908001533,9.996614045469231,3.2192679466714464,10.294290046637563,0.06671276938600654,0.05372234138456585,1.409209761707599,-1.9389152969012833
FTV,dinov3_vitb16_lvd1689m_posthoc,LOCAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.4392121970645124,0.37154429308832637,0.10957813898202262,23.903129198450024,13.500721969613538,25.477864188497076,0.061807967041367,0.20048487481545718,-8.437335776884574,0.3797047831592802
FTV,dinov3_vitb16_lvd1689m_posthoc,LOCAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.42775927899036875,0.3808462445013324,0.06744330814218216,23.091507627981485,13.390204321697905,24.445499639427307,0.0468632978276947,0.2172071507221618,-8.096103924150977,0.612554201827033
FTV,dinov3_vitb16_lvd1689m_posthoc,LOCAL,delta,T1-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.390433951530322,0.38365082157833835,0.12325233316177608,16.098926674282275,9.092184381341195,17.219808801872187,0.06509260006812889,0.20643919033528166,-6.656142016754368,0.15733663137080786
FTV,dinov3_vitb16_lvd1689m_posthoc,LOCAL,delta,T1-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.38567862712988166,0.4013248542889539,0.1017649102178336,15.560623595608822,9.003211188958844,16.60517378340784,0.06071834905212731,0.24535740698144975,-6.368101869249389,0.10682793209149402
FTV,dinov3_vitb16_lvd1689m_posthoc,LOCAL,delta,T2-T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.30587438844009557,0.4256903330517775,0.1782936486713116,24.82817653195446,11.197248340133811,27.537956917151757,0.09840164952504292,0.2041770909134634,-4.386238578758344,-0.0789233676900379
FTV,dinov3_vitb16_lvd1689m_posthoc,LOCAL,delta,T2-T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.3027955738466301,0.4858621706200787,-0.5077860503678238,22.08240020664936,11.188291164261775,22.944585785259125,-0.09660633684907378,0.47441449684185305,-3.5588769282717747,0.022789025230748373
FTV,dinov3_vitb16_lvd1689m_posthoc,LOCAL,static,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.8130733871885311,0.7353581620632462,0.5215886041311829,29.51155364378395,12.144288768593434,42.77656700591202,0.3100999984476256,0.46911078971936115,10.982550393266035,-4.1960854472044815
FTV,dinov3_vitb16_lvd1689m_posthoc,LOCAL,static,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.7981854397761314,0.7638166410535725,0.5593946045296427,27.687205761320524,12.182403794212371,41.82120336681659,0.35714039540471065,0.5384278558680151,9.426474981969973,-4.125097655542085
FTV,dinov3_vitb16_lvd1689m_posthoc,LOCAL,static,T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.6795710547275002,0.6032618294096478,0.2681735567797343,32.23340244855187,10.363979886988005,37.95576601319648,0.15076401205168816,0.2023154105420676,8.174327473586896,-5.835392782827788
FTV,dinov3_vitb16_lvd1689m_posthoc,LOCAL,static,T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.6757604168411075,0.6742620376099955,0.3756385834332573,27.31717955022529,10.26774035182516,33.934864367476976,0.251844447162781,0.35414256295669094,6.364169393151778,-5.675750244294794
FTV,dinov3_vitb16_lvd1689m_posthoc,LOCAL,static,T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.5496940939195752,0.6454661799853272,0.17625979808206194,28.229070393344816,7.045605534736903,31.345565059981617,0.09942378325843548,0.11652550669428624,3.092449639882987,-4.838523540891058
FTV,dinov3_vitb16_lvd1689m_posthoc,LOCAL,static,T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.553353151989579,0.6193448307833926,0.22360796579786482,22.62446056240443,6.919326031104586,25.99578169892136,0.18779465648462204,0.1751523527365862,2.7953087131384047,-4.724223634308685
FTV,dinov3_vitb16_lvd1689m_posthoc,LOCAL,static,T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.2994991476043683,0.4123624411014589,0.06261082109898697,12.013881059729263,3.265584776879993,12.477635535818399,0.037166855431694464,0.049871385034137385,1.5253369610698202,-1.8615119259963648
FTV,dinov3_vitb16_lvd1689m_posthoc,LOCAL,static,T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.29607675097058567,0.4756397140875027,0.041377968234522264,9.658981094891484,3.1888241478141253,10.294290046637563,0.09078988712929496,0.08983505419753002,1.4421055487221754,-1.7805740757659714
