seed,arm,view,target,variant,population,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier
3026,LOCAL0,T0->T1,pCR,P3_PLUS_DELTA,ftv_complete_375,375,110,265,2,0.4789022298456261,0.3046333281876587,0.5198970840480275,0.288428282028959
3026,LOCAL0,T0->T1,pCR,P3_PLUS_DELTA,full_808,808,275,533,2,0.5351799420092103,0.3798027361819776,0.5196861674910456,0.2866461410196417
3026,LOCAL0,T1->T2,pCR,DELTA_MEAN,ftv_complete_375,375,110,265,2,0.4844596912521441,0.27877062692533205,0.5032590051457976,0.23495254026958606
3026,LOCAL0,T1->T2,pCR,DELTA_MEAN,full_808,808,275,533,2,0.48272897833873446,0.33285070086768276,0.4795121951219512,0.2622992713405584
3026,LOCAL0,T1->T2,pCR,DELTA_STD,ftv_complete_375,375,110,265,2,0.5261406518010292,0.31146783584389864,0.4977701543739279,0.24335020749418418
3026,LOCAL0,T1->T2,pCR,DELTA_STD,full_808,808,275,533,2,0.5150469043151971,0.35539830419703955,0.5210779464438001,0.2525789915064921
3026,LOCAL0,T1->T2,pCR,P3_PLUS_DELTA,ftv_complete_375,375,110,265,2,0.523499142367067,0.31953702030145775,0.504631217838765,0.28874110836063155
3026,LOCAL0,T1->T2,pCR,P3_PLUS_DELTA,full_808,808,275,533,2,0.5287190857922566,0.3624390199630983,0.5286031042128603,0.3087534652277312
3026,LOCAL0,T2->T3,pCR,DELTA_MEAN,ftv_complete_375,375,110,265,2,0.5253859348198971,0.3075688836204761,0.516295025728988,0.2572862699217484
3026,LOCAL0,T2->T3,pCR,DELTA_MEAN,full_808,808,275,533,2,0.5116220365000853,0.34186507633123675,0.5260685655807606,0.2388691861358437
3026,LOCAL0,T2->T3,pCR,DELTA_STD,ftv_complete_375,375,110,265,2,0.545180102915952,0.33280737432175966,0.5343053173241852,0.23785115315745622
3026,LOCAL0,T2->T3,pCR,DELTA_STD,full_808,808,275,533,2,0.5281460003411224,0.3626601388743194,0.5165341975098072,0.24676472243492087
3026,LOCAL0,T2->T3,pCR,P3_PLUS_DELTA,ftv_complete_375,375,110,265,2,0.5945111492281303,0.3603184196726623,0.6103773584905661,0.22643417896716891
3026,LOCAL0,T2->T3,pCR,P3_PLUS_DELTA,full_808,808,275,533,2,0.5625993518676445,0.3795042679047102,0.548698618454716,0.26859694657959127
3026,LOCAL3,T0->T1,pCR,DELTA_MEAN,ftv_complete_375,375,110,265,2,0.5176329331046312,0.3118128176719278,0.5216981132075471,0.28664975635961887
3026,LOCAL3,T0->T1,pCR,DELTA_MEAN,full_808,808,275,533,2,0.5092819375746205,0.357965461585275,0.5082926829268293,0.24512272113111688
3026,LOCAL3,T0->T1,pCR,DELTA_STD,ftv_complete_375,375,110,265,2,0.5114236706689537,0.3174049093573647,0.49819897084048026,0.2717865054568279
3026,LOCAL3,T0->T1,pCR,DELTA_STD,full_808,808,275,533,2,0.5161930752174655,0.35702476608647205,0.49053726761043837,0.24638173866249566
3026,LOCAL3,T0->T1,pCR,P3_PLUS_DELTA,ftv_complete_375,375,110,265,2,0.5256260720411664,0.33465021398267447,0.5587478559176673,0.29537525467608383
