analysis,population,seed,arm,fold,view,target,variant,clinical_contract,selected_c,validation_auroc,validation_auprc,threshold,train_rows,validation_rows,test_rows,feature_dim,class_weight,c_grid
phenotype,full_808,2026,LOCAL0,0,T3,HR,P4,,0.01,0.5338512763596004,,0.4073033957148725,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T3,HER2,P4,,0.001,0.5953405017921147,,0.5014379211747862,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T3,subtype_4class,P4,,100.0,0.5393961350331958,0.28333814536010604,,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T3,HR,P5,,0.01,0.5796337402885683,,0.4686985707658517,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,0,T3,HER2,P5,,0.0001,0.5971326164874551,,0.498741634556812,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,0,T3,subtype_4class,P5,,0.001,0.5531968131275405,0.2954623079504441,,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,1,T0,HR,P1,,0.1,0.5385682574916759,,0.44587580419906664,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T0,HER2,P1,,100.0,0.5582417582417583,,0.3196245120501089,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T0,subtype_4class,P1,,100.0,0.5737449353359285,0.33427005654907255,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T0,HR,P2,,100.0,0.5591009988901221,,0.46232481853883256,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T0,HER2,P2,,100.0,0.5772893772893773,,0.708182896521489,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
