seed,arm,view,target,model,clinical_contract,population,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,delta_auroc_vs_C+F,delta_auprc_vs_C+F,brier_improvement_vs_C+F,delta_auroc_vs_C+F+P1,delta_auprc_vs_C+F+P1,brier_improvement_vs_C+F+P1
2026,LOCAL3,T0-T3,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6707032590051458,0.44989824234839926,0.6364493996569469,0.2255797247762141,-0.04469982847341336,-0.08947671139670099,-0.03258609659326603,-0.0037392795883360863,-0.011275864007004532,-0.010858784361304802
2026,LOCAL3,T0-T3,pCR,C+F+P4,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6186277873070326,0.3993837808696125,0.5909090909090908,0.283456019274272,-0.09677530017152658,-0.13999117287548773,-0.09046239109132392,-0.055814751286449305,-0.061790325485791275,-0.0687350788593627
3026,LOCAL0,T0,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,0.00864493996569482,-0.0026848982645223396,-0.007473382219283509,0.08212692967409962,0.13971455133374755,0.005223222550090056
3026,LOCAL0,T0,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6880274442538593,0.538897485664505,0.646483704974271,0.2356217123236572,0.0,0.0,0.0,0.0734819897084048,0.1423994495982699,0.012696604769373565
3026,LOCAL0,T0,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6145454545454545,0.3964980360662351,0.5813893653516296,0.24831831709303076,-0.0734819897084048,-0.1423994495982699,-0.012696604769373565,0.0,0.0,0.0
3026,LOCAL0,T0,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6374614065180102,0.4019257478679261,0.6345626072041166,0.2281932336540192,-0.05056603773584911,-0.1369717377965789,0.007428478669638,0.022915951972555693,0.005427711801690993,0.020125083439011565
3026,LOCAL0,T0,pCR,C+F+P4,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6162607204116638,0.38639069815231175,0.6053173241852488,0.242865574308401,-0.07176672384219551,-0.15250678751219326,-0.007243861984743805,0.0017152658662092923,-0.010107337913923375,0.0054527427846297605
3026,LOCAL0,T0-T1,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,-0.00048027444253839757,0.01021505173753634,-0.045140466954625424,0.022847341337907556,0.059967784202913266,-0.02517260669862595
3026,LOCAL0,T0-T1,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6971526586620925,0.5259975356624463,0.7015437392795884,0.19795462758831528,0.0,0.0,0.0,0.023327615780445954,0.049752732465376925,0.019967860255999476
3026,LOCAL0,T0-T1,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6738250428816466,0.4762448031970694,0.6645797598627787,0.21792248784431476,-0.023327615780445954,-0.049752732465376925,-0.019967860255999476,0.0,0.0,0.0
