epoch,arm,architecture,seed_base,fold,effective_seed,patient_order_sha256,dropped_logical_tail_patients,train_loss,train_base_loss,train_state_loss,train_ftv_loss,train_grounded_patients,train_representation_std,train_optimizer_steps,val_loss,val_base_objective,val_state_loss,val_ftv_loss,val_grounded_patients,val_representation_std,finite
1,GAP3,GAP,2026,0,2026,ff7209b5cc5772ee2a9c7c528ff3e43384ce34c8529d48fad1c18ae3732de38d,24,2.387987716072085,2.3273521691560743,0.9973811564967036,0.2425421876640421,242.0,0.3485272228717804,20.0,1.5929143420578569,1.5338744447250996,0.3905281946678792,0.2361595893310288,59.0,0.2224083691835403,True
2,GAP3,GAP,2026,0,2026,4c81e4df44829f8c7af577c6769a29351055fddf489f913b789afd011fb07cf2,24,1.408496513904538,1.3499021880328654,0.291578299831599,0.2343773034866899,240.0,0.4242153465747833,20.0,1.0483566447354082,0.9923279078538751,0.1142214721392008,0.2241149475261316,59.0,0.5291222929954529,True
3,GAP3,GAP,2026,0,2026,460601f2740d07da728e05cc03e9dd7fe52ed56a3043ad0ae742dd6ced687458,24,1.0533936926797824,0.992822902649641,0.1480527209118008,0.2422831601205658,235.0,0.6273793578147888,20.0,0.880916087405626,0.8226505242103388,0.0919875106658817,0.2330622527811486,59.0,0.642998218536377,True
4,GAP3,GAP,2026,0,2026,d68d66f3dc4b2424234fe8070c35f7237d55584de4657debefbf3bab4f007f83,24,0.9760627065209072,0.9157177310436964,0.1537974476348608,0.2413799019088432,236.0,0.6759303212165833,20.0,0.9146189907486656,0.8601781799773539,0.1598376561541202,0.2177632430852469,59.0,0.6639469861984253,True
5,GAP3,GAP,2026,0,2026,016e71e12a0d168cdfd26225a75a09abe5051a1f8e70b15d951bb1b3297f9ff8,24,1.0123552067429449,0.951269518584013,0.1965110825374722,0.2443427526357263,241.0,0.6799042820930481,20.0,0.9352239746313908,0.8747564096096133,0.1956120038266517,0.2418702600871102,59.0,0.6664538979530334,True
6,GAP3,GAP,2026,0,2026,4d30019690796cedb67ed45d6d1f879f88431328ab5239cdcf92f5cb1a6d9add,24,0.9242189373803336,0.8651936706155539,0.2146224286407232,0.2361010670591193,237.0,0.6839954257011414,20.0,0.9003904191303557,0.8453337550163269,0.19409830646574,0.2202266564561149,59.0,0.6823515295982361,True
7,GAP3,GAP,2026,0,2026,6a28e93351eda42fe42ce2fef989e6835d34ad6c44a220cfd7afe3dc3ceb6bf1,24,0.9771993168530628,0.9171020817011596,0.2501516546122729,0.2403889406076137,235.0,0.7166983485221863,20.0,0.9269060646693216,0.871875221079046,0.2759375170735288,0.2201233743611028,59.0,0.7228862643241882,True
1,GAP3,GAP,2026,1,2027,4c00aeac23e4804a1693955fecd0df02cc5f9b7896fe6b2b77b356c2c6e0b9c4,24,2.245658639349909,2.183999305218458,0.8456769779324531,0.2466373365258046,228.0,0.306221604347229,20.0,1.5061596590904671,1.459065973266097,0.2704397361140606,0.1883747432974801,69.0,0.0925317108631134,True
2,GAP3,GAP,2026,1,2027,a8ed6b01fd8c15bed04868c47e386b7f9fa0493512f7597a0a20d833e8fa0d71,24,1.4711087108921044,1.4157195955514907,0.2004956824705004,0.2215564613624547,234.0,0.1262101978063583,20.0,1.2459327644449996,1.197268214107545,0.0681882698304397,0.1946582013498181,69.0,0.1115658581256866,True
3,GAP3,GAP,2026,1,2027,176ac7f114b3181147a0572cb8577f749d0f90f7396788c8887c722fab705ed5,24,1.305803781218306,1.2526540361344811,0.0964749777922406,0.2125989803352991,229.0,0.1704851537942886,20.0,1.1662185908899698,1.1200522090777878,0.0566989915553203,0.1846655272487281,69.0,0.2473505288362503,True
4,GAP3,GAP,2026,1,2027,b0fabc7251e43195480e15c108fe6937e8af0a00b558fb77234c21abc08edae4,24,1.1216545852481208,1.0706359479576348,0.1031369722448289,0.2040745491619434,228.0,0.5393944978713989,20.0,0.9161004906333736,0.864168486811898,0.0717921343224107,0.2077280152859031,69.0,0.6319324970245361,True
5,GAP3,GAP,2026,1,2027,a5f4579c99613e73fe002efaa8aed67d67e4a46021a2c9020bbee320f116ec5f,24,0.9541812621240848,0.8951828226447105,0.1115770384203642,0.2359937579174967,228.0,0.6882109642028809,20.0,0.845053054827602,0.7907749118883748,0.0941639856612386,0.2171125717569088,69.0,0.6716580986976624,True
6,GAP3,GAP,2026,1,2027,629e6436eb3ffeedc41fc644d2eb64a39c95cad9f4c672b1a6cd556cfaf3ab59,24,0.905983294450435,0.8480816405266524,0.1415295866783708,0.2316066156951305,230.0,0.6959023475646973,20.0,0.8138648567430997,0.7646200597778825,0.1360873301659733,0.196979187860869,69.0,0.6822194457054138,True
7,GAP3,GAP,2026,1,2027,01c5b142c6ad7402e2714a1498ca837bfa833bf11b03d67fcbbcb4f77c68c304,24,0.9178899024884168,0.8635988846421242,0.1845281553920358,0.2171640713851706,232.0,0.6997622847557068,20.0,0.8415675434745836,0.7967686268908918,0.1849622211673043,0.1791956663347672,69.0,0.6766625046730042,True
1,GAP3,GAP,2026,2,2028,6998a8f60a4b9edcfa1b764a0d6bc2a9deddc66c7e65a7bcd04757853d3faffc,24,2.234523954381569,2.1676113337278364,0.8219519581645727,0.2676504826149306,234.0,0.2602416574954986,20.0,1.5219215365054275,1.4615671092813665,0.2726381253605046,0.2414177088962438,52.0,0.1341172754764557,True
