seed_base,fold,task,comparison,left_arm,right_arm,effect_spearman,effect_pearson,effect_r2,effect_rmse,effect_mae,effect_b0_rmse,effect_rmse_gain_over_b0,effect_prediction_target_variance_ratio,effect_calibration_slope,effect_calibration_intercept,effect_calibration_mean_bias
2026,2,static,LG3-LOCAL3,LG3,LOCAL3,0.012090172536837196,0.07281446934994018,0.06890049254093585,-1.6071707172208818,-0.39857304762597323,0.0,0.037935267098669706,0.018307920442735926,0.03812022353259151,-0.1645441238159595,0.8502688718674882
2026,2,static,GAP3-GAP0,GAP3,GAP0,0.10303933504051047,0.04676426317573196,0.007942205739511293,-0.1821152518226441,-0.09761518989493645,0.0,0.0037907377378040286,0.00039983036354504986,0.003330911769688874,0.06420303907672675,0.13895549057294865
2026,2,static,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.04246778052978473,-0.0010016908049579887,0.03513903922345012,-0.7265954039551801,-0.6667591119987577,0.0,0.017613152286084524,0.01148768548468055,0.017736716927021293,0.5474328595730906,0.871610492650758
2026,2,static,LG3-LG0,LG3,LG0,0.02176126107216325,0.017769576037376056,-0.054328984376621065,1.5969344154960652,-0.13456910632149288,0.0,-0.03796434219965057,-0.09603698112232933,-0.0644752421349917,-0.30779234810099876,-2.2467986481460382
2026,2,delta,LOCAL0-GAP0,LOCAL0,GAP0,0.28027090942165866,0.20419334133055828,0.05429110606990867,-0.7117636168442232,-0.34715548169514676,0.0,0.027453117587540165,0.019463968224269337,0.0332629797243717,0.6240132895919217,0.34701549071647525
2026,2,delta,LG0-LOCAL0,LG0,LOCAL0,0.04282635769559079,-0.054718884175235766,-0.05701221371684607,0.6556373028767268,0.12900188298795534,0.0,-0.027069663599870168,0.04533708723840724,-0.005424807119467169,-0.34403070696771465,-0.2899199431745498
2026,2,delta,LOCAL3-GAP3,LOCAL3,GAP3,0.23623413514685912,0.1572089319288596,0.04475133569611873,-0.6240493121884896,-0.16600662889347184,0.0,0.022771209427249143,0.022138713569922003,0.03020400812455036,0.5597255395709668,0.30442498558041403
2026,2,delta,LG3-LOCAL3,LG3,LOCAL3,0.06719561171515331,-0.09607388395310554,-0.04251956045379813,0.5920854836718341,0.026925517887516293,0.0,-0.020455503149786607,0.01682259862079176,-0.014790920716905596,-0.13883782103765885,-0.018888703478405877
2026,2,delta,GAP3-GAP0,GAP3,GAP0,0.03506709765892841,0.05640254762634178,0.013236992102634732,-0.1521452779101935,-0.1594275876489224,0.0,0.006631595778740766,-9.174487154376548e-05,0.005903071364951901,0.17981526606898512,0.13187825797728314
2026,2,delta,LOCAL3-LOCAL0,LOCAL3,LOCAL0,-0.008969676615871114,0.009418138224643102,0.003697221728844794,-0.0644309732544599,0.021721265152752522,0.0,0.0019496876184497414,0.0025830004741089,0.002844099765130559,0.11552751604803024,0.08928775284122192
2026,2,delta,LG3-LG0,LG3,LG0,0.015399577403691411,-0.03193686155322667,0.018189874991892736,-0.12798279245935262,-0.08035509994768653,0.0,0.008563848068533301,-0.025931488143506577,-0.006522013832307869,0.32072040197808604,0.3603189925373658
2026,3,static,LOCAL0-GAP0,LOCAL0,GAP0,0.4712521705575923,0.2972838812182925,0.156527455157282,-3.5726304246028384,-2.2708384638757986,0.0,0.08507421476701653,0.06999265561956877,0.10886866367743395,-1.5806433923866248,0.897135646823294
2026,3,static,LG0-LOCAL0,LG0,LOCAL0,-0.03434304456878262,0.024750804651740732,-0.013903667461775931,1.883049702952011,0.6702049370389576,0.0,-0.006896586064182406,0.5514717566900647,0.26147932389407375,-3.508027113243083,2.331513702011451
2026,3,static,LOCAL3-GAP3,LOCAL3,GAP3,0.3979516367612066,0.3189422708210442,0.18701593560082172,-3.614377221182078,-2.1215895108572234,0.0,0.10122734848287893,0.05981522384671695,0.1196391374200414,-1.690807345052984,0.6989506306986
2026,3,static,LG3-LOCAL3,LG3,LOCAL3,-0.040621583381568016,-0.006743620425434305,0.00011017736865151506,0.49358789980888673,0.5915739810590326,0.0,0.00014803209591179867,0.4308365696951848,0.20787543455751126,-2.7810837557921317,2.4581569694907386
2026,3,static,GAP3-GAP0,GAP3,GAP0,0.06826805582352566,0.055949904051871,0.013865122220440345,-0.23347636086198165,-0.2972343724421638,0.0,0.006822602267849608,0.0013736359579555255,0.008232994970361725,-0.2371981896742259,-0.07355472325947332
2026,3,static,LOCAL3-LOCAL0,LOCAL3,LOCAL0,-0.005032477972859994,0.07760829365462268,0.04435360266398006,-0.2752231574412214,-0.14798541942358856,0.0,0.022975735983711998,-0.008803795814896292,0.01900346871296918,-0.34736214234058505,-0.2717397393841674
2026,3,static,LG3-LG0,LG3,LG0,-0.01131101678564539,0.04611386857744765,0.058367447494407504,-1.6646849605843457,-0.22661637540351354,0.0,0.030020354143806202,-0.12943898280977617,-0.03460042062359331,0.37958121511036635,-0.14509647190487973
2026,3,delta,LOCAL0-GAP0,LOCAL0,GAP0,0.3075546123008982,0.24717397373131145,0.14396120735558687,-1.1869067193152993,-1.425739305059171,0.0,0.061591049048511134,-0.01790995848893423,0.059598611417514075,0.3447260727435584,-0.02856036483027976
2026,3,delta,LG0-LOCAL0,LG0,LOCAL0,0.14081291401376306,0.0849087776454549,0.03426641446484926,-0.640239526778636,-0.4524119858937663,0.0,0.020838781669855165,0.02110210313862547,0.03278045938240394,0.40174161750802195,-0.06808068869750569
2026,3,delta,LOCAL3-GAP3,LOCAL3,GAP3,0.38369026947070556,0.3043894598112816,0.17623771272654756,-1.4970551451387522,-1.8638473643704128,0.0,0.07754785005236375,-0.03422367961280816,0.06462367487058227,0.734669855751803,0.29765800098982564
2026,3,delta,LG3-LOCAL3,LG3,LOCAL3,0.06331596887259638,0.0181355203798107,0.004783157436659462,-0.4530939517308781,-0.08379844427152605,0.0,0.0070254069666982055,0.028508913173954722,0.021634029776559927,0.03977218199917143,-0.36467684930044175
2026,3,delta,GAP3-GAP0,GAP3,GAP0,0.011404806311231157,0.04075401086480422,0.02980731386584111,-0.21860614672172574,-0.07288369552219898,0.0,0.015348903072582734,0.015609346042324557,0.022875716277958896,0.28858096653021015,0.09086032749362732
2026,3,delta,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.08754046348103856,0.09796949694477441,0.0620838192368018,-0.5287545725451785,-0.5109917548334408,0.0,0.03130570407643536,-0.0007043750815493716,0.027900779731027087,0.6785247495384548,0.4170786933137327
2026,3,delta,LG3-LG0,LG3,LG0,0.010043518339871882,0.03119623967913021,0.032600562208612,-0.3416089974974206,-0.1423782132112006,0.0,0.017492329373278402,0.006702434953779882,0.016754350125183073,0.31655531402960424,0.12048253271079665
