seed_base,task,endpoint,analysis_scope,comparison,left_arm,right_arm,effect_natural_spearman,effect_natural_pearson,effect_natural_r2,effect_natural_rmse,effect_natural_mae,effect_natural_b0_rmse,effect_natural_rmse_gain_over_b0,effect_natural_prediction_target_variance_ratio,effect_natural_calibration_slope,effect_natural_calibration_intercept,effect_natural_calibration_mean_bias,effect_transformed_spearman,effect_transformed_pearson,effect_transformed_r2,effect_transformed_rmse,effect_transformed_mae,effect_transformed_b0_rmse,effect_transformed_rmse_gain_over_b0,effect_transformed_prediction_target_variance_ratio,effect_transformed_calibration_slope,effect_transformed_calibration_intercept,effect_transformed_calibration_mean_bias
2026,delta,T0_to_T1,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.041596086016611675,0.05634344525983566,0.012656451622232279,-0.15912180060638548,-0.039793428949343124,0.0,0.006245492142870708,0.001801329691195206,0.007248921584518311,0.00793924273006752,-0.07200175352378194,0.02499556871896516,0.07116310993379993,0.020851796321181833,-0.007553784225942883,-0.0013304603672411597,0.0,0.010283191096124779,0.0025285799972969147,0.011780168810746998,-0.003264065799949139,-0.003041681499976377
2026,delta,T1_to_T2,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.061138013425873244,0.09042959533270967,0.12969980320569185,-1.0954451183798106,-0.6582376435160135,0.0,0.06361540543125604,-0.08261218872070555,0.023174939172526596,0.5847163503530961,0.38573732908524444,0.05453900571365658,0.11326012628125093,0.155290156517817,-0.060797875379141275,-0.03750183527299311,0.0,0.07134864168622611,-0.06195597780653511,0.04381155069298201,0.0169662966262443,0.0222571784198721
2026,delta,T2_to_T3,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.03669700762316532,0.01359639349997047,0.009347844407175954,-0.12462235113801867,-0.19515431529758764,0.0,0.004525475564979144,-0.003168439185814026,0.0030462627196143014,0.09135070204319451,0.07486309707569455,0.026926888859644775,0.0485227832094921,0.1335392682384774,-0.00864365923048438,-0.006399735885408042,0.0,0.03350685786378371,-0.036555939974112106,0.03849938713200636,-0.001976119108415321,0.0024101446105576022
2026,delta,macro,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.04647703568855008,0.0534564780308386,0.05056803307836669,-0.45972975670806804,-0.29772846258764574,0.0,0.024795457713035297,-0.027993099405108135,0.011156707825553069,0.2280020983754536,0.12953289087905237,0.03548715443075551,0.07764867314151433,0.1032270736924921,-0.02566510627852292,-0.015077343841880864,0.0,0.038379563548711526,-0.031994445927783444,0.03136370221191179,0.003908703905959947,0.007208547176817775
3026,delta,T0_to_T1,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.06172943452042325,0.0656868506660519,0.02732151365743074,-0.34208662154563996,-0.38317029852535356,0.0,0.013426817060281199,-0.008385262102729565,0.009466593669069765,0.12129489292964024,0.01689744287967703,0.07821771900595748,0.09346188168357901,0.08021545242183115,-0.021058261091433494,-0.015584487720367135,0.0,0.0374765304801273,-0.020349228251677995,0.02966375705987316,-0.0009483094126890392,0.0006260613379558636
3026,delta,T1_to_T2,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.04181772670383435,0.023291082855994405,0.014422467738634648,-0.13045973135041677,0.02563856478557902,0.0,0.007576142851030539,0.04036702876430852,0.02739830414106592,0.2027304587040044,-0.03251019076665854,0.011243045615719094,0.014884697221472926,0.006895966940255974,-0.005823685198588002,0.0011219663253475565,0.0,0.003911808649475698,0.04052727634766912,0.024716156674772186,-0.001186667169076401,-0.0016923648990406187
3026,delta,T2_to_T3,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,-0.022545226988280813,-0.012591658654174415,-0.0022588525556650474,0.030056949368635344,-0.1326803303574149,0.0,-0.001091473469112543,-0.0020484977478342353,-0.0023142297925753293,0.29919275454510164,0.3117183014647159,-0.02726545148995531,-0.016714058368431525,0.020570989280675134,-2.300631099338979e-05,-0.004609767947736543,0.0,0.004440230575591564,-0.028691729898028984,-0.005839544912244123,0.014954453505075842,0.013925616818480393
3026,delta,macro,primary_measurement_valid,GAP3-GAP0,GAP3,GAP0,0.027000644745325597,0.02546209162262396,0.013161709613466781,-0.1474964678424726,-0.1634040213657304,0.0,0.006637162147399732,0.009977756304581566,0.011516889339186785,0.20773936872624787,0.09870185119257814,0.020731771043907096,0.0305441735122068,0.03589413621425408,-0.008968317533671666,-0.006357429780918689,0.0,0.015276189901731515,-0.0028378939340126252,0.016180122940800408,0.0042731589744368,0.0042864377524652105
2026,static,T0,primary_measurement_valid,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.007114575036977988,-0.04367462242930775,-0.01741004940280977,0.43709902974210735,0.028053235482531136,0.0,-0.010218188609705331,0.04312905787041271,0.009996339348799788,0.32384466844990456,0.6096496759259313,0.008960971267746864,0.00947042791217445,0.012325770662167779,-0.00387763809986702,-0.0026560682741459396,0.0,0.009007117386015562,0.04264848791265441,0.02694184831824198,-0.009849875497760174,0.004200576268332619
2026,static,T1,primary_measurement_valid,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.02488883832062816,0.005928887747130351,0.018187521653982963,-0.35797963855251425,-0.17279341284568694,0.0,0.009431495557962175,0.03533696058409622,0.024515908430225025,-0.000562794956174173,0.43000966874495816,0.016799302574035613,0.024089452995658345,0.04047927061068013,-0.01314224483271742,-0.008234777928016912,0.0,0.02561858472823489,0.01877921901326629,0.0286868400041409,-0.006409318443703488,0.003916439294845857
