arm,both_seed_pass,candidate_both_seed_gt_0_20,comparison,diagnostic_type,evidence_scope,input_variant,interval,maximum_exclusions_from_375,minimum_seed_delta_spearman,n_max,n_min,oracle_representation,patient_set_sha256,rank_metric,reference_both_seed_gt_0_20,seed_2026_candidate_spearman,seed_2026_delta_spearman,seed_2026_reference_spearman,seed_3026_candidate_spearman,seed_3026_delta_spearman,seed_3026_reference_spearman,spearman_gain_threshold,target,target_kind,task_type,threshold_operator,timing
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,current,,1,-0.0208423237596014,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0711469198075702,-0.0208423237596014,0.0919892435671717,0.1145702384184266,0.044337786692859,0.0702324517255675,0.1,LD,residual_ftv,static,>=,T3
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,current,,1,-0.0362380131068244,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0671758042411111,-0.0362380131068244,0.1034138173479356,0.1313074211888284,0.0401756000239584,0.09113182116487,0.1,LD,residual_ftv,static,>=,T3
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,difference,T0->T1,0,-0.0041600551708708,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0451728384728736,-0.0041600551708708,0.0493328936437444,0.0932122046031276,0.0650898041894077,0.0281224004137199,0.1,SPH,residual_ftv,dynamic,>=,
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,difference,T0->T1,0,0.0162527553296451,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0655708556967054,0.0162527553296451,0.0493181003670602,0.0753938665622813,0.0558864226502854,0.0195074439119959,0.1,SPH,residual_ftv,dynamic,>=,
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,difference,T1->T2,1,0.0402967470957273,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0362478804218911,0.0464701757625969,-0.0102222953407057,0.0701705296720663,0.0402967470957273,0.0298737825763389,0.1,SPH,residual_ftv,dynamic,>=,
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,difference,T1->T2,1,0.0236886180265155,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0138240562906981,0.0236886180265155,-0.0098645617358173,0.0523596655880823,0.0252988571304793,0.027060808457603,0.1,SPH,residual_ftv,dynamic,>=,
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,difference,T2->T3,2,-0.0405446359629397,373,373,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0425012203965367,-0.0405446359629397,0.0830458563594765,0.0028414631421716,-0.033725627752264,0.0365670908944356,0.1,SPH,residual_ftv,dynamic,>=,
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,difference,T2->T3,2,-0.0632124144740458,373,373,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0226811180390324,-0.0632124144740458,0.0858935325130782,-0.0146247196165414,-0.0130575619042513,-0.00156715771229,0.1,SPH,residual_ftv,dynamic,>=,
LOCAL0,False,True,,oracle_localization,primary_ftv_residual,current,,0,0.0369214653877308,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,True,0.3439531954148151,0.0369214653877308,0.3070317300270843,0.3462711144347671,0.0550693380201474,0.2912017764146197,0.1,SPH,residual_ftv,static,>=,T0
LOCAL3,False,True,,oracle_localization,primary_ftv_residual,current,,0,0.0103994411746597,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,True,0.3286479253327574,0.0136783893200955,0.3149695360126619,0.3222788058298222,0.0103994411746597,0.3118793646551625,0.1,SPH,residual_ftv,static,>=,T0
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,current,,0,0.0541351776754319,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0882849198488697,0.0541351776754319,0.0341497421734378,0.0765514355669915,0.069167932627492,0.0073835029394995,0.1,SPH,residual_ftv,static,>=,T1
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,current,,0,0.0475708155501518,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0847489598402983,0.0577564368625995,0.0269925229776988,0.0387533633114347,0.0475708155501518,-0.0088174522387171,0.1,SPH,residual_ftv,static,>=,T1
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,current,,1,-0.0311456784978223,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.1193620087873935,0.0092721513126598,0.1100898574747337,0.1239976840192886,-0.0311456784978223,0.155143362517111,0.1,SPH,residual_ftv,static,>=,T2
