seed,arm,representation,matched_reference_for,task_type,target_definition,target_kind,target,timing,interval,input_variant,metric_space,feature_dim,fold,n,spearman,pearson,natural_r2,transformed_r2,rmse,mae,prediction_target_variance_ratio,calibration_slope,calibration_intercept,residual_spearman,residual_pearson,residual_transformed_r2,residual_rmse,residual_mae,reconstructed_natural_r2,reconstructed_natural_rmse,reconstructed_natural_mae,reconstructed_prediction_target_variance_ratio,reconstructed_calibration_slope,reconstructed_calibration_intercept,natural_spearman,natural_pearson,transformed_spearman,transformed_pearson,natural_metric_interpretation
2026,LOCAL0,Z4_MATCHED_Z7,Z7,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,3,72,0.2511241470976246,0.32242630417015455,0.005664399738314674,0.05822987405247615,2.3055178108499996,1.5390530367489939,0.01874104425666858,2.355231342138423,-3.63622769414268,,,,,,,,,,,,0.2511241470976246,0.32242630417015455,0.25086876794135266,0.27196295956423233,raw_target
2026,LOCAL0,Z4_MATCHED_Z7,Z7,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,4,84,0.25328020984545235,0.2495219810394131,0.0171971929720115,0.008979806885944241,2.190036566613317,1.5965407580553992,0.20903916250121615,0.5457515544785312,1.6596062484903686,,,,,,,,,,,,0.25328020984545235,0.2495219810394131,0.25328020984545235,0.266531358413176,raw_target
2026,LOCAL0,Z5,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,0,69,0.20674027867874714,0.18697680876762812,-0.002260320155109463,-0.032877597117346724,1.7491541229441079,1.2993789221776118,0.13495461865758576,0.5089719716191533,1.6321314970674392,,,,,,,,,,,,0.20674027867874714,0.18697680876762812,0.20674027867874714,0.20155786679365342,raw_target
2026,LOCAL0,Z5,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,1,67,0.33671081068442243,0.3962520178445009,0.13817220674351838,0.08893240380667722,1.6139086830493543,1.1605014491924541,0.12166543427451999,1.1360249808399923,-0.21681909257039367,,,,,,,,,,,,0.33671081068442243,0.3962520178445009,0.33671081068442243,0.3062811162737137,raw_target
2026,LOCAL0,Z5,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,2,83,0.3548350345533659,0.30164054559114045,-0.06831023997291763,0.030519032973576055,2.164358954408465,1.4373978683246467,0.046253914479532,1.4025406945349457,-0.4304707918487023,,,,,,,,,,,,0.3548350345533659,0.30164054559114045,0.35442245935825983,0.3452063509220552,raw_target
2026,LOCAL0,Z5,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,3,72,0.33756168984942064,0.334847643610891,0.021858061491400904,0.0821441917890281,2.286667015486877,1.534197478321587,0.030365471498026674,1.921574525312945,-2.2804224532104787,,,,,,,,,,,,0.33756168984942064,0.334847643610891,0.3374517940450053,0.3122019676498831,raw_target
2026,LOCAL0,Z5,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,4,84,0.2840388469735969,0.2598527368820192,-0.10307389860349803,-0.045643336818801616,2.32017357523822,1.7389761598665776,0.4512788565448406,0.386816331831604,2.142865914306823,,,,,,,,,,,,0.2840388469735969,0.2598527368820192,0.2840388469735969,0.3153500313913119,raw_target
2026,LOCAL0,Z6,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,0,69,0.23961914725575087,0.20963984980103242,-0.01441564225694858,-0.036000869674702285,1.7597289480838543,1.3223521692312206,0.1939538768912028,0.47601935042415316,1.747121720239587,,,,,,,,,,,,0.23961914725575087,0.20963984980103242,0.23961914725575087,0.22245231507114355,raw_target
2026,LOCAL0,Z6,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,1,67,0.3087397554950435,0.3463348428142784,0.10513789196990941,0.057096618214657946,1.6445488172065086,1.2055385050153293,0.11923300007023788,1.00299311055901,0.20182260324506363,,,,,,,,,,,,0.3087397554950435,0.3463348428142784,0.3087397554950435,0.26214492568851105,raw_target
2026,LOCAL0,Z6,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,2,83,0.2738231888035074,0.20868423717130208,-0.11006506256274262,-0.02021355246704637,2.206250446991248,1.4769482890114758,0.037207932429294106,1.0818620264459766,0.5669391915747979,,,,,,,,,,,,0.2738231888035074,0.20868423717130208,0.2734299128712292,0.25604838007272634,raw_target
