seed,arm,representation,matched_reference_for,task_type,target_kind,target,input_variant,metric_space,feature_dim,target_definition,interval,macro_definition,interval_count,intervals,n_sum_descriptive,n_min,n_max,maximum_exclusions_from_375,patient_set_sha256,gate_e_use,spearman,residual_spearman,pearson,natural_r2,transformed_r2,residual_transformed_r2,reconstructed_natural_r2,rmse,mae,reconstructed_natural_rmse,reconstructed_natural_mae,prediction_target_variance_ratio,calibration_slope,calibration_intercept
2026,LOCAL3,Z4,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1125,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.18916591452293366,,0.1503124251207259,0.017511866754378966,-0.007935686418959467,,,39.10664336451929,26.763641562846704,,,0.047470783506086606,0.7032778067248592,-0.043300200043545845
2026,LOCAL3,Z4,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,750,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.21692627147570825,,0.176329159736885,0.0274894320590144,0.0155772590440727,,,35.69070611268264,25.077227622127296,,,0.049734067287415556,0.8177912430659019,-0.5411163054821562
2026,LOCAL3,Z4_MATCHED_Z5,Z5,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1122,373,375,2,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.18503930140692812,,0.14616789831348861,0.016106549891799934,-0.0084472991603856,,,39.094912221545556,26.75479946783644,,,0.04688987792541707,0.6863665229157853,0.01684073956080523
2026,LOCAL3,Z4_MATCHED_Z5,Z5,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,749,374,375,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.2168429626723875,,0.17600934075251196,0.027322193152177703,0.01532790661307355,,,35.71758470870462,25.108952912598923,,,0.049748499938324156,0.8164384559511846,-0.5446709209328269
2026,LOCAL3,Z4_MATCHED_Z6,Z6,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1123,374,375,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.18907707091672007,,0.14996507973312317,0.017329046757112603,-0.008240937601836267,,,39.1466495363237,26.809838038189067,,,0.04750405776471458,0.7015987767237047,-0.043267542531946056
2026,LOCAL3,Z4_MATCHED_Z6,Z6,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,749,374,375,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.2168429626723875,,0.17600934075251196,0.027322193152177703,0.01532790661307355,,,35.71758470870462,25.108952912598923,,,0.049748499938324156,0.8164384559511846,-0.5446709209328269
2026,LOCAL3,Z4_MATCHED_Z7,Z7,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1125,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.18916591452293366,,0.1503124251207259,0.017511866754378966,-0.007935686418959467,,,39.10664336451929,26.763641562846704,,,0.047470783506086606,0.7032778067248592,-0.043300200043545845
2026,LOCAL3,Z4_MATCHED_Z7,Z7,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,750,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.21692627147570825,,0.176329159736885,0.0274894320590144,0.0155772590440727,,,35.69070611268264,25.077227622127296,,,0.049734067287415556,0.8177912430659019,-0.5411163054821562
2026,LOCAL3,Z5,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1122,373,375,2,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.12870195311689395,,0.11140964312748657,-0.0002829214764314333,-0.034765326949589996,,,39.41166007293967,27.121037664825366,,,0.050237681189022,0.502814787098897,-1.5894257808512204
2026,LOCAL3,Z5,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,749,374,375,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.16683708950104276,,0.13035957670850334,0.00865359434420205,-0.010791846738605601,,,36.05833856120029,25.440399842625812,,,0.04972341646403055,0.5918919167421881,-2.9728363791076715
