task_type,target_kind,input_variant,representation,probe_fold_rows,distinct_outer_folds,n_train_min,n_validation_min,n_test_min,n_test_max,joint_valid_total_min,joint_valid_total_max,maximum_exclusions_from_375,selected_alpha_counts_json,feature_constant_columns_max,test_used_for_scaler,test_used_for_alpha_selection,test_predict_call_count,patient_set_sha256
dynamic,residual_ftv_ld,difference,Z2,120,5,188,39,55,84,313,375,62,"{""10"":7,""100"":22,""1000"":91}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,difference,Z3,120,5,188,39,55,84,313,375,62,"{""10"":10,""100"":38,""1000"":72}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,difference,Z4,120,5,188,39,55,84,313,375,62,"{""10"":2,""100"":28,""1000"":90}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,difference,Z4_MATCHED_Z5,120,5,186,38,55,84,311,375,64,"{""10"":1,""100"":28,""1000"":91}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,difference,Z4_MATCHED_Z6,120,5,187,38,55,84,312,375,63,"{""10"":2,""100"":28,""1000"":90}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,difference,Z4_MATCHED_Z7,120,5,188,39,55,84,313,375,62,"{""10"":2,""100"":28,""1000"":90}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,difference,Z5,120,5,186,38,55,84,311,375,64,"{""10"":1,""100"":17,""1000"":102}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,difference,Z6,120,5,187,38,55,84,312,375,63,"{""100"":16,""1000"":104}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,difference,Z7,120,5,188,39,55,84,313,375,62,"{""10"":2,""100"":26,""1000"":92}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,prefix,Z1,120,5,188,39,55,84,313,375,62,"{""100"":8,""1000"":112}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,prefix,Z2,120,5,188,39,55,84,313,375,62,"{""10"":1,""100"":9,""1000"":110}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
