fold,task_type,context,family,timing,interval,fit_scope,winsor_lower,winsor_upper,log1p,train_mean_after_family_transform,train_population_scale,n_train
0,static,residual_ftv_ld_response_SPH,SPH,T3,,outer_train_only,0.08716385886,0.7250184873999999,False,0.29250577020963564,0.13568346032730896,247
0,static,residual_ftv_ld_predictor_for_SPH,FTV,T3,,outer_train_only,0.02917118362,62.222804819999894,True,0.8051703869366744,0.806425564173936,247
0,static,residual_ftv_ld_predictor_for_SPH,LD,T3,,outer_train_only,0.0,7.653999999999999,True,0.7704586651817782,0.6513706253851937,247
0,static,residual_ftv_ld_response_BPE,BPE,T3,,outer_train_only,5.3984066,49.48832999999998,True,2.8865288009463206,0.43490747995529894,247
0,static,residual_ftv_ld_predictor_for_BPE,FTV,T3,,outer_train_only,0.02917118362,62.222804819999894,True,0.8051703869366744,0.806425564173936,247
0,static,residual_ftv_ld_predictor_for_BPE,LD,T3,,outer_train_only,0.0,7.653999999999999,True,0.7704586651817782,0.6513706253851937,247
0,dynamic,raw_FTV,FTV,,T0->T1,outer_train_only,-95.87407016492061,173.907139790588,False,-37.94083748234949,46.58916221727549,247
0,dynamic,raw_LD,LD,,T0->T1,outer_train_only,-92.18867924528301,60.69636363636357,False,-15.189969194981506,25.24099228288635,247
0,dynamic,raw_SPH,SPH,,T0->T1,outer_train_only,-61.15953563317256,137.8586209841552,False,2.9221701210682243,36.55306333065697,247
0,dynamic,raw_BPE,BPE,,T0->T1,outer_train_only,-65.9414146182171,90.33571103329288,False,-12.269044697702423,31.638345909720357,247
0,dynamic,residual_ftv_response_LD,LD,,T0->T1,outer_train_only,-92.18867924528301,60.69636363636357,False,-15.189969194981506,25.24099228288635,247
0,dynamic,residual_ftv_predictor_for_LD,delta_FTV,,T0->T1,outer_train_only,-95.87407016492061,173.907139790588,False,-37.94083748234949,46.58916221727549,247
0,dynamic,residual_ftv_response_SPH,SPH,,T0->T1,outer_train_only,-61.15953563317256,137.8586209841552,False,2.9221701210682243,36.55306333065697,247
0,dynamic,residual_ftv_predictor_for_SPH,delta_FTV,,T0->T1,outer_train_only,-95.87407016492061,173.907139790588,False,-37.94083748234949,46.58916221727549,247
0,dynamic,residual_ftv_response_BPE,BPE,,T0->T1,outer_train_only,-65.9414146182171,90.33571103329288,False,-12.269044697702423,31.638345909720357,247
0,dynamic,residual_ftv_predictor_for_BPE,delta_FTV,,T0->T1,outer_train_only,-95.87407016492061,173.907139790588,False,-37.94083748234949,46.58916221727549,247
0,dynamic,residual_ftv_ld_response_SPH,SPH,,T0->T1,outer_train_only,-61.15953563317256,137.8586209841552,False,2.9221701210682243,36.55306333065697,247
0,dynamic,residual_ftv_ld_predictor_for_SPH,delta_FTV,,T0->T1,outer_train_only,-95.87407016492061,173.907139790588,False,-37.94083748234949,46.58916221727549,247
0,dynamic,residual_ftv_ld_predictor_for_SPH,delta_LD,,T0->T1,outer_train_only,-92.18867924528301,60.69636363636357,False,-15.189969194981506,25.24099228288635,247
0,dynamic,residual_ftv_ld_response_BPE,BPE,,T0->T1,outer_train_only,-65.9414146182171,90.33571103329288,False,-12.269044697702423,31.638345909720357,247
0,dynamic,residual_ftv_ld_predictor_for_BPE,delta_FTV,,T0->T1,outer_train_only,-95.87407016492061,173.907139790588,False,-37.94083748234949,46.58916221727549,247
0,dynamic,residual_ftv_ld_predictor_for_BPE,delta_LD,,T0->T1,outer_train_only,-92.18867924528301,60.69636363636357,False,-15.189969194981506,25.24099228288635,247
0,dynamic,raw_FTV,FTV,,T1->T2,outer_train_only,-98.65302831182979,180.82168522034831,False,-58.519097618001304,47.05387819253137,247
0,dynamic,raw_LD,LD,,T1->T2,outer_train_only,-100.0,77.95875139353394,False,-35.01818667601753,38.638807020128155,244
0,dynamic,raw_SPH,SPH,,T1->T2,outer_train_only,-51.84406803461012,214.98091332175434,False,24.867474334604047,51.47571147865771,247
0,dynamic,raw_BPE,BPE,,T1->T2,outer_train_only,-67.19067054831721,126.76598323497063,False,-6.70406087540369,34.72961212357116,247
0,dynamic,residual_ftv_response_LD,LD,,T1->T2,outer_train_only,-100.0,77.95875139353394,False,-35.01818667601753,38.638807020128155,244
0,dynamic,residual_ftv_predictor_for_LD,delta_FTV,,T1->T2,outer_train_only,-98.66737610530473,180.8378985116363,False,-58.87562600810516,46.674272654490004,244
0,dynamic,residual_ftv_response_SPH,SPH,,T1->T2,outer_train_only,-51.84406803461012,214.98091332175434,False,24.867474334604047,51.47571147865771,247
0,dynamic,residual_ftv_predictor_for_SPH,delta_FTV,,T1->T2,outer_train_only,-98.65302831182979,180.82168522034831,False,-58.519097618001304,47.05387819253137,247
0,dynamic,residual_ftv_response_BPE,BPE,,T1->T2,outer_train_only,-67.19067054831721,126.76598323497063,False,-6.70406087540369,34.72961212357116,247
0,dynamic,residual_ftv_predictor_for_BPE,delta_FTV,,T1->T2,outer_train_only,-98.65302831182979,180.82168522034831,False,-58.519097618001304,47.05387819253137,247
0,dynamic,residual_ftv_ld_response_SPH,SPH,,T1->T2,outer_train_only,-51.87031785219089,215.25477473588717,False,25.215550310525508,51.63453809952063,244
0,dynamic,residual_ftv_ld_predictor_for_SPH,delta_FTV,,T1->T2,outer_train_only,-98.66737610530473,180.8378985116363,False,-58.87562600810516,46.674272654490004,244
0,dynamic,residual_ftv_ld_predictor_for_SPH,delta_LD,,T1->T2,outer_train_only,-100.0,77.95875139353394,False,-35.01818667601753,38.638807020128155,244
0,dynamic,residual_ftv_ld_response_BPE,BPE,,T1->T2,outer_train_only,-67.2524517872558,126.88147419563973,False,-6.880678262715783,34.8296019720988,244
0,dynamic,residual_ftv_ld_predictor_for_BPE,delta_FTV,,T1->T2,outer_train_only,-98.66737610530473,180.8378985116363,False,-58.87562600810516,46.674272654490004,244
0,dynamic,residual_ftv_ld_predictor_for_BPE,delta_LD,,T1->T2,outer_train_only,-100.0,77.95875139353394,False,-35.01818667601753,38.638807020128155,244
0,dynamic,raw_FTV,FTV,,T2->T3,outer_train_only,-98.14823597246588,937.3179202473264,False,-16.19782857327149,144.34284663807267,247
0,dynamic,raw_LD,LD,,T2->T3,outer_train_only,-100.0,189.45969498910648,False,-34.484390182054675,49.59872116598871,207
0,dynamic,raw_SPH,SPH,,T2->T3,outer_train_only,-52.76391228274934,214.45164682727923,False,26.82407899878367,53.51252384145598,247
0,dynamic,raw_BPE,BPE,,T2->T3,outer_train_only,-67.94968793464368,96.12201627384502,False,-0.9873616372191752,31.2422696570654,247
0,dynamic,residual_ftv_response_LD,LD,,T2->T3,outer_train_only,-100.0,189.45969498910648,False,-34.484390182054675,49.59872116598871,207
0,dynamic,residual_ftv_predictor_for_LD,delta_FTV,,T2->T3,outer_train_only,-98.18885324660869,345.8839844915856,False,-33.10691064259757,81.22286180501666,207
0,dynamic,residual_ftv_response_SPH,SPH,,T2->T3,outer_train_only,-52.76391228274934,214.45164682727923,False,26.82407899878367,53.51252384145598,247
0,dynamic,residual_ftv_predictor_for_SPH,delta_FTV,,T2->T3,outer_train_only,-98.14823597246588,937.3179202473264,False,-16.19782857327149,144.34284663807267,247
