residualizer_id,fold,task_type,target_kind,target,timing,interval,predictors,model,alpha,fit_scope,target_space,n_train,intercept,coefficient_json,residual_train_mean,residual_train_population_scale
b81e28be3f179b17500ec5b6e67d29e6da5eacd8016bb73fc9789064a5504f97,1,static,residual_ftv,BPE,T2,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,2.8286488626215653e-16,[0.20057622260339775],-2.6013593882430446e-17,0.9795062630405055
f7cbe29149d78b36bb9f264a5101db84b372e29886b793344b9ecbcdf8e261b1,1,static,residual_ftv_ld,SPH,T2,,FTV+LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,5.004254303902956e-17,"[-0.5897488507417517,0.016289173037641144]",0.0,0.8123593247243994
1399b766b532c8e989c1be4affe6aec5ac60d6f1281d1f10bef0b22a19bc38d9,1,static,residual_ftv_ld,BPE,T2,,FTV+LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,2.840960043032406e-16,"[0.2285719071912037,-0.049510644336602856]",0.0,0.9786201873501229
ce8f1c846b3489329977cf479838e915f61233b68de5b3ba8b6c79f1a47e57a2,1,static,residual_ftv,LD,T3,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,-2.051714177256087e-17,[0.4600799395405302],0.0,0.8868794294872985
04774ed7cb65ff0d9e950ed80f19fc5fbaa0c4e5511e50f0325a007b8a693471,1,static,residual_ftv,SPH,T3,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,2.6829505391637564e-16,[-0.6204614095314507],1.4864910789960254e-17,0.7821803585178642
afb5769c7ff351d55ec2cc1721037369747f6ccc26555f09e2f4fd87252dd169,1,static,residual_ftv,BPE,T3,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,-1.8268270251231897e-16,[0.26317521832920965],-2.2297366184940382e-17,0.964447620590602
6f5cfac2fcb444d1eb217e38215ebf97067a0e2986e87ea62a5a59c5b56faf2b,1,static,residual_ftv_ld,SPH,T3,,FTV+LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,2.922705272768925e-16,"[-0.6497576396125853,0.06367639091239653]",-2.2297366184940382e-17,0.7800151658103616
72943bc43078d5231487122e9dccc81903c6f3bfdb369f85afc5d191e4bcdfc5,1,static,residual_ftv_ld,BPE,T3,,FTV+LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,-1.9925810606092124e-16,"[0.3184840860551824,-0.12021577767813188]",0.0,0.9583964251689773
015c1023c21703af1c9c53f8c775eb925f7140827010d64c4ad6f9ac1a27e156,1,dynamic,residual_ftv,LD,,T0->T1,delta_FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,-2.728828540966151e-17,[0.38279561004889195],9.290569243725159e-19,0.9231691652743277
2d75f5eb773a6f28ca24e44e4d761bd9aa7a75f8445c2478272703a5952f0304,1,dynamic,residual_ftv,SPH,,T0->T1,delta_FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,2.6959825918312073e-17,[-0.11090049209297957],-9.290569243725159e-18,0.9937797346635932
9baf1201f51af67a99cd641e2d627dad537adf993418614cb5985e0098a75dff,1,dynamic,residual_ftv,BPE,,T0->T1,delta_FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,-6.07915223619352e-17,[0.28087262450058337],-7.432455394980127e-18,0.9594010663961249
a39b1fb3c9333c025f8e82c9f30e0e55b07fc0b03f91f9a7d401abfb36ba802e,1,dynamic,residual_ftv_ld,SPH,,T0->T1,delta_FTV+delta_LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,1.9738096705618546e-17,"[-0.11131272099719951,0.001076890364984299]",2.043925233619535e-17,0.9937790393238282
132ad3e035988eb82b20f5b0bf681648484293b540fe713bfa775e80ad9e1a5a,1,dynamic,residual_ftv_ld,BPE,,T0->T1,delta_FTV+delta_LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,-4.1962219649536293e-17,"[0.30548998634697705,-0.06430941526014247]",-1.4864910789960254e-17,0.9575114886143186
c7d81fd9268f852a2eb03a67e74e353af6d4457ac736f0d6ff7b8cd43321740b,1,dynamic,residual_ftv,LD,,T1->T2,delta_FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,235,-4.405014658795007e-17,[0.23643902083536783],1.5117930548087238e-17,0.9714014698976955
c1f6cce66648f5463672c5f438c640e54f3dcf38ecbd106d0c1e807b32eadc93,1,dynamic,residual_ftv,SPH,,T1->T2,delta_FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,-7.474559594610579e-17,[-0.3820811389697153],-2.2297366184940382e-17,0.9234675755560585
f4488395b2ad0043a1b35f50ea95f3018a8b26a087dc63a30ac6189b50052526,1,dynamic,residual_ftv,BPE,,T1->T2,delta_FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,2.0520859881516492e-17,[0.1576224862946413],1.8581138487450318e-17,0.9873941690808781
90de4658c58a8bf83151882380b5ecef5aab5de9d215f71d23bd696d765bb500,1,dynamic,residual_ftv_ld,SPH,,T1->T2,delta_FTV+delta_LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,235,2.924031640300152e-17,"[-0.3508616072847386,-0.10189267645386242]",-1.5117930548087238e-17,0.9210866017255922
acf273f08c44c8fa8ad531dfebade2f9158eb00becf9f935d8ed0232b6c69223,1,dynamic,residual_ftv_ld,BPE,,T1->T2,delta_FTV+delta_LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,235,1.4241768344393996e-17,"[0.1486551593063617,-0.011332418167823521]",-7.558965274043619e-18,0.9891329873456544
b59e107a6dd86fbfaf4e1e0299cf6c4582c6acd3977113b63bb7c9946ed6759f,1,dynamic,residual_ftv,LD,,T2->T3,delta_FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,201,-4.7981689523682053e-17,[0.022719031128663438],3.203628628271596e-17,0.9997393209032757
c38ab3bc5c8762489ea72fe7861ed2acc239f22f56d6b0448a5a1aec548aaedf,1,dynamic,residual_ftv,SPH,,T2->T3,delta_FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,3.396944088516933e-17,[-0.41485072306103776],-7.432455394980127e-18,0.9090977399702661
65810d6ef67651064a69966391819d99dbe0404d170ef024fa6a09a3938aaf32,1,dynamic,residual_ftv,BPE,,T2->T3,delta_FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,239,-2.442817201969346e-17,[0.20850134825917147],7.432455394980127e-18,0.9778360795912882
be4e5ddd6239826d2fcfbdee53a316b29f1f5de3c2cff3b685c22b9b0f4b562e,1,dynamic,residual_ftv_ld,SPH,,T2->T3,delta_FTV+delta_LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,201,6.467427893437159e-18,"[-0.4476552585526817,-0.12014642085368597]",1.3256394323882466e-17,0.8835021131593728
5753bf8c88e055c31ec601d550a7975a29f86802802250983cc8b95b54b7080f,1,dynamic,residual_ftv_ld,BPE,,T2->T3,delta_FTV+delta_LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,201,5.129603718960813e-18,"[0.2287242746542224,0.02279426022642309]",1.7675192431843288e-17,0.9728318653509843
0197494b6a292855783bfe55261a5bdf12a2a0afb3f8cacb67ff05ba64a6eff2,2,static,residual_ftv,LD,T0,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,240,-3.8811497027315985e-17,[0.5902502677401062],-2.2204460492503132e-17,0.8054199690914912
4b3c90607e7b729210fd8af05d1027e4e2031e14ba7593e89d7fea1a7454e40e,2,static,residual_ftv,SPH,T0,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,240,3.600821671981054e-17,[-0.6054000903180621],2.960594732333751e-17,0.7940003065059694
51412b8d59bce5ac2ef8ca7461bb926896c7fda0cf54bb3e1ea104deabd9a078,2,static,residual_ftv,BPE,T0,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,240,-3.8003243695554895e-16,[0.22618327024594587],-7.401486830834377e-18,0.9738659067498409
e8fba3058f2cd9cd07dfc8b78373b87e85a2e9f8009062a8a631348f26e28130,2,static,residual_ftv_ld,SPH,T0,,FTV+LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,240,2.0168176582675634e-17,"[-0.5753734753633553,-0.05087098913088149]",2.2204460492503132e-17,0.7930196375989964
c0a22be93b0f59f4119d455548f8a9964cc1c06a91a9dc4d4f864d6775446404,2,static,residual_ftv_ld,BPE,T0,,FTV+LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,240,-3.8618703904188145e-16,"[0.386164821046253,-0.27104020030830195]",-7.401486830834377e-18,0.948489524404625
