oracle_representation,matched_reference,seed,arm,task_type,target_definition,target_kind,target,timing,interval,input_variant,metric_space,n_oracle,spearman_oracle,pearson_oracle,natural_r2_oracle,transformed_r2_oracle,residual_spearman_oracle,residual_transformed_r2_oracle,reconstructed_natural_r2_oracle,rmse_oracle,mae_oracle,reconstructed_natural_rmse_oracle,reconstructed_natural_mae_oracle,prediction_target_variance_ratio_oracle,calibration_slope_oracle,n_full_local_matched,spearman_full_local_matched,pearson_full_local_matched,natural_r2_full_local_matched,transformed_r2_full_local_matched,residual_spearman_full_local_matched,residual_transformed_r2_full_local_matched,reconstructed_natural_r2_full_local_matched,rmse_full_local_matched,mae_full_local_matched,reconstructed_natural_rmse_full_local_matched,reconstructed_natural_mae_full_local_matched,prediction_target_variance_ratio_full_local_matched,calibration_slope_full_local_matched,delta_spearman,delta_pearson,delta_natural_r2,delta_transformed_r2,delta_residual_spearman,delta_residual_transformed_r2,delta_reconstructed_natural_r2,delta_rmse,delta_mae,delta_reconstructed_natural_rmse,delta_reconstructed_natural_mae,delta_prediction_target_variance_ratio,delta_calibration_slope
Z5,Z4_MATCHED_Z5,2026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,FTV,,T2->T3,difference,natural_target,373,0.3062696291555075,0.14593766177078266,0.01946224763190707,0.04581749943690258,,,,215.74012761350988,76.76825980780812,,,0.019399037801029625,1.047797333767362,373,0.24582466386191246,0.11128931713459358,0.009621077197957573,0.026894791656311746,,,,216.82006294141922,77.5211648791749,,,0.01877499295818954,0.8122011240872373,0.06044496529359503,0.03464834463618907,0.009841170433949498,0.018922707780590835,,,,-1.0799353279093395,-0.7529050713667829,,,0.0006240448428400866,0.23559620968012474
Z5,Z4_MATCHED_Z5,2026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,FTV,,T2->T3,difference,natural_target,373,0.33403775919965994,0.15564047089241928,0.02230405921734213,0.05124998740475528,,,,215.4272698696055,77.65166223240057,,,0.027776271851275517,0.9338681397596782,373,0.27385016101052545,0.10911978979868535,0.008037348459658755,0.02202499238894285,,,,216.99335368341107,77.02469065966216,,,0.021213580741645758,0.7491978631961395,0.060187598189134495,0.04652068109373393,0.014266710757683376,0.02922499501581243,,,,-1.5660838138055624,0.6269715727384124,,,0.006562691109629759,0.18467027656353874
Z5,Z4_MATCHED_Z5,3026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,FTV,,T2->T3,difference,natural_target,373,0.2375632491799169,0.1674227643066683,0.025835717349173337,0.036373514503999754,,,,215.03783193668147,78.32561092920315,,,0.02391535730452169,1.0826200636017254,373,0.1947267723297758,0.134902249073634,0.01579542675588619,0.01985179277284383,,,,216.14314228582322,77.72170850890028,,,0.0175490531667148,1.0183389269128407,0.04283647685014108,0.032520515233034314,0.010040290593287149,0.016521721731155924,,,,-1.105310349141746,0.6039024203028731,,,0.006366304137806891,0.06428113668888469
Z5,Z4_MATCHED_Z5,3026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,FTV,,T2->T3,difference,natural_target,373,0.2705603480768688,0.16769619028052207,0.026146035862531947,0.034545730451373206,,,,215.00357922563498,79.57444571927047,,,0.031497324185828575,0.944901125314343,373,0.19356133638504894,0.13268825182909474,0.013927719028087537,0.013842526472280809,,,,216.34813060315423,79.22249532745121,,,0.02681458048352169,0.8103021083231201,0.07699901169181986,0.03500793845142733,0.01221831683444441,0.020703203979092397,,,,-1.3445513775192524,0.35195039181925836,,,0.004682743702306886,0.1345990169912229
Z5,Z4_MATCHED_Z5,2026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,LD,,T0->T1,difference,natural_target,375,0.12770470466734013,0.05057366033088588,-0.004918933798492731,-0.018362382111017917,,,,36.03008223231938,19.30229183151075,,,0.01736589937778489,0.3837741754090227,375,0.1538179057985742,0.06605707063018965,-0.0024388410635487467,-0.016862767999280687,,,,35.985594491508984,19.424212895680434,,,0.01947911607057433,0.47329802019711753,-0.02611320113123408,-0.015483410299303765,-0.002480092734943984,-0.0014996141117372304,,,,0.0444877408103963,-0.12192106416968329,,,-0.002113216692789438,-0.08952384478809483
Z5,Z4_MATCHED_Z5,2026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,LD,,T0->T1,difference,natural_target,375,0.10494549998637323,0.0265696255049067,-0.021046537416255395,-0.04200555265730871,,,,36.31804875517769,19.670433347091084,,,0.02841704692665074,0.15761442461963945,375,0.11660892042438346,0.03608135707721382,-0.011450519695985983,-0.029150552362332254,,,,36.146983413289945,19.551503766194752,,,0.020377561370652116,0.2527590758462274,-0.011663420438010233,-0.00951173157230712,-0.009596017720269412,-0.012855000294976455,,,,0.17106534188774702,0.11892958089633154,,,0.008039485555998625,-0.09514465122658797
Z5,Z4_MATCHED_Z5,3026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,LD,,T0->T1,difference,natural_target,375,0.06700703832219093,0.017886175306735953,-0.015421132859402942,-0.03575615713157979,,,,36.217864342621496,19.53203532272124,,,0.018862949041536244,0.1302304938067287,375,0.0868323930062519,0.07819113624997441,0.003697935280153497,-0.012495147921692321,,,,35.87527625824461,19.3149223182164,,,0.012432477197951368,0.7012593882754853,-0.019825354684060964,-0.06030496094323846,-0.01911906813955644,-0.02326100920988747,,,,0.34258808437688515,0.2171130045048386,,,0.006430471843584876,-0.5710288944687566
Z5,Z4_MATCHED_Z5,3026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,LD,,T0->T1,difference,natural_target,375,0.10075246343800022,0.04748436838665791,-0.008074738031098816,-0.025535140695382087,,,,36.086611547461686,19.44032321139304,,,0.02019673967346976,0.3341258155254649,375,0.10883467349935244,0.0877902305942112,0.0036378970752239947,-0.013725842822693235,,,,35.87635718280367,19.418238189752596,,,0.017662546459815204,0.6605710418542301,-0.008082210061352221,-0.04030586220755329,-0.01171263510632281,-0.011809297872688852,,,,0.21025436465801306,0.022085021640442903,,,0.0025341932136545564,-0.3264452263287652
Z5,Z4_MATCHED_Z5,2026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,LD,,T1->T2,difference,natural_target,369,0.022650682415722954,0.02340148860903812,-0.006844183513082802,-0.019014856502081776,,,,52.74091394829894,33.080105291137336,,,0.011804537502919947,0.2153867565442505,369,-0.015462892030057513,-0.02082762495968255,-0.030783472792858868,-0.07207019699378431,,,,53.364229343845565,33.89791214046509,,,0.02411121607700598,-0.13413131774804105,0.038113574445780465,0.04422911356872067,0.023939289279776066,0.05305534049170253,,,,-0.6233153955466264,-0.8178068493277522,,,-0.012306678574086032,0.34951807429229154
Z5,Z4_MATCHED_Z5,2026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,LD,,T1->T2,difference,natural_target,369,0.03755244716290911,0.002429836841199492,-0.02197684642090092,-0.04728094020630153,,,,53.13577839328419,33.45392134888914,,,0.022438554985404667,0.016221076400869113,369,-0.013257514615675712,-0.01008694278632503,-0.014100685152664827,-0.03918794103787138,,,,52.93062921705785,33.42458795710332,,,0.011864605254954412,-0.09260467475673351,0.05080996177858482,0.01251677962752452,-0.007876161268236093,-0.008092999168430155,,,,0.20514917622634243,0.029333391785819174,,,0.010573949730450255,0.10882575115760262
Z5,Z4_MATCHED_Z5,3026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,LD,,T1->T2,difference,natural_target,369,0.034577120305576935,0.004551512623866486,-0.019831278546513786,-0.04710106296656591,,,,53.07997168910496,33.36891383474979,,,0.021137918541191174,0.031305788124517904,369,0.022755632005630865,-0.0005176107106436643,-0.011154811714985335,-0.02904513543718761,,,,52.85369388892866,33.089663413672234,,,0.01097806307644689,-0.004940152931263648,0.01182148829994607,0.0050691233345101505,-0.008676466831528451,-0.0180559275293783,,,,0.22627780017629817,0.27925042107755615,,,0.010159855464744284,0.03624594105578155
Z5,Z4_MATCHED_Z5,3026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,LD,,T1->T2,difference,natural_target,369,0.01925400150358377,-0.00781604115829453,-0.022873482634585995,-0.05005616681372945,,,,53.159082745943415,33.476894921161396,,,0.02058055134778983,-0.05448266402939773,369,0.015750336630922727,-0.004293597308864596,-0.018749029294818476,-0.04041601531723296,,,,53.051799868254854,33.145408217225636,,,0.017396828116915408,-0.03255264437835014,0.003503664872661044,-0.0035224438494299336,-0.00412445333976752,-0.00964015149649649,,,,0.10728287768856148,0.3314867039357594,,,0.003183723230874423,-0.021930019651047586
Z5,Z4_MATCHED_Z5,2026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,LD,,T2->T3,difference,natural_target,311,0.02329190786116452,0.048707886048181236,-0.012689573182849578,-0.037000690928413946,,,,73.08076246553163,41.35100345523106,,,0.019663865471155485,0.34734802524930325,311,0.009359248706664705,0.06518980232161284,-0.012825503956215734,-0.03530634982078335,,,,73.08566702438863,41.33341940716969,,,0.026036941452017057,0.4040030844622838,0.013932659154499814,-0.016481916273431603,0.00013593077336615522,-0.001694341107630594,,,,-0.00490455885699248,0.01758404806136582,,,-0.006373075980861571,-0.05665505921298053
