comparison,candidate,reference,seed,arm,task_type,target_definition,target_kind,target,timing,interval,input_variant,metric_space,n_candidate,spearman_candidate,pearson_candidate,natural_r2_candidate,transformed_r2_candidate,residual_spearman_candidate,residual_transformed_r2_candidate,reconstructed_natural_r2_candidate,rmse_candidate,mae_candidate,reconstructed_natural_rmse_candidate,reconstructed_natural_mae_candidate,prediction_target_variance_ratio_candidate,calibration_slope_candidate,n_reference,spearman_reference,pearson_reference,natural_r2_reference,transformed_r2_reference,residual_spearman_reference,residual_transformed_r2_reference,reconstructed_natural_r2_reference,rmse_reference,mae_reference,reconstructed_natural_rmse_reference,reconstructed_natural_mae_reference,prediction_target_variance_ratio_reference,calibration_slope_reference,delta_spearman,delta_pearson,delta_natural_r2,delta_transformed_r2,delta_residual_spearman,delta_residual_transformed_r2,delta_reconstructed_natural_r2,delta_rmse,delta_mae,delta_reconstructed_natural_rmse,delta_reconstructed_natural_mae,delta_prediction_target_variance_ratio,delta_calibration_slope
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,2026,LOCAL3,static,goal6_workbook_endpoint,residual_ftv_ld,SPH,T0,,current,goal6_transformed_standardized_residual,375,0.2468028205640882,0.22998767264133774,,0.023368224321566492,0.2468028205640882,0.023368224321566492,0.33209451880806284,,,0.07705335005672623,0.0608686164706902,0.07439342839234729,1.4481045654090134,375,0.1397590289937467,0.12596787932914202,,-0.11772083856536458,0.1397590289937467,-0.11772083856536458,0.25113285746107417,,,0.08158990162074659,0.06360649511526262,0.19840522701137187,0.46638589824054727,0.1070437915703415,0.10401979331219571,,0.14108906288693107,0.1070437915703415,0.14108906288693107,0.08096166134698868,,,-0.004536551564020358,-0.0027378786445724154,-0.12401179861902457,0.9817186671684661
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,3026,LOCAL0,static,goal6_workbook_endpoint,residual_ftv_ld,SPH,T0,,current,goal6_transformed_standardized_residual,375,0.06430321479283821,0.04999297882108264,,-0.08347275825162204,0.06430321479283821,-0.08347275825162204,0.26768134156094103,,,0.08068337774420581,0.06426306709745959,0.10204808547922711,0.17171351950867908,375,0.1728293037627143,0.1627129540455406,,-0.036236659284100234,0.1728293037627143,-0.036236659284100234,0.30178946302976684,,,0.0787820397361521,0.06278947342326392,0.14984982820549334,0.4822469512752191,-0.10852608896987609,-0.11271997522445795,,-0.0472360989675218,-0.10852608896987609,-0.0472360989675218,-0.0341081214688258,,,0.0019013380080537129,0.0014735936741956668,-0.04780174272626622,-0.31053343176654
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,3026,LOCAL3,static,goal6_workbook_endpoint,residual_ftv_ld,SPH,T0,,current,goal6_transformed_standardized_residual,375,0.08760746568922925,0.06919536440436277,,-0.08162296743027637,0.08760746568922925,-0.08162296743027637,0.26545369996733525,,,0.08080600002793688,0.06400144612617516,0.12318546884316277,0.1833568834406588,375,0.12710332453915696,0.1187536004930456,,-0.04234233855708256,0.12710332453915696,-0.04234233855708256,0.2971187131889802,,,0.07904511071173416,0.06290829955689821,0.1252991551946459,0.41041033431785073,-0.039495858849927706,-0.04955823608868283,,-0.039280628873193814,-0.039495858849927706,-0.039280628873193814,-0.031665013221644944,,,0.0017608893162027184,0.0010931465692769482,-0.0021136863514831378,-0.22705345087719192
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,2026,LOCAL0,static,goal6_workbook_endpoint,residual_ftv_ld,SPH,T1,,current,goal6_transformed_standardized_residual,375,0.02314560272915933,0.01198792397103972,,-0.07211326409039909,0.02314560272915933,-0.07211326409039909,0.21946112134469975,,,0.08071597910814193,0.063587979377729,0.059494377292542124,0.17489963645380802,375,0.007946259490053339,0.02365696230414405,,-0.03681500921686988,0.007946259490053339,-0.03681500921686988,0.24020011368992478,,,0.0796364443708049,0.06230447042407197,0.03675629831332938,0.11447601281923249,0.015199343239105993,-0.01166903833310433,,-0.03529825487352921,0.015199343239105993,-0.03529825487352921,-0.020738992345225027,,,0.0010795347373370318,0.001283508953657031,0.02273807897921274,0.06042362363457553
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,2026,LOCAL3,static,goal6_workbook_endpoint,residual_ftv_ld,SPH,T1,,current,goal6_transformed_standardized_residual,375,-0.017105329662346874,-0.028774184963694792,,-0.08663284088876602,-0.017105329662346874,-0.08663284088876602,0.2090841560200376,,,0.0812507515856307,0.06398389157602348,0.058847636620258686,-0.06264548657009211,375,-0.022174515815051525,-0.012438843712059755,,-0.04562727433090176,-0.022174515815051525,-0.04562727433090176,0.23381402695925824,,,0.07997041460410964,0.06283582308855626,0.029680900774621054,-0.07417088724660957,0.005069186152704651,-0.016335341251635035,,-0.04100556655786426,0.005069186152704651,-0.04100556655786426,-0.024729870939220633,,,0.0012803369815210658,0.0011480684874672215,0.029166735845637632,0.011525400676517458
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,3026,LOCAL0,static,goal6_workbook_endpoint,residual_ftv_ld,SPH,T1,,current,goal6_transformed_standardized_residual,375,-0.022137030444169765,-0.0459337389947059,,-0.15088648279462447,-0.022137030444169765,-0.15088648279462447,0.17771093821742956,,,0.08284656489871048,0.06517439976424085,0.10897739647246077,-0.18031608058083232,375,0.021179564745473254,-0.008798118554724763,,-0.19575267404107216,0.021179564745473254,-0.19575267404107216,0.15556467078201885,,,0.08395478361634624,0.06570497427772896,0.16629407851826905,-0.004193362053734936,-0.04331659518964302,-0.03713562043998114,,0.044866191246447695,-0.04331659518964302,0.044866191246447695,0.022146267435410705,,,-0.0011082187176357644,-0.000530574513488119,-0.05731668204580828,-0.17612271852709738
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,3026,LOCAL3,static,goal6_workbook_endpoint,residual_ftv_ld,SPH,T1,,current,goal6_transformed_standardized_residual,375,-0.010156663107263004,-0.03656507383795075,,-0.15599443362168672,-0.010156663107263004,-0.15599443362168672,0.1796834545232755,,,0.08274713859801963,0.06512630769205124,0.10939169724825391,-0.06307922799478753,375,0.01688225003540888,-0.019456610664106103,,-0.08736442530902305,0.01688225003540888,-0.08736442530902305,0.20901394912698612,,,0.08125435768120129,0.06336049674159705,0.0775612018842634,-0.1834677862983311,-0.027038913142671882,-0.017108463173844644,,-0.06863000831266367,-0.027038913142671882,-0.06863000831266367,-0.029330494603710622,,,0.0014927809168183426,0.0017658109504541941,0.03183049536399052,0.12038855830354357
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,2026,LOCAL0,static,goal6_workbook_endpoint,residual_ftv_ld,SPH,T2,,current,goal6_transformed_standardized_residual,375,0.11120010969023725,0.08211139038658608,,-0.1280547846436354,0.11120010969023725,-0.1280547846436354,0.28275153613222337,,,0.10284081036188314,0.07518399532663678,0.061959159011650146,0.6479983892097849,375,0.12769115433544387,0.10234200811979512,,-0.11158826671596628,0.12769115433544387,-0.11158826671596628,0.2924357905964776,,,0.10214417503410164,0.07444837085647536,0.05473301215344586,0.8036082638443989,-0.01649104464520662,-0.02023061773320904,,-0.016466517927669122,-0.01649104464520662,-0.016466517927669122,-0.00968425446425425,,,0.0006966353277814974,0.000735624470161414,0.007226146858204288,-0.15560987463461395
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,2026,LOCAL3,static,goal6_workbook_endpoint,residual_ftv_ld,SPH,T2,,current,goal6_transformed_standardized_residual,375,0.10967215801000778,0.08907774790232682,,-0.13005639226683555,0.10967215801000778,-0.13005639226683555,0.28296832643767855,,,0.1028252672295222,0.07535456668732117,0.06025620863422822,0.7460461479533115,375,0.1420730467809743,0.09935460186335966,,-0.0744367557254459,0.1420730467809743,-0.0744367557254459,0.3140077587685878,,,0.10057505496758821,0.0728238792324441,0.01871805381199398,0.8233370860250758,-0.032400888770966516,-0.010276853961032839,,-0.05561963654138964,-0.032400888770966516,-0.05561963654138964,-0.031039432330909222,,,0.00225021226193399,0.0025306874548770703,0.04153815482223423,-0.07729093807176435
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,3026,LOCAL0,static,goal6_workbook_endpoint,residual_ftv_ld,SPH,T2,,current,goal6_transformed_standardized_residual,375,0.08223693555594509,0.06381349022091838,,-0.08955334478806778,0.08223693555594509,-0.08955334478806778,0.3045379984797225,,,0.10126686835727156,0.07395192426190123,0.026954670002343476,0.4528549672856913,375,0.08839466612013094,0.06504810025128195,,-0.09709936744412107,0.08839466612013094,-0.09709936744412107,0.30067951906879387,,,0.10154739818135297,0.0739118680664295,0.03303119454710425,0.47345703272970385,-0.006157730564185851,-0.0012346100303635699,,0.007546022656053281,-0.006157730564185851,0.007546022656053281,0.00385847941092865,,,-0.0002805298240814158,4.005619547171879e-05,-0.0060765245447607745,-0.02060206544401255
