population,arm,timing,model,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,calibration_slope_mean,calibration_slope_std,ece10_mean,ece10_std,n_cells
full_808,C1,T0_T1,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C1,T0_T1,C_PLUS_M,0.7006469918725252,0.017620226765890572,0.5153603118287337,0.03821354050344317,0.21786497165005958,0.017042999424090006,3.3522471157797056,2.8859133795729437,0.11923109576422357,0.04138144552253226,10
full_808,C1,T0_T2,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C1,T0_T2,C_PLUS_M,0.699575030858755,0.022084572667478836,0.5169569737968189,0.03191139108240638,0.21280847088556243,0.01389545886070742,2.4093962881824096,2.890732132805655,0.09627487486227534,0.04007017820557449,10
full_808,C1,T0_T3,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C1,T0_T3,C_PLUS_M,0.6994772446738591,0.024181048947251923,0.5172979607770802,0.02842644997837326,0.2171046648448137,0.01431550235052935,3.0352161068955654,3.2971562425261833,0.11034732914139755,0.04383563696653495,10
full_808,C2,T0,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C2,T0,C_PLUS_M,0.6807265032622114,0.02776410512447351,0.5159340182287069,0.033734435388815515,0.21494637787168416,0.012562804858006081,1.8225555660417097,1.804188174573839,0.09788853812362923,0.04732351806457818,10
full_808,C2,T0_T1,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C2,T0_T1,C_PLUS_M,0.6644449431717991,0.0423965466756357,0.49820409587183684,0.062237012552970886,0.2208386394432503,0.01618291226352028,1.7568706716520797,1.611669199224702,0.11491398155797525,0.03660003220738965,10
full_808,C2,T0_T2,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C2,T0_T2,C_PLUS_M,0.6754399576794217,0.049908264031556966,0.530636318343044,0.06387299358467428,0.22013921551945428,0.01922692266447245,2.2077282101419256,1.6962177395047189,0.11655261837425952,0.037524162290732944,10
full_808,C2,T0_T3,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C2,T0_T3,C_PLUS_M,0.6739816610827015,0.03909314273138068,0.5249379930699479,0.03490789639461017,0.2212028682340113,0.018439519024703373,2.4603898592728775,1.8808319869684869,0.1204777420814774,0.031443458126819056,10
full_808,C3,T0,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C3,T0,C_PLUS_M,0.7008488161459419,0.0334060140744755,0.5443130012826904,0.036788884738190225,0.20934931492872688,0.01639297398675819,2.2489258403582872,2.5915182727224186,0.10171047099716046,0.04294498039365589,10
full_808,C3,T0_T1,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C3,T0_T1,C_PLUS_M,0.6616291819624566,0.031569935381502205,0.4979312400227663,0.06315492436858432,0.2242741261855991,0.014865342380211559,2.354379216574818,1.8549463149384,0.12000166811479188,0.029226930029704983,10
full_808,C3,T0_T2,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C3,T0_T2,C_PLUS_M,0.6767712925409981,0.04393491784807859,0.5340525523347026,0.05694953039547613,0.2176828963733788,0.015163620377261698,2.131855378547406,2.0700365722943532,0.11313090274335587,0.028755164950263028,10
full_808,C3,T0_T3,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C3,T0_T3,C_PLUS_M,0.6722139754091792,0.04197843911887697,0.5143605567316429,0.06830845030874795,0.22605904932470794,0.014938324648911153,3.1575812812246076,2.7339756665092803,0.12616743477577988,0.045612167529486984,10
full_808,C4,T0,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C4,T0,C_PLUS_M,0.7005939308443276,0.02075834390639453,0.5279400794763612,0.03959897248732981,0.2137373153887172,0.01672855457852911,2.960520635195703,3.326089570501866,0.10063085267840995,0.042173024177509955,10
full_808,C4,T0_T1,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C4,T0_T1,C_PLUS_M,0.6957094307561598,0.008194821240786968,0.5212488518923604,0.03349669799583755,0.21173912665215675,0.009118958526919315,1.7756658406278152,1.2516362043731377,0.1042603071721542,0.016007699857922747,10
full_808,C4,T0_T2,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C4,T0_T2,C_PLUS_M,0.6823077539635467,0.01915400650092179,0.5103296217849946,0.028048508168951332,0.22633940595296584,0.013369735211942133,3.676720512919504,2.404123777911021,0.12439813133266733,0.039218896320171934,10
full_808,C4,T0_T3,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C4,T0_T3,C_PLUS_M,0.6827006620605633,0.031157149708298026,0.5106630561854771,0.06830151115049998,0.2178125435540131,0.014529679000034228,2.1600002260530813,1.8319521302081816,0.10666084559667435,0.029895507100417554,10
full_808,C5,T0,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C5,T0,C_PLUS_M,0.7057786826116927,0.01947385830596142,0.5286240078040689,0.04043643598014589,0.21746388605109135,0.017008663439314037,3.7238084951162405,3.2300521185087723,0.12210637825407007,0.04095861700639589,10
full_808,C5,T0_T1,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C5,T0_T1,C_PLUS_M,0.6929561885830621,0.025352990743671415,0.5191326443270614,0.04631897935774611,0.21519133043754185,0.016529779842269155,2.747730788144188,3.0954403827314403,0.09830099930819172,0.03880511033738977,10
full_808,C5,T0_T2,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C5,T0_T2,C_PLUS_M,0.6914049149580801,0.01803070923976348,0.5244134856317976,0.03627464688835553,0.21188302499346423,0.014258516661996554,2.097742954621652,2.3742497970569234,0.10016788344131963,0.031211119689910177,10
full_808,C5,T0_T3,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C5,T0_T3,C_PLUS_M,0.6967903688623138,0.031497594498183255,0.5204065717314303,0.051682581488284925,0.21508036561233249,0.017102431765741746,2.7397294090428574,2.684382031299589,0.10943547252384608,0.025249326044787225,10
