n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,seed,fold,timing,population,arm,model,selected_c,validation_auroc
84.0,23.0,61.0,0.6985032074126871,0.4158016845562925,0.24131369436645414,11.142292359569176,0.21547081639342755,2026,4,T0_T1,ftv_complete_375,C3,C_PLUS_M,0.001,0.6478260869565218
84.0,23.0,61.0,0.7683535281539557,0.5175179874100223,0.18113629306086262,2.4862240735672874,0.09388739667359959,2026,4,T0_T1,ftv_complete_375,C3,F,0.1,0.6706521739130435
84.0,23.0,61.0,0.8189593727726301,0.5574282144862347,0.19638158611851506,4.32890848256267,0.212318323840287,2026,4,T0_T1,ftv_complete_375,C3,C_PLUS_F,0.01,0.725
84.0,23.0,61.0,0.7327156094084105,0.43514186683879547,0.24037605730596107,13.885300157051514,0.21563427939947977,2026,4,T0_T1,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.001,0.7076086956521739
84.0,23.0,61.0,0.7526728439059159,0.507493425780703,0.20279496876484693,3.289152296398268,0.1765174819852552,2026,4,T0_T2,ftv_complete_375,C3,C,0.01,0.6885869565217391
84.0,23.0,61.0,0.7519600855310049,0.4544455666827757,0.24030725568254066,15.481612849476473,0.21498417036527073,2026,4,T0_T2,ftv_complete_375,C3,C_PLUS_M,0.001,0.7239130434782608
84.0,23.0,61.0,0.7191732002851033,0.5548040067636433,0.21241821472074182,4.568921399223661,0.16858786226138045,2026,4,T0_T2,ftv_complete_375,C3,F,0.01,0.7315217391304347
84.0,23.0,61.0,0.8410548823948681,0.5969347225192219,0.19276784531558963,4.134158507517204,0.15938746778581298,2026,4,T0_T2,ftv_complete_375,C3,C_PLUS_F,0.01,0.775
84.0,23.0,61.0,0.7811831789023522,0.5239715842264759,0.23845674538276618,16.57060573417116,0.220624958642357,2026,4,T0_T2,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.001,0.7869565217391304
84.0,23.0,61.0,0.7526728439059159,0.507493425780703,0.20279496876484693,3.289152296398268,0.1765174819852552,2026,4,T0_T3,ftv_complete_375,C3,C,0.01,0.6885869565217391
84.0,23.0,61.0,0.6942266571632216,0.5752862246586925,0.2405046408854656,13.789598578951262,0.22239729833709726,2026,4,T0_T3,ftv_complete_375,C3,C_PLUS_M,0.001,0.682608695652174
