population,arm,timing,model,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,calibration_slope_mean,calibration_slope_std,ece10_mean,ece10_std,n_cells
ftv_complete_375,C0,T0_T2,C,0.6961589583479194,0.05945133767546719,0.490055109057408,0.06370225035646739,0.20959045241683003,0.005479237195107193,2.289865022083151,0.9416880177613691,0.14098391001348767,0.019459714222558194,10
ftv_complete_375,C0,T0_T2,C_PLUS_F,0.7665187709431273,0.04465439435334441,0.5910305508501639,0.06888827141570289,0.18006013278717847,0.00858774631039579,1.5174033986658864,1.4076468934022002,0.11036987351584741,0.046913955499267454,10
ftv_complete_375,C0,T0_T2,C_PLUS_F_PLUS_M,0.7311512647973258,0.061486922601598874,0.5523981764919739,0.08978617975798547,0.19991796485473684,0.023030893892700917,2.4516080923985557,4.950408605062569,0.16197424317676562,0.04049646786403951,10
ftv_complete_375,C0,T0_T2,C_PLUS_M,0.6738242383923201,0.07246539798005693,0.48446617323514085,0.08527544627373362,0.22303016050411445,0.022828640043357305,7.3650110550030705,8.457693323370014,0.1744878290316238,0.05584811407071783,10
ftv_complete_375,C0,T0_T2,F,0.7098247394787803,0.03554747699584222,0.5010608012607328,0.047940515501463596,0.19357681587254907,0.014025457522964977,1.8902611668056502,1.4302986865833618,0.09688851174635478,0.0402145515087708,10
ftv_complete_375,C0,T0_T3,C,0.6961589583479194,0.05945133767546719,0.490055109057408,0.06370225035646739,0.20959045241683003,0.005479237195107193,2.289865022083151,0.9416880177613691,0.14098391001348767,0.019459714222558194,10
ftv_complete_375,C0,T0_T3,C_PLUS_F,0.7476206349332826,0.028537838987613535,0.5625377631074008,0.04989196462133018,0.20493517205956274,0.030825818411621558,7.4078451181831095,8.649821484166385,0.1458398047430299,0.0626842304377819,10
ftv_complete_375,C0,T0_T3,C_PLUS_F_PLUS_M,0.7263139902929867,0.042762244917717115,0.5492691462351288,0.07167681996860034,0.21435806569646937,0.026666001363486586,6.502435056430135,7.806806098960945,0.17207503917401504,0.05079117437876907,10
ftv_complete_375,C0,T0_T3,C_PLUS_M,0.6864417811844221,0.06345966670888162,0.4948724188808377,0.07969870882609953,0.21804319905371505,0.02405843550764962,6.638596481190774,7.832542631808628,0.15792732040505938,0.05597441265398727,10
ftv_complete_375,C0,T0_T3,F,0.7062769338682553,0.029021336907898442,0.4894259246237905,0.039911899351419644,0.18854911262793989,0.009915452815459254,1.3313110354573952,0.2489648626595477,0.0890678007721523,0.032874269395527914,10
ftv_complete_375,C1,T0,C,0.6961589583479194,0.05945133767546719,0.490055109057408,0.06370225035646739,0.20959045241683003,0.005479237195107178,2.289865022083152,0.9416880177613693,0.14098391001348767,0.019459714222558135,10
ftv_complete_375,C1,T0,C_PLUS_F,0.701030919841618,0.055678843978264767,0.5079266606446124,0.06819616379718443,0.20705573391145818,0.024521534580064883,3.8995293968510483,4.839843912834739,0.1287248329504839,0.04283539802347443,10
ftv_complete_375,C1,T0,C_PLUS_F_PLUS_M,0.6876820105562292,0.067064249243603,0.48011090243188936,0.07825244578916579,0.2157454761867331,0.02275910391261523,4.199345689921779,3.7582182811872245,0.15510557966240163,0.03612887027685674,10
ftv_complete_375,C1,T0,C_PLUS_M,0.6870205307611469,0.0703640105286002,0.4803611757437265,0.08247016437282738,0.21571180587505578,0.022992885646956614,4.5832072605016645,5.207212314036457,0.16927294577547453,0.04185034602878558,10
ftv_complete_375,C1,T0,F,0.5143817890897032,0.08104862087302242,0.35623717806511823,0.07171634978551912,0.24524256316165785,0.0004047329415159379,32.07148356956655,62.98862718002927,0.19393443205105232,0.016280808941708743,10
ftv_complete_375,C1,T0_T1,C,0.6961589583479194,0.05945133767546719,0.490055109057408,0.06370225035646739,0.20959045241683003,0.005479237195107178,2.289865022083152,0.9416880177613693,0.14098391001348767,0.019459714222558135,10
ftv_complete_375,C1,T0_T1,C_PLUS_F,0.7334826232100929,0.050994327501696676,0.5702290612116974,0.0716097210464633,0.18766875813267367,0.011549958342489714,1.3706525283944035,1.5867519518312183,0.14179556385765257,0.051007084954970014,10
ftv_complete_375,C1,T0_T1,C_PLUS_F_PLUS_M,0.7295141693474948,0.05209553142748372,0.550633938944469,0.08434449356768103,0.19837344029474838,0.023027711608419113,3.363991349306559,6.95369886092384,0.15046382239045525,0.06140487861835396,10
ftv_complete_375,C1,T0_T1,C_PLUS_M,0.680506403349718,0.060879121740254526,0.4811783638479247,0.07330598114033282,0.21558045977822568,0.01659401368224867,4.615947248539372,6.625726659640991,0.15529372736619101,0.045719750060592305,10
ftv_complete_375,C1,T0_T1,F,0.6752503765245332,0.09331768946019524,0.47053914636541805,0.0937913011621319,0.1973287100809636,0.017531397547250197,1.772349904010057,0.738412843621728,0.09569102657137922,0.028971660757168265,10
ftv_complete_375,C1,T0_T2,C,0.6961589583479194,0.05945133767546719,0.490055109057408,0.06370225035646739,0.20959045241683003,0.005479237195107178,2.289865022083152,0.9416880177613693,0.14098391001348767,0.019459714222558135,10
ftv_complete_375,C1,T0_T2,C_PLUS_F,0.7665187709431273,0.04465439435334441,0.5910305508501639,0.06888827141570289,0.1800601327871785,0.008587746310395779,1.517403398665887,1.4076468934022008,0.1103698735158474,0.046913955499267496,10
ftv_complete_375,C1,T0_T2,C_PLUS_F_PLUS_M,0.7440447362807739,0.04673066603824174,0.5505189740678735,0.05496952201886003,0.20494484108504407,0.028051914229032575,6.085797325881384,8.197065815647836,0.15369396960990095,0.05352451048174959,10
ftv_complete_375,C1,T0_T2,C_PLUS_M,0.6689337991381394,0.0734454568948822,0.48218439708938765,0.08101433735815594,0.21374941020575927,0.020949316035650034,3.0927562944913825,4.639188261744026,0.15150138917942518,0.0445660682685783,10
ftv_complete_375,C1,T0_T2,F,0.7098247394787803,0.03554747699584222,0.5010608012607328,0.047940515501463596,0.19357681587254907,0.014025457522964982,1.8902611668056495,1.43029868658336,0.09688851174635478,0.040214551508770784,10
ftv_complete_375,C1,T0_T3,C,0.6961589583479194,0.05945133767546719,0.490055109057408,0.06370225035646739,0.20959045241683003,0.005479237195107178,2.289865022083152,0.9416880177613693,0.14098391001348767,0.019459714222558135,10
ftv_complete_375,C1,T0_T3,C_PLUS_F,0.7476206349332826,0.028537838987613535,0.5625377631074008,0.04989196462133018,0.20493517205956277,0.030825818411621603,7.407845118183102,8.649821484166376,0.14583980474302993,0.06268423043778189,10
ftv_complete_375,C1,T0_T3,C_PLUS_F_PLUS_M,0.741340496951832,0.033159448194599185,0.5534033566582973,0.061991479272348875,0.20958595342547343,0.030100631165049463,6.857031894863091,8.031183186936278,0.15233234556067993,0.07592920935960186,10
ftv_complete_375,C1,T0_T3,C_PLUS_M,0.6744597432327957,0.06318515506075369,0.4724001970910036,0.07176995633963543,0.22279378079888462,0.017006906607770527,5.434337908068203,6.2943806195778915,0.17245806409620026,0.04022868242228932,10
ftv_complete_375,C1,T0_T3,F,0.7062769338682553,0.029021336907898442,0.4894259246237905,0.039911899351419644,0.18854911262793989,0.009915452815459254,1.3313110354573954,0.24896486265954806,0.08906780077215222,0.03287426939552786,10
ftv_complete_375,C2,T0,C,0.6961589583479194,0.05945133767546719,0.490055109057408,0.06370225035646739,0.20959045241683003,0.005479237195107178,2.289865022083152,0.9416880177613693,0.14098391001348767,0.019459714222558135,10
ftv_complete_375,C2,T0,C_PLUS_F,0.701030919841618,0.055678843978264767,0.5079266606446124,0.06819616379718443,0.20705573391145818,0.024521534580064883,3.8995293968510483,4.839843912834739,0.1287248329504839,0.04283539802347443,10
