seed,fold,arm,timing,train_auroc,validation_auroc,oof_auroc,train_minus_oof_auroc,validation_minus_oof_auroc
2026,4,C5,T0_T2,0.5603657849403506,0.5952743902439025,0.47495711835334475,0.08540866658700585,0.12031727189055774
2026,4,C5,T0_T3,0.5996651264630593,0.5835365853658536,0.5736706689536879,0.02599445750937135,0.00986591641216572
3026,0,C0,T0,0.7406340057636887,0.6075949367088608,0.5959218351741716,0.14471217058951702,0.011673101534689145
3026,0,C0,T0_T1,0.6205355697309198,0.5852923447860156,0.6054375531011046,0.015098016629815247,-0.020145208315089036
3026,0,C0,T0_T2,0.7443901175403944,0.6030741410488246,0.5704333050127444,0.17395681252765005,0.032640836036080256
3026,0,C0,T0_T3,0.6209241330181654,0.6100060277275468,0.6042480883602379,0.01667604465792749,0.00575793936730884
3026,0,C1,T0,0.5798659456659003,0.5066305003013863,0.541036533559898,0.038829412106002326,-0.03440603325851166
3026,0,C1,T0_T1,0.5914418935984199,0.593128390596745,0.5345794392523364,0.0568624543460835,0.05854895134440863
3026,0,C1,T0_T2,0.6014312081080206,0.636829415310428,0.52982158028887,0.07160962781915059,0.10700783502155797
3026,0,C1,T0_T3,0.6487064080562122,0.6374321880650995,0.5581988105352592,0.09050759752095294,0.07923337752984028
3026,0,C2,T0,0.5670109769128646,0.5973477998794454,0.389804587935429,0.17720638897743562,0.20754321194401643
3026,0,C2,T0_T1,0.7542984813651523,0.5874020494273658,0.47969413763806285,0.2746043437270895,0.107707911789303
3026,0,C2,T0_T2,0.7256581290677719,0.6862567811934901,0.5758708581138487,0.1497872709539232,0.11038592307964135
3026,0,C2,T0_T3,0.6358676294401451,0.5551537070524412,0.5553101104502973,0.08055751898984775,-0.00015640339785616408
3026,0,C3,T0,0.6180746689116989,0.5102471368294154,0.6081563296516568,0.009918339260042153,-0.09790919282224142
3026,0,C3,T0_T1,0.7347893663180389,0.5783604581072935,0.47748513169073925,0.2573042346272997,0.10087532641655428
3026,0,C3,T0_T2,0.6820257099375061,0.6244725738396625,0.44265080713678845,0.23937490280071766,0.18182176670287403
3026,0,C3,T0_T3,0.6853446880160606,0.5747438215792646,0.5099405267629568,0.17540416125310387,0.06480329481630787
3026,0,C4,T0,0.5511203574782243,0.5277275467148885,0.5330501274426508,0.01807023003557351,-0.0053225807277622605
3026,0,C4,T0_T1,0.5656024349966001,0.5934297769740808,0.5123194562446899,0.05328297875191024,0.08111032072939095
3026,0,C4,T0_T2,0.6111452902891559,0.6024713682941532,0.4988954970263382,0.1122497932628177,0.10357587126781498
3026,0,C4,T0_T3,0.6357704886183337,0.6217600964436407,0.5412064570943076,0.09456403152402615,0.08055363934933313
3026,0,C5,T0,0.5661448045850468,0.47860156720916214,0.5469838572642312,0.019160947320815636,-0.06838229005506902
3026,0,C5,T0_T1,0.5565683385681442,0.6039783001808318,0.45029736618521665,0.1062709723829276,0.1536809339956151
3026,0,C5,T0_T2,0.520804326004598,0.6820373719107896,0.5040781648258283,0.016726161178769683,0.17795920708496127
3026,0,C5,T0_T3,0.5811854418288379,0.5973477998794454,0.5517417162276976,0.02944372560114028,0.045606083651747786
3026,1,C0,T0,0.7398682468434139,0.6353658536585365,0.47459643160577747,0.26527181523763643,0.16076942205275901
3026,1,C0,T0_T1,0.6230503439144895,0.713109756097561,0.5384876805437554,0.08456266337073415,0.1746220755538056
3026,1,C0,T0_T2,0.7422255949882133,0.686280487804878,0.5179269328802039,0.22429866210800942,0.1683535549246742
3026,1,C0,T0_T3,0.626085833306423,0.6926829268292684,0.5634664401019541,0.06261939320446885,0.12921648672731423
3026,1,C1,T0,0.5718991184163787,0.5423780487804878,0.5765505522514868,-0.004651433835108021,-0.03417250347099898
3026,1,C1,T0_T1,0.6136532437756321,0.5204268292682928,0.5966015293118098,0.017051714463822365,-0.07617470004351701
3026,1,C1,T0_T2,0.6247134045919851,0.5140243902439025,0.6057774001699235,0.01893600442206156,-0.09175300992602109
3026,1,C1,T0_T3,0.6768818419607969,0.5350609756097562,0.5991503823279525,0.07773145963284445,-0.0640894067181963
3026,1,C2,T0,0.6625762908903026,0.6576219512195122,0.5488530161427357,0.11372327474756683,0.10876893507677643
3026,1,C2,T0_T1,0.6945780992669617,0.7091463414634146,0.503143585386576,0.19143451388038568,0.2060027560768386
3026,1,C2,T0_T2,0.6907514450867053,0.6847560975609757,0.5374681393372982,0.15328330574940707,0.14728795822367746
3026,1,C2,T0_T3,0.6658701198049536,0.6673780487804878,0.5031435853865761,0.16272653441837748,0.16423446339391168
3026,1,C3,T0,0.607404656569897,0.635670731707317,0.5495327102803739,0.05787194628952308,0.08613802142694316
3026,1,C3,T0_T1,0.6277973326444279,0.6829268292682926,0.5422259983007647,0.08557133434366326,0.14070083096752795
3026,1,C3,T0_T2,0.7710788904317498,0.6533536585365853,0.5316907391673747,0.23938815126437507,0.12166291936921059
