seed,fold,arm,timing,attention_concentration,attention_concentration_top10,attention_entropy,center_mass,longitudinal_embedding_cosine,outer_mass
3026,1,C4,T0_T1,0.03546346585062565,0.3596617889901002,0.8715348566571871,0.05816897243494168,0.9977733790874481,0.9418310274680456
3026,1,C4,T0_T2,0.2826905943285156,0.6666816795865694,0.5749228882034205,0.04955589862389805,0.8244864344596863,0.9504441312617726
3026,1,C4,T0_T3,0.050532272952599065,0.5158393438905478,0.7940665744245052,0.07213689740941238,0.9992403090000153,0.927863109856844
3026,2,C4,T0,0.0004496140039312498,0.1699106072386106,0.9895302553971609,0.05786724047114452,0.0,0.9421327635645866
3026,2,C4,T0_T1,0.13562370172682373,0.7701033242046833,0.6406253908450404,0.1381641005864367,0.9987967312335968,0.8618359193205833
3026,2,C4,T0_T2,0.32939771505900556,0.8348067907823457,0.4585377222134007,0.17694962635222408,0.9527218341827393,0.8230503987934854
3026,2,C4,T0_T3,0.0671910624805605,0.5085419975221157,0.7899994694938263,0.08336906434366635,0.9984273910522461,0.9166309423744678
3026,3,C4,T0,0.0009060521248708634,0.19863397348672152,0.9815213158726692,0.05801584633688132,0.0,0.9419841518004736
3026,3,C4,T0_T1,0.07268195819536534,0.501704141497612,0.7688430311779181,0.076962870080024,0.9979867935180664,0.9230370769898096
3026,3,C4,T0_T2,0.08466950016736519,0.716188574830691,0.7118843247493108,0.1145581904436565,0.928562730550766,0.885441811548339
3026,3,C4,T0_T3,0.07002888622355385,0.47414118129139143,0.8006711732596159,0.10483351251555935,0.9965412318706512,0.8951664955044786
3026,4,C4,T0,0.0017456073613478413,0.19391093403100967,0.9781549200415611,0.0554914951014022,0.0,0.9445084954301516
3026,4,C4,T0_T1,0.00040663463490394253,0.15561393927782774,0.9914061203598976,0.05947455554269254,0.9999382495880127,0.9405254510541757
3026,4,C4,T0_T2,0.05503936549232296,0.23499001428070995,0.9137275078230434,0.06334834126755595,0.9862104654312134,0.9366515535447333
3026,4,C4,T0_T3,0.3066754308480692,0.6364916758611798,0.5675418605581702,0.06895413105066457,0.7328651547431946,0.9310458898544312
3026,0,C5,T0,,,,,,
3026,0,C5,T0_T1,,,,,,
3026,0,C5,T0_T2,,,,,,
3026,0,C5,T0_T3,,,,,,
3026,1,C5,T0,,,,,,
3026,1,C5,T0_T1,,,,,,
3026,1,C5,T0_T2,,,,,,
3026,1,C5,T0_T3,,,,,,
3026,2,C5,T0,,,,,,
3026,2,C5,T0_T1,,,,,,
3026,2,C5,T0_T2,,,,,,
3026,2,C5,T0_T3,,,,,,
3026,3,C5,T0,,,,,,
3026,3,C5,T0_T1,,,,,,
3026,3,C5,T0_T2,,,,,,
3026,3,C5,T0_T3,,,,,,
3026,4,C5,T0,,,,,,
3026,4,C5,T0_T1,,,,,,
3026,4,C5,T0_T2,,,,,,
3026,4,C5,T0_T3,,,,,,
