n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,seed,fold,timing,population,arm,model,selected_c,validation_auroc
84.0,23.0,61.0,0.6778332145402708,0.4637788637338926,0.187104425026943,0.7500762141933626,0.0693978352214944,2026,4,T0_T2,ftv_complete_375,C0,C_PLUS_M,0.1,0.6793478260869565
84.0,23.0,61.0,0.7191732002851033,0.5548040067636433,0.2124182147207417,4.568921399223665,0.1685878622613804,2026,4,T0_T2,ftv_complete_375,C0,F,0.01,0.7315217391304347
84.0,23.0,61.0,0.8410548823948681,0.5969347225192219,0.1927678453155896,4.134158507517202,0.1593874677858129,2026,4,T0_T2,ftv_complete_375,C0,C_PLUS_F,0.01,0.775
84.0,23.0,61.0,0.7840342124019957,0.5560178715339482,0.166136410724511,1.1043935258158009,0.1166575724005706,2026,4,T0_T2,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.1,0.7782608695652175
84.0,23.0,61.0,0.7526728439059159,0.507493425780703,0.2027949687648469,3.289152296398268,0.1765174819852553,2026,4,T0_T3,ftv_complete_375,C0,C,0.01,0.6885869565217391
84.0,23.0,61.0,0.7284390591589451,0.5064577681961889,0.2411118502156113,16.03994247040101,0.235630369921948,2026,4,T0_T3,ftv_complete_375,C0,C_PLUS_M,0.001,0.6978260869565217
84.0,23.0,61.0,0.7398431931575196,0.5036306851485595,0.1795890489110474,1.6849654261274185,0.1066583474007188,2026,4,T0_T3,ftv_complete_375,C0,F,0.1,0.75
84.0,23.0,61.0,0.7990021382751247,0.5158013333484927,0.2389199621700357,18.824751470245857,0.2456315210829174,2026,4,T0_T3,ftv_complete_375,C0,C_PLUS_F,0.001,0.8010869565217391
84.0,23.0,61.0,0.7783321454027086,0.5379637554277067,0.2389505519050949,14.80264648651112,0.2446889383461462,2026,4,T0_T3,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.001,0.8043478260869565
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.2151782702707129,1.0760861902018746,0.129050516535967,3026,0,T0,ftv_complete_375,C0,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.6591836734693878,0.4117855737380178,0.2419639591092016,6.723129905465737,0.1991621020766441,3026,0,T0,ftv_complete_375,C0,C_PLUS_M,0.001,0.7868421052631579
69.0,20.0,49.0,0.636734693877551,0.394817879513026,0.2446679821089077,107.69115081701952,0.1976676425038014,3026,0,T0,ftv_complete_375,C0,F,0.001,0.381578947368421
69.0,20.0,49.0,0.6755102040816326,0.4491744535901651,0.2007162743020153,0.4265958587318167,0.0713208512721438,3026,0,T0,ftv_complete_375,C0,C_PLUS_F,0.1,0.793421052631579
69.0,20.0,49.0,0.6795918367346939,0.4270038649872746,0.2118048886204615,0.3976696282910607,0.1233253491064231,3026,0,T0,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.1,0.7828947368421052
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.2151782702707129,1.0760861902018746,0.129050516535967,3026,0,T0_T1,ftv_complete_375,C0,C,0.01,0.8052631578947369
