contract,view,scope,n,n_patients,boundary_touch_rate,suspected_truncation_rate,severe_truncation_rate,sufficient_containment_rate,exact_full_support_containment_rate,bbox_fully_contained_rate,source_boundary_touch_rate,source_boundary_uncensored_rate,available_support_exact_containment_rate,source_uncensored_and_sufficient_rate,source_uncensored_and_exact_rate,retained_ftv_fraction_median,retained_ftv_fraction_q05,retained_ftv_fraction_min,minimum_margin_mm_median,minimum_margin_mm_q05,ld_margin_spearman,ld_margin_pvalue,ld_margin_n
C1A-tight,detail,OVERALL,1500,375,0.0,0.0,0.0,1.0,1.0,1.0,0.009333333333333334,0.9906666666666667,1.0,0.9906666666666667,0.9906666666666667,1.0,1.0,1.0,5.0,4.999999999999979,-0.05144252466000445,0.04636903315130326,1500
C1A-tight,detail,T0,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.0026666666666666666,0.9973333333333333,1.0,0.9973333333333333,0.9973333333333333,1.0,1.0,1.0,5.0,4.999999999999979,-0.044200189950593605,0.3933861396675796,375
C1A-tight,detail,T1,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.021333333333333333,0.9786666666666667,1.0,0.9786666666666667,0.9786666666666667,1.0,1.0,1.0,5.0,4.999999999999979,-0.0339027680436308,0.5127764067491795,375
C1A-tight,detail,T2,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.008,0.992,1.0,0.992,0.992,1.0,1.0,1.0,5.0,4.999999999999979,-0.037134368727080924,0.473404593301885,375
C1A-tight,detail,T3,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.005333333333333333,0.9946666666666667,1.0,0.9946666666666667,0.9946666666666667,1.0,1.0,1.0,5.0,4.999999999999986,-0.08041094479131405,0.12007214353830993,375
C1B,detail,OVERALL,1500,375,0.02,0.020666666666666667,0.004,0.9793333333333333,0.9793333333333333,0.9793333333333333,0.009333333333333334,0.9906666666666667,0.9793333333333333,0.9706666666666667,0.9706666666666667,1.0,1.0,0.16306010928961748,39.01079781353474,8.69352613836527,-0.18799802181618513,2.1262636337361493e-13,1500
C1B,detail,T0,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.0026666666666666666,0.9973333333333333,1.0,0.9973333333333333,0.9973333333333333,1.0,1.0,1.0,45.3333339691162,20.86595784068106,-0.5882877264040733,2.74841064762373e-36,375
C1B,detail,T1,375,375,0.021333333333333333,0.021333333333333333,0.0026666666666666666,0.9786666666666667,0.9786666666666667,0.9786666666666667,0.021333333333333333,0.9786666666666667,0.9786666666666667,0.9573333333333334,0.9573333333333334,1.0,1.0,0.16306010928961748,36.65189988613129,11.055459418975051,-0.3808402817178186,2.169843923967201e-14,375
C1B,detail,T2,375,375,0.032,0.032,0.0026666666666666666,0.968,0.968,0.968,0.008,0.992,0.968,0.9626666666666667,0.9626666666666667,1.0,1.0,0.721763085399449,37.350389149829326,3.4167560577392573,-0.2646048025897223,1.9937967633542366e-07,375
C1B,detail,T3,375,375,0.02666666666666667,0.029333333333333333,0.010666666666666666,0.9706666666666667,0.9706666666666667,0.9706666666666667,0.005333333333333333,0.9946666666666667,0.9706666666666667,0.9653333333333334,0.9653333333333334,1.0,1.0,0.3220217469231688,37.38960826396942,4.259111524224282,-0.05726307418132584,0.26868303163741025,375
C1C,detail,OVERALL,1500,375,0.0,0.0,0.0,1.0,1.0,1.0,0.009333333333333334,0.9906666666666667,1.0,0.9906666666666667,0.9906666666666667,1.0,1.0,1.0,40.53444058299065,14.188589817881585,-0.32020446617222886,4.1475806227339175e-37,1500
C1C,detail,T0,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.0026666666666666666,0.9973333333333333,1.0,0.9973333333333333,0.9973333333333333,1.0,1.0,1.0,40.41159851551056,13.922738563120365,-0.5539853050466987,1.507255655689049e-31,375
C1C,detail,T1,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.021333333333333333,0.9786666666666667,1.0,0.9786666666666667,0.9786666666666667,1.0,1.0,1.0,40.10131378173827,15.180817389488222,-0.4171935420631617,3.176549528980897e-17,375
C1C,detail,T2,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.008,0.992,1.0,0.992,0.992,1.0,1.0,1.0,40.83864722847939,14.6379119336605,-0.29939822875528715,3.325099075187247e-09,375
C1C,detail,T3,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.005333333333333333,0.9946666666666667,1.0,0.9946666666666667,0.9946666666666667,1.0,1.0,1.0,40.98927307128906,13.854260650130778,-0.09791032239598782,0.058191968584969826,375
C2A,detail,OVERALL,1500,375,0.0,0.0,0.0,1.0,1.0,1.0,0.009333333333333334,0.9906666666666667,1.0,0.9906666666666667,0.9906666666666667,1.0,1.0,1.0,46.34342496693134,20.11260400012746,-0.3750606700401656,2.6539196043597027e-51,1500
C2A,detail,T0,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.0026666666666666666,0.9973333333333333,1.0,0.9973333333333333,0.9973333333333333,1.0,1.0,1.0,45.3333339691162,20.86595784068106,-0.5882877264040733,2.74841064762373e-36,375
C2A,detail,T1,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.021333333333333333,0.9786666666666667,1.0,0.9786666666666667,0.9786666666666667,1.0,1.0,1.0,45.945600390434265,20.133750000000003,-0.4519865973533398,2.7980177688376347e-20,375
C2A,detail,T2,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.008,0.992,1.0,0.992,0.992,1.0,1.0,1.0,46.6875,19.37824425041675,-0.32780598822241447,7.645312450657192e-11,375
C2A,detail,T3,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.005333333333333333,0.9946666666666667,1.0,0.9946666666666667,0.9946666666666667,1.0,1.0,1.0,47.41666725277898,20.02060410618781,-0.13718080852364067,0.007809103974665964,375
C2A,context,OVERALL,1500,375,0.0,0.0,0.0,1.0,1.0,1.0,0.009333333333333334,0.9906666666666667,1.0,0.9906666666666667,0.9906666666666667,1.0,1.0,1.0,62.52712485194206,36.614673709869386,-0.37461519679891936,3.5545972237303186e-51,1500
C2A,context,T0,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.0026666666666666666,0.9973333333333333,1.0,0.9973333333333333,0.9973333333333333,1.0,1.0,1.0,61.43749940395354,36.976963898539545,-0.588457411697787,2.5955060769633033e-36,375
C2A,context,T1,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.021333333333333333,0.9786666666666667,1.0,0.9786666666666667,0.9786666666666667,1.0,1.0,1.0,61.98529905080795,36.65878828167915,-0.45183397029327377,2.8909068157121194e-20,375
C2A,context,T2,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.008,0.992,1.0,0.992,0.992,1.0,1.0,1.0,62.765199422836304,35.93824425041675,-0.32431381911367624,1.2423175551540557e-10,375
C2A,context,T3,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.005333333333333333,0.9946666666666667,1.0,0.9946666666666667,0.9946666666666667,1.0,1.0,1.0,63.7421875,36.54745827913284,-0.13655237230192557,0.00809907153910269,375
C2B,detail,OVERALL,1500,375,0.02,0.020666666666666667,0.004,0.9793333333333333,0.9793333333333333,0.9793333333333333,0.009333333333333334,0.9906666666666667,0.9793333333333333,0.9706666666666667,0.9706666666666667,1.0,1.0,0.16306010928961748,39.01079781353474,8.69352613836527,-0.18799802181618513,2.1262636337361493e-13,1500
C2B,detail,T0,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.0026666666666666666,0.9973333333333333,1.0,0.9973333333333333,0.9973333333333333,1.0,1.0,1.0,45.3333339691162,20.86595784068106,-0.5882877264040733,2.74841064762373e-36,375
C2B,detail,T1,375,375,0.021333333333333333,0.021333333333333333,0.0026666666666666666,0.9786666666666667,0.9786666666666667,0.9786666666666667,0.021333333333333333,0.9786666666666667,0.9786666666666667,0.9573333333333334,0.9573333333333334,1.0,1.0,0.16306010928961748,36.65189988613129,11.055459418975051,-0.3808402817178186,2.169843923967201e-14,375
C2B,detail,T2,375,375,0.032,0.032,0.0026666666666666666,0.968,0.968,0.968,0.008,0.992,0.968,0.9626666666666667,0.9626666666666667,1.0,1.0,0.721763085399449,37.350389149829326,3.4167560577392573,-0.2646048025897223,1.9937967633542366e-07,375
C2B,detail,T3,375,375,0.02666666666666667,0.029333333333333333,0.010666666666666666,0.9706666666666667,0.9706666666666667,0.9706666666666667,0.005333333333333333,0.9946666666666667,0.9706666666666667,0.9653333333333334,0.9653333333333334,1.0,1.0,0.3220217469231688,37.38960826396942,4.259111524224282,-0.05726307418132584,0.26868303163741025,375
C2B,context,OVERALL,1500,375,0.008666666666666666,0.008666666666666666,0.002,0.9913333333333333,0.9906666666666667,0.9906666666666667,0.009333333333333334,0.9906666666666667,0.9906666666666667,0.9826666666666667,0.982,1.0,1.0,0.22316939890710383,54.76301369071007,23.274810810387137,-0.17046720029594045,3.024815531641358e-11,1500
C2B,context,T0,375,375,0.0,0.0,0.0,1.0,1.0,1.0,0.0026666666666666666,0.9973333333333333,1.0,0.9973333333333333,0.9973333333333333,1.0,1.0,1.0,61.43749940395354,36.976963898539545,-0.588457411697787,2.5955060769633033e-36,375
C2B,context,T1,375,375,0.010666666666666666,0.010666666666666666,0.0026666666666666666,0.9893333333333333,0.9866666666666667,0.9866666666666667,0.021333333333333333,0.9786666666666667,0.9866666666666667,0.968,0.9653333333333334,1.0,1.0,0.22316939890710383,52.2393798828125,24.74739189147949,-0.3570688987085439,1.019457369131468e-12,375
C2B,context,T2,375,375,0.013333333333333334,0.013333333333333334,0.0,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.008,0.992,0.9866666666666667,0.9813333333333333,0.9813333333333333,1.0,1.0,0.9540455616653575,52.91445180773735,16.632067741534357,-0.2519572678900264,7.700450725859733e-07,375
C2B,context,T3,375,375,0.010666666666666666,0.010666666666666666,0.005333333333333333,0.9893333333333333,0.9893333333333333,0.9893333333333333,0.005333333333333333,0.9946666666666667,0.9893333333333333,0.984,0.984,1.0,1.0,0.5245549050065719,52.52949911355972,17.875279706716537,-0.049665680603318565,0.3374816871490296,375
