seed_base,arm,task,endpoint,n,spearman,pearson,natural_r2,rmse,mae,prediction_target_variance_ratio,calibration_slope
3026,A0_LOCAL3,static,T3,375,0.2962257535684243,0.26841944238116006,0.006945442596128837,12.365449682309345,3.197910816195461,0.011666535772391401,0.028992450766154615
3026,A1_PATCH3,delta,T0_to_T1,375,0.3685759472067357,0.18925203522296682,0.025860479439887007,25.00157874176936,13.182875657610866,0.08299271019855473,0.05452058814279279
3026,A1_PATCH3,delta,T1_to_T2,375,0.29205302082148143,0.24399030152424234,0.05695642033494552,16.696502015788763,9.351396039087133,0.08185880862760639,0.06980801252138175
3026,A1_PATCH3,delta,T2_to_T3,375,0.12575264535214473,0.07436804586433911,-0.02327677347939372,27.706588907514334,10.06447949499408,0.059534506588875054,0.018145575603268575
3026,A1_PATCH3,static,T0,375,0.7157781317556037,0.5624049738588263,0.2807628851692451,36.18489866374271,16.144124375037546,0.46126125962507186,0.38196418514194164
3026,A1_PATCH3,static,T1,375,0.4238716577540107,0.369680322204397,0.03182009595230817,37.07491240736482,12.971238301220406,0.020597775543345576,0.05305624312704077
3026,A1_PATCH3,static,T2,375,0.27580179770167257,0.12176073639078247,-0.030457525621753412,31.573046806516302,8.103114059078399,0.0062564778708711025,0.00963101861751218
3026,A1_PATCH3,static,T3,375,0.10762908792974692,0.0835998506076832,-0.03967616864800738,12.65238517864259,3.2409195861206213,0.0017608758157381529,0.0035080830459594745
2026,A0_LOCAL3,delta,macro,1125,0.34013190730837795,0.2629868301452867,0.08062561981078535,22.501584893417498,10.48968250456724,0.10842154700512945,0.09459025691754304
2026,A0_LOCAL3,static,macro,1500,0.5308824999957074,0.3968427273995653,0.099033569182567,28.862855170884103,9.457067943235657,0.08349922607385304,0.109916174839305
2026,A1_PATCH3,delta,macro,1125,0.2868330868130618,0.21212973273929583,0.04124643256008461,22.92178083192145,11.055127829328002,0.11565206677864824,0.07848511177206681
2026,A1_PATCH3,static,macro,1500,0.4245638897777646,0.34164181707353203,0.09267149006388764,28.650881957037065,9.726412972030484,0.08024497008976461,0.10648849135960152
3026,A0_LOCAL3,delta,macro,1125,0.3001941062692001,0.19305909021596182,0.03555877281088345,22.984770390836122,10.791848918881252,0.07768938678282923,0.05677986932791959
3026,A0_LOCAL3,static,macro,1500,0.513248553536036,0.38574626952380847,0.1152888529676333,28.40728207785464,9.483190626381507,0.07540915657594634,0.1124624543901071
3026,A1_PATCH3,delta,macro,1125,0.2621272044601206,0.16920346087051608,0.01984670876514627,23.13488988835749,10.866250397230694,0.07479534180501206,0.0474913920891477
3026,A1_PATCH3,static,macro,1500,0.38077016878525854,0.28436147076542223,0.060612321712948114,29.371310764066603,10.114849080364243,0.12246909721375666,0.11203988248311351
