seed_base,fold,arm,task,endpoint,selected_alpha,validation_score,n_train,n_val,n_test,target_transform,model,selected_c,validation_auroc,population,timing
3026,0,A0_LOCAL3,delta,T1_to_T2,1000.0,0.395437308922048,247,59,69,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,0,A0_LOCAL3,delta,T2_to_T3,1000.0,0.0978754509480483,247,59,69,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,0,A1_PATCH3,static,T0,10.0,0.07810294155281738,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,0,A1_PATCH3,static,T1,1000.0,0.15881503718629264,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,0,A1_PATCH3,static,T2,1000.0,0.3537073277438451,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,0,A1_PATCH3,static,T3,100.0,0.3997737353412533,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,0,A1_PATCH3,delta,T0_to_T1,1000.0,0.7741286865229998,247,59,69,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,0,A1_PATCH3,delta,T1_to_T2,1000.0,0.3873875900633428,247,59,69,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,0,A1_PATCH3,delta,T2_to_T3,1000.0,0.11306857793678554,247,59,69,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,1,A0_LOCAL3,static,T0,10.0,0.0632103989631893,239,69,67,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,1,A0_LOCAL3,static,T1,1000.0,0.11443353331147348,239,69,67,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,1,A0_LOCAL3,static,T2,100.0,0.26847519094867967,239,69,67,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,1,A0_LOCAL3,static,T3,1000.0,0.28963835228762075,239,69,67,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,1,A0_LOCAL3,delta,T0_to_T1,1000.0,0.2887410238531247,239,69,67,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,1,A0_LOCAL3,delta,T1_to_T2,1000.0,0.24501200436396184,239,69,67,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,1,A0_LOCAL3,delta,T2_to_T3,1000.0,0.11230027123417267,239,69,67,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,1,A1_PATCH3,static,T0,100.0,0.07346313830376112,239,69,67,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,1,A1_PATCH3,static,T1,1000.0,0.12699009834339461,239,69,67,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,1,A1_PATCH3,static,T2,100.0,0.2762499334452576,239,69,67,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,1,A1_PATCH3,static,T3,1000.0,0.2873473145077527,239,69,67,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,1,A1_PATCH3,delta,T0_to_T1,1000.0,0.3003388461220885,239,69,67,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,1,A1_PATCH3,delta,T1_to_T2,1000.0,0.23940460539143352,239,69,67,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,1,A1_PATCH3,delta,T2_to_T3,1000.0,0.11432641526590046,239,69,67,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,2,A0_LOCAL3,static,T0,100.0,0.07608505802871311,240,52,83,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,2,A0_LOCAL3,static,T1,100.0,0.16529710177054233,240,52,83,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,2,A0_LOCAL3,static,T2,100.0,0.3201441986034587,240,52,83,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,2,A0_LOCAL3,static,T3,1000.0,0.33554660630826016,240,52,83,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,2,A0_LOCAL3,delta,T0_to_T1,1000.0,0.2948044374147138,240,52,83,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,2,A0_LOCAL3,delta,T1_to_T2,1000.0,0.5700678384927464,240,52,83,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,2,A0_LOCAL3,delta,T2_to_T3,1000.0,0.09836793963477618,240,52,83,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,2,A1_PATCH3,static,T0,100.0,0.07475381405060684,240,52,83,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,2,A1_PATCH3,static,T1,100.0,0.21586479299401581,240,52,83,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,2,A1_PATCH3,static,T2,1000.0,0.34812380404117316,240,52,83,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,2,A1_PATCH3,static,T3,1000.0,0.3332399266336372,240,52,83,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,2,A1_PATCH3,delta,T0_to_T1,100.0,0.3170752683268901,240,52,83,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,2,A1_PATCH3,delta,T1_to_T2,1000.0,0.7224345750023269,240,52,83,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,2,A1_PATCH3,delta,T2_to_T3,1000.0,0.0987348001305372,240,52,83,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,3,A0_LOCAL3,static,T0,1.0,0.06304069279996212,242,61,72,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,3,A0_LOCAL3,static,T1,10.0,0.11692272768257715,242,61,72,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,3,A0_LOCAL3,static,T2,10.0,0.3680835878893313,242,61,72,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,3,A0_LOCAL3,static,T3,10.0,0.33306278490576263,242,61,72,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,3,A0_LOCAL3,delta,T0_to_T1,1000.0,0.4889838943851296,242,61,72,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,3,A0_LOCAL3,delta,T1_to_T2,1000.0,0.31949992886428097,242,61,72,literal_delta_outer_train_standardized_inverse_natural,,,,,
