effect,seed_base,reference,comparison,improvement,ci_lower,ci_upper,n_patients,n_bootstrap,n_valid_bootstrap,bootstrap_unit,timing,metric,confidence_level,n_folds,metric_aggregation,ci_method,orientation,seed
E3_A1_minus_A0_MRI,2026,0.24977494924293042,0.28761361367128846,-0.03783866442835804,-0.05563444709548646,-0.01948594050761181,808,2000,2000,patient_within_outer_fold,T0-T3_late,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E4_A1_CplusM_minus_C,2026,0.6796145318096538,0.6299437148217636,-0.04967081698789022,-0.09728260692676668,-0.003653306148890238,808,2000,2000,patient_within_outer_fold,T0-T3_late,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E4_A1_CplusM_minus_C,2026,0.5424197284072237,0.4588422415669652,-0.08357748684025856,-0.14267306126702295,-0.022070504453426884,808,2000,2000,patient_within_outer_fold,T0-T3_late,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E4_A1_CplusM_minus_C,2026,0.22583924073987818,0.2521426240359815,-0.026303383296103294,-0.04465839118154261,-0.008033127791810877,808,2000,2000,patient_within_outer_fold,T0-T3_late,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E5_A1_CplusFplusM_minus_CplusF,2026,0.7154030874785592,0.6162264150943397,-0.09917667238421946,-0.17085468661288308,-0.02695171898680828,375,2000,2000,patient_within_outer_fold,T0-T3_late,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,2026,0.5393749537451002,0.4261801473201824,-0.11319480642491786,-0.20336383425896218,-0.024707128274631455,375,2000,2000,patient_within_outer_fold,T0-T3_late,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,2026,0.1929939430982393,0.23651762237580123,-0.04352367927756193,-0.06756882132904957,-0.020574465496027722,375,2000,2000,patient_within_outer_fold,T0-T3_late,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E3_A1_minus_A0_MRI,3026,0.5382705099778271,0.4966126556370458,-0.041657854340781286,-0.09256616169263812,0.004069036699476444,808,2000,2000,patient_within_outer_fold,T0,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E3_A1_minus_A0_MRI,3026,0.3708245799626637,0.34430351232469936,-0.026521067637964357,-0.06678407061155008,0.014749770088104516,808,2000,2000,patient_within_outer_fold,T0,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E3_A1_minus_A0_MRI,3026,0.25669431543772225,0.28080623131745264,-0.024111915879730383,-0.04220464887328711,-0.006697965559790477,808,2000,2000,patient_within_outer_fold,T0,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E4_A1_CplusM_minus_C,3026,0.6796145318096538,0.6527920859628177,-0.02682244584683613,-0.06871719151406301,0.01886604068929415,808,2000,2000,patient_within_outer_fold,T0,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
