aggregation_level,task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,n,n_patients,n_folds,mae,rmse,r2,spearman,pearson,target_variance_ddof1,predicted_variance_ddof1,predicted_to_target_variance_ratio,standardized_target_variance_ddof1,standardized_predicted_variance_ddof1,standardized_variance_ratio,fold_centered_target_variance,fold_centered_predicted_variance,fold_centered_variance_ratio,near_constant_prediction,near_constant_definition,b0_mae,b0_rmse,rmse_gain_over_b0,sign_accuracy,shrinkage_accuracy,shrinkage_balanced_accuracy,zero_change_mae,zero_change_rmse,rmse_gain_over_zero_change
pooled_oof_test,change,m1,m1_final,online,online_roi_mean,roi_mean,observed_pair,ld,,T2→T3,single_output_ridge,256,368,368,5,1.032293513466469,1.3519065820857217,-0.04496878530688275,0.020584252202961523,0.040278158776534984,1.7537666282859108,0.1123037450089013,0.064035740672443,5.110204730808544,0.3437069266918697,0.06725893477803734,5.126971635120723,0.3439545428369185,0.06708727243208544,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.9923445639514871,1.3222545121441673,-0.022425387600659843,0.6440217391304348,0.6440217391304348,0.4915390946502058,0.8441257954366806,1.5091255342111454,0.10417884301958065
pooled_oof_test,change,m1,m1_final,online,online_roi_mean,roi_mean,observed_pair,sphericity,,T0→T1,single_output_ridge,256,372,372,5,0.05289873206304103,0.07321815348803588,-0.08825167004482903,-0.07342781476281467,-0.11254712250883807,0.004939434515009712,0.0002017361938169085,0.04084196140345264,0.6297031164484972,0.02501260074719017,0.03972125926303229,0.623636328168767,0.0223011419172029,0.03575985058902441,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.05132378963924563,0.07085112308466164,-0.033408509284261076,0.47043010752688175,0.47043010752688175,0.4677737490935461,0.05100562676693544,0.07035164515256409,-0.040745434300157486
pooled_oof_test,change,m1,m1_final,online,online_roi_mean,roi_mean,observed_pair,sphericity,,T1→T2,single_output_ridge,256,368,368,5,0.07520138622131012,0.10723545109355731,-0.016985638174496165,0.022669307666894935,0.04082316876406951,0.011338189220927497,0.00035080346271724186,0.03093999014143681,1.3306984832299502,0.04331474135473909,0.03255038004522481,1.321970752599126,0.04173341090995966,0.03156908791507499,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.07469162800589581,0.10698135128305698,-0.0023751785470349537,0.6385869565217391,0.6385869565217391,0.5077302154797565,0.07542908750217388,0.11263701824718572,0.04795552330561957
pooled_oof_test,change,m1,m1_final,online,online_roi_mean,roi_mean,observed_pair,sphericity,,T2→T3,single_output_ridge,256,368,368,5,0.08988547242014376,0.12968576524112604,-0.03856689162684157,-0.016481449911051653,-0.04182315970634575,0.01623797613700829,0.00041011955059213414,0.025256814465777086,1.769037914194989,0.053497031063975214,0.03024074873393505,1.7732939011185225,0.050263507136308824,0.028344713250637487,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.08734877473995369,0.12757218465746953,-0.016567722731498764,0.6358695652173914,0.6358695652173914,0.5095675468809797,0.09015947472961951,0.1322455755233243,0.019356490922804323
pooled_oof_test,change,m1,m1_final,table_baseline,current_radiomics,current_radiomics,current_only,bpe,,T0→T1,current_radiomics_single_output_ridge,4,375,375,5,6.292051795356357,8.78449908450909,0.4478657598768613,0.5377854135851633,0.6741520864922096,140.13576509876154,49.53437381645663,0.35347417400223974,1.429636697101559,0.6198255792091791,0.43355460898969056,1.4143793353184488,0.6153366548590217,0.43505772425646905,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",8.120816188027145,11.876554792335497,0.26034955101809976,0.696,0.696,0.5909090909090909,8.648985439999999,13.05380386350108,0.32705446041893776
pooled_oof_test,change,m1,m1_final,table_baseline,current_radiomics,current_radiomics,current_only,bpe,,T1→T2,current_radiomics_single_output_ridge,4,375,375,5,5.307253797669837,7.922345954562805,0.2435381579838266,0.5053139151211742,0.49386076999053224,83.19174735357215,19.09294374781565,0.22950526170184862,0.9325671984963494,0.23955408342697818,0.25687594825684396,0.9262843069752559,0.23995480734197203,0.25905092587127465,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",6.3267479271428675,9.155968705803753,0.13473426907400674,0.6853333333333333,0.6853333333333333,0.6295532857494462,6.4668996,9.500660083426302,0.16612678645527298
pooled_oof_test,change,m1,m1_final,table_baseline,current_radiomics,current_radiomics,current_only,bpe,,T2→T3,current_radiomics_single_output_ridge,4,375,375,5,5.198750265377855,8.261387689257225,0.16143990543593,0.46086244168847423,0.40309400591515976,81.6077643507419,12.621920008757924,0.15466567561525385,0.8125841133231128,0.15658180605833377,0.1926961203043742,0.8090589132998466,0.1573170588792933,0.19444450372304317,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",5.861080026071585,9.0674175436547,0.0888929897092396,0.672,0.672,0.6477607977342459,5.941835200000002,9.126674608137037,0.09480856456834252
pooled_oof_test,change,m1,m1_final,table_baseline,current_radiomics,current_radiomics,current_only,ftv,,T0→T1,current_radiomics_single_output_ridge,4,375,375,5,0.6112435481395587,0.8181620698139961,0.003688038051034459,0.06429559676868812,0.09714000480516416,0.6736634796504759,0.020124304485487448,0.029872933732326946,0.3647980681755265,0.011616730196507184,0.03184427553195723,0.36258338586930977,0.010229568454212037,0.028213009345936225,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.6115653633277737,0.825048957436942,0.008347247228019473,0.8746666666666667,0.8746666666666667,0.5,0.831665934362793,1.103006847382375,0.25824388873411314
pooled_oof_test,change,m1,m1_final,table_baseline,current_radiomics,current_radiomics,current_only,ftv,,T1→T2,current_radiomics_single_output_ridge,4,375,375,5,0.8863784410757165,1.1209141328089767,-0.004202452477585883,-0.01760314028899761,-0.008726002761422515,1.2545358537735372,0.004010603123445957,0.0031968820272313494,0.6660046373370572,0.0023026601227715726,0.003457423557857636,0.6685740605179805,0.0012587161772815152,0.0018826877254351144,True,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.8857599499611033,1.121991265544408,0.0009600188241293177,0.912,0.912,0.5,1.4239827398248797,1.7372358447279361,0.3547714685886417
pooled_oof_test,change,m1,m1_final,table_baseline,current_radiomics,current_radiomics,current_only,ftv,,T2→T3,current_radiomics_single_output_ridge,4,375,375,5,0.8486126044732315,1.1410357829660314,0.15217553171198817,0.349932643076573,0.3974177482535219,1.5397572143942888,0.15920105742378854,0.10339361032733671,0.7353196724585435,0.0903882802572616,0.12292378898968952,0.736152940437164,0.0908310385151009,0.1233860975426668,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.9054897557783907,1.2415461635706626,0.08095581425306438,0.8213333333333334,0.8213333333333334,0.5324355971896956,1.153293084666865,1.5140191371465808,0.24635313057105615
