task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,metric,estimate,ci_low,ci_high,bootstrap_replicates,valid_replicates,bootstrap_unit,ci_method,seed
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T0→T1,single_output_ridge,9,pearson,0.14991565703668058,0.06013738827538244,0.25814886903629936,2000,2000,patient within fold,percentile,2354231661
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T0→T1,single_output_ridge,9,predicted_to_target_variance_ratio,0.04570973456741866,0.026415335612916032,0.10395021008345834,2000,2000,patient within fold,percentile,2354231661
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T0→T1,single_output_ridge,9,fold_centered_variance_ratio,0.04897618020237396,0.029766176189874982,0.10496461068605174,2000,2000,patient within fold,percentile,2354231661
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T0→T1,single_output_ridge,9,sign_accuracy,0.7258064516129032,0.6827956989247311,0.771505376344086,2000,2000,patient within fold,percentile,2354231661
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T0→T1,single_output_ridge,9,shrinkage_accuracy,0.7258064516129032,0.6827956989247311,0.771505376344086,2000,2000,patient within fold,percentile,2354231661
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T0→T1,single_output_ridge,9,shrinkage_balanced_accuracy,0.4994852941176471,0.488929889298893,0.5131634412578339,2000,2000,patient within fold,percentile,2354231661
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T0→T1,single_output_ridge,9,rmse_gain_over_b0,0.01248244736761076,-0.009244823717304574,0.03693233840106837,2000,2000,patient within fold,percentile,2354231661
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T0→T1,single_output_ridge,9,rmse_gain_over_zero_change,0.08769997688039603,0.05970631230364565,0.13416618151086449,2000,2000,patient within fold,percentile,2354231661
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T1→T2,single_output_ridge,9,mae,0.9447097041496887,0.8494446572636135,1.0426132734484315,2000,2000,patient within fold,percentile,3287255386
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T1→T2,single_output_ridge,9,rmse,1.3331091617365338,1.1941562662599277,1.4681199816301853,2000,2000,patient within fold,percentile,3287255386
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T1→T2,single_output_ridge,9,r2,0.009348053699424153,-0.035157146339852945,0.043828872372123025,2000,2000,patient within fold,percentile,3287255386
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T1→T2,single_output_ridge,9,spearman,0.20517843158331325,0.10061756523279819,0.3052255153400653,2000,2000,patient within fold,percentile,3287255386
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T1→T2,single_output_ridge,9,pearson,0.11748408727258149,0.016497564027551048,0.21737353230776288,2000,2000,patient within fold,percentile,3287255386
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T1→T2,single_output_ridge,9,predicted_to_target_variance_ratio,0.033106901195904787,0.024355006284618463,0.04595444846330372,2000,2000,patient within fold,percentile,3287255386
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T1→T2,single_output_ridge,9,fold_centered_variance_ratio,0.03159954526175232,0.022349326231339905,0.04435400501078444,2000,2000,patient within fold,percentile,3287255386
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T1→T2,single_output_ridge,9,sign_accuracy,0.8260869565217391,0.7880434782608695,0.8641304347826086,2000,2000,patient within fold,percentile,3287255386
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T1→T2,single_output_ridge,9,shrinkage_accuracy,0.8260869565217391,0.7880434782608695,0.8641304347826086,2000,2000,patient within fold,percentile,3287255386
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T1→T2,single_output_ridge,9,shrinkage_balanced_accuracy,0.49836065573770494,0.49493243243243246,0.5,2000,2000,patient within fold,percentile,3287255386
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T1→T2,single_output_ridge,9,rmse_gain_over_b0,0.009925843507717053,-0.00899980934732488,0.02787442438212324,2000,2000,patient within fold,percentile,3287255386
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T1→T2,single_output_ridge,9,rmse_gain_over_zero_change,0.14992813962433824,0.11290088876283509,0.1819352583900359,2000,2000,patient within fold,percentile,3287255386
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T2→T3,single_output_ridge,9,mae,0.9733266179959865,0.8913032350995206,1.0574087851768073,2000,2000,patient within fold,percentile,897860849
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T2→T3,single_output_ridge,9,rmse,1.3056576581005042,1.1881379998189927,1.416300797995443,2000,2000,patient within fold,percentile,897860849
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T2→T3,single_output_ridge,9,r2,0.02530532515655637,-0.02280392763074481,0.06656016573897716,2000,2000,patient within fold,percentile,897860849
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T2→T3,single_output_ridge,9,spearman,0.2552443393874949,0.15395869048566133,0.35474274914804627,2000,2000,patient within fold,percentile,897860849
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T2→T3,single_output_ridge,9,pearson,0.1654792580315808,0.06196392809565746,0.2736463028616061,2000,2000,patient within fold,percentile,897860849
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T2→T3,single_output_ridge,9,predicted_to_target_variance_ratio,0.042402908304984055,0.03278059437538581,0.054639023708214565,2000,2000,patient within fold,percentile,897860849
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T2→T3,single_output_ridge,9,fold_centered_variance_ratio,0.04490666506979148,0.03550359073941039,0.05758579724121148,2000,2000,patient within fold,percentile,897860849
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T2→T3,single_output_ridge,9,sign_accuracy,0.657608695652174,0.6059782608695652,0.7038043478260869,2000,2000,patient within fold,percentile,897860849
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T2→T3,single_output_ridge,9,shrinkage_accuracy,0.657608695652174,0.6059782608695652,0.7038043478260869,2000,2000,patient within fold,percentile,897860849
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T2→T3,single_output_ridge,9,shrinkage_balanced_accuracy,0.49988477366255146,0.49137743628185904,0.5095383457650173,2000,2000,patient within fold,percentile,897860849
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T2→T3,single_output_ridge,9,rmse_gain_over_b0,0.012551936023836838,-0.009312118599075932,0.03477648303025793,2000,2000,patient within fold,percentile,897860849
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T2→T3,single_output_ridge,9,rmse_gain_over_zero_change,0.13482501720242812,0.09748855832792791,0.16695427661091736,2000,2000,patient within fold,percentile,897860849
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T0→T1,single_output_ridge,9,mae,0.05236555143265837,0.04760453103866719,0.05748809201052431,2000,2000,patient within fold,percentile,3797118098
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T0→T1,single_output_ridge,9,rmse,0.07188498565225528,0.06545518924785605,0.07830311229566961,2000,2000,patient within fold,percentile,3797118098
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T0→T1,single_output_ridge,9,r2,-0.048982345300942365,-0.07731913775965392,-0.030512757858339686,2000,2000,patient within fold,percentile,3797118098
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T0→T1,single_output_ridge,9,spearman,-0.17898198851108177,-0.27187855750694767,-0.08402824426328698,2000,2000,patient within fold,percentile,3797118098
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T0→T1,single_output_ridge,9,pearson,-0.16293750652589703,-0.24531043526079802,-0.07796514476770106,2000,2000,patient within fold,percentile,3797118098
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T0→T1,single_output_ridge,9,predicted_to_target_variance_ratio,0.012049624442540449,0.008921546339374028,0.016296614071843005,2000,2000,patient within fold,percentile,3797118098
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T0→T1,single_output_ridge,9,fold_centered_variance_ratio,0.008842434016841184,0.0061208998299498146,0.012320629460300048,2000,2000,patient within fold,percentile,3797118098
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T0→T1,single_output_ridge,9,sign_accuracy,0.4650537634408602,0.41397849462365593,0.5161290322580645,2000,2000,patient within fold,percentile,3797118098
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T0→T1,single_output_ridge,9,shrinkage_accuracy,0.4650537634408602,0.41397849462365593,0.5161290322580645,2000,2000,patient within fold,percentile,3797118098
