task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,comparison_type,comparison_dimension,left_method,right_method,pair_scope,fold,n,mae_reduction,rmse_reduction,r2_gain,spearman_gain,pearson_gain,sign_accuracy_gain,rmse_gain_over_b0_difference
static,,,online,online_projected,projected,current,ftv,T3,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.09682566357838107,-0.12803747575003577,-0.04645215965478933,6.0747190442411725e-05,-0.15286108359661796,,-0.021567406930935264
static,,,online,online_projected,projected,current,ld,T0,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.027044418662603764,0.03494587077092115,0.02800363619311519,0.05701059847795681,0.11195392412214128,,0.014734131544245382
static,,,online,online_projected,projected,current,ld,T1,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.0180684490092744,0.029966444993802188,0.027563503323961402,0.060615885153752075,0.10470093047154874,,0.013308958588206486
static,,,online,online_projected,projected,current,ld,T2,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.017137450927997566,-0.0005150630179748816,-0.000563183406333545,-0.11087574770343793,-0.05164262483082123,,-0.0002005015843489456
static,,,online,online_projected,projected,current,ld,T3,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.09510862902943051,0.13695134763156425,0.17502328530286593,0.06329946779433449,0.2557546221884596,,0.06350639484130458
static,,,online,online_projected,projected,current,sphericity,T0,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.00789252744876355,-0.005119609766914404,-0.09844016405716172,-0.07180317910296652,-0.06539104471357488,,-0.052349374360258674
static,,,online,online_projected,projected,current,sphericity,T1,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.001817193321085958,-0.003011498153649539,-0.06328784136489085,-0.1471296952515946,-0.15633826707304657,,-0.03178138100657096
static,,,online,online_projected,projected,current,sphericity,T2,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.0032291128323333057,0.003726561844929935,0.05856749223504021,0.17902197023387673,0.19745219729785934,,0.029472404142719517
static,,,online,online_projected,projected,current,sphericity,T3,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.0068574921845670905,0.009253300671726888,0.131389945277946,0.2808545104788903,0.26619350017503113,,0.06355181395979824
static,,,online,online_roi_mean,roi_mean,current,ftv,T0,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-2.2457625418070233,-4.798422832844317,-0.22391983348788946,-0.08328439809658805,-0.15248423483933915,,-0.1385990395291542
static,,,online,online_roi_mean,roi_mean,current,ftv,T1,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,82,0.07732826043520369,0.1796072333226455,0.014664923168123845,-0.0005659494345948701,0.0833257853824948,,0.007031552850440562
static,,,online,online_roi_mean,roi_mean,current,ftv,T2,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,80,0.40059697312883014,-0.02325098506126544,-0.004113560344616518,-0.05302390998593526,-0.006526723731898734,,-0.0018332593986712976
static,,,online,online_roi_mean,roi_mean,current,ftv,T3,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,82,-0.028037962167207997,-1.3368256776643612,-0.5435341518744461,0.14246688651625466,-0.04332325759059635,,-0.22244856777550717
static,,,online,online_roi_mean,roi_mean,current,ld,T0,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.10833096719716306,0.11830420871479275,0.09899864243047418,0.1406626102460744,0.13571655748833977,,0.049880278699252725
static,,,online,online_roi_mean,roi_mean,current,ld,T1,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,82,0.04370432922086276,0.045855824953833224,0.0428110260076211,0.0455864370668963,0.06671173413300267,,0.020207362177977622
static,,,online,online_roi_mean,roi_mean,current,ld,T2,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,80,0.08053214628625516,0.13806233546932578,0.1579417210174614,-0.18670364922167723,-0.1546299286225642,,0.05296457079886112
static,,,online,online_roi_mean,roi_mean,current,ld,T3,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,82,-0.14650126730221524,-0.12802032831515753,-0.15953563290333328,-0.08795218372950342,-0.11664413621099622,,-0.05865857654514929
static,,,online,online_roi_mean,roi_mean,current,sphericity,T0,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.0015045178674690032,-0.005143243721275725,-0.09288277692669422,-0.06591070163004953,-0.052453045733019565,,-0.05259103784259472
