task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,comparison_type,comparison_dimension,left_method,right_method,pair_scope,n,n_patients,metric,estimate,ci_low,ci_high,bootstrap_replicates,valid_replicates,bootstrap_unit,ci_method,seed,positive_definition
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,pearson_gain,0.008106644432350176,-0.06565949310255347,0.08126259176753745,2000,2000,paired patient within fold,percentile,1369795429,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,sign_accuracy_gain,-0.002666666666666595,-0.008066666666666668,0.0,2000,2000,paired patient within fold,percentile,1369795429,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_gain_over_b0_difference,0.0020479763770379442,-0.011808279517078664,0.012410094693593393,2000,2000,paired patient within fold,percentile,1369795429,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,mae_reduction,0.005618488497743379,-0.012515365232019798,0.02448300248783988,2000,2000,paired patient within fold,percentile,1407995781,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_reduction,0.0036262006989029594,-0.01645698022221818,0.02362875228542514,2000,2000,paired patient within fold,percentile,1407995781,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,r2_gain,0.005466534867619943,-0.025396953508092533,0.03541331611942604,2000,2000,paired patient within fold,percentile,1407995781,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,spearman_gain,0.0024219199671766094,-0.07936448903221995,0.09092337765385687,2000,2000,paired patient within fold,percentile,1407995781,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,pearson_gain,0.015618102903548488,-0.07510940886534993,0.10828164267647068,2000,2000,paired patient within fold,percentile,1407995781,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,sign_accuracy_gain,0.0,-0.008000000000000007,0.008000000000000007,2000,2000,paired patient within fold,percentile,1407995781,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_gain_over_b0_difference,0.002683254876757026,-0.012374381662029822,0.01742295071085682,2000,2000,paired patient within fold,percentile,1407995781,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,mae_reduction,-0.01599393345648159,-0.03511547483524283,0.003023283394096583,2000,2000,paired patient within fold,percentile,4213229592,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_reduction,-0.010094432620944227,-0.029562022025656103,0.00993126450920022,2000,2000,paired patient within fold,percentile,4213229592,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,r2_gain,-0.015241775031992422,-0.04638654202725684,0.015102975947591678,2000,2000,paired patient within fold,percentile,4213229592,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,spearman_gain,-0.1163007652002775,-0.21053558468620298,-0.024916190239953135,2000,2000,paired patient within fold,percentile,4213229592,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,pearson_gain,-0.06117854503420865,-0.1526974156511934,0.033258701346815626,2000,2000,paired patient within fold,percentile,4213229592,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,sign_accuracy_gain,0.0,-0.008000000000000007,0.008000000000000007,2000,2000,paired patient within fold,percentile,4213229592,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_gain_over_b0_difference,-0.007598509581698573,-0.02313075623984812,0.007516930417445215,2000,2000,paired patient within fold,percentile,4213229592,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,mae_reduction,-0.0018069383500223038,-0.003102287700928851,-0.00038245565208493783,2000,2000,paired patient within fold,percentile,189995825,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_reduction,-0.0015259366380287187,-0.0028436691217917707,-0.0002589136291284063,2000,2000,paired patient within fold,percentile,189995825,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,r2_gain,-0.044596221801801894,-0.08497021571575186,-0.007212743896502034,2000,2000,paired patient within fold,percentile,189995825,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,spearman_gain,-0.09972351803390603,-0.18081332289625504,-0.015268585200214962,2000,2000,paired patient within fold,percentile,189995825,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,pearson_gain,-0.05041654197149491,-0.14352537631916307,0.03285613760379986,2000,2000,paired patient within fold,percentile,189995825,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,sign_accuracy_gain,-0.013333333333333308,-0.06666666666666665,0.040066666666666334,2000,2000,paired patient within fold,percentile,189995825,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_gain_over_b0_difference,-0.021519525891256015,-0.040701976767501064,-0.0034945147182901164,2000,2000,paired patient within fold,percentile,189995825,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,mae_reduction,-0.0004009351158701657,-0.001304590631279305,0.0005177030585038174,2000,2000,paired patient within fold,percentile,3969296439,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_reduction,-0.0009114915228711912,-0.001755356983467598,6.5455519147543e-06,2000,2000,paired patient within fold,percentile,3969296439,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,r2_gain,-0.017277973907546373,-0.0332713589739998,0.0001346544404206478,2000,2000,paired patient within fold,percentile,3969296439,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,spearman_gain,-0.11778313801342588,-0.21485665360111564,-0.024686231384139886,2000,2000,paired patient within fold,percentile,3969296439,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,pearson_gain,-0.10691812521960564,-0.18853306659089608,-0.02480725289398581,2000,2000,paired patient within fold,percentile,3969296439,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,sign_accuracy_gain,-0.002666666666666595,-0.008000000000000007,0.0,2000,2000,paired patient within fold,percentile,3969296439,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_gain_over_b0_difference,-0.008504976620632657,-0.016361091034182658,6.572325254485122e-05,2000,2000,paired patient within fold,percentile,3969296439,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,mae_reduction,0.002315122305316733,0.0003231638000548865,0.004347166537396193,2000,2000,paired patient within fold,percentile,1665644872,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_reduction,0.003591070869680524,0.001155564860560861,0.006539614880737704,2000,2000,paired patient within fold,percentile,1665644872,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,r2_gain,0.05688153128818352,0.018041547222887443,0.10392787752404442,2000,2000,paired patient within fold,percentile,1665644872,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
