scope,visit,status,error_code,file_count,slice_count,timepoint_count,decoded_cell_count,verified_cell_count,pixel_order_verified,finite_fraction,nonconstant,cell_recomparison_max_abs_error,center_corner_error_mm,footprint_corner_error_mm,qform_code,sform_code,elapsed_seconds
FORMAL_72,T2,PASS,,864,144,6,864,864,True,1.0,True,0.0,1.4440737902651389e-05,1.445298094783602e-05,1,1,8.884086608886719
FORMAL_72,T3,PASS,,960,160,6,960,960,True,1.0,True,0.0,6.4384873489648685e-06,6.438487408309123e-06,1,1,10.325997114181519
FORMAL_72,T1,PASS,,960,160,6,960,960,True,1.0,True,0.0,8.879150539296387e-06,8.879174523610195e-06,1,1,10.637867450714111
BASE_ONLY_EXTENSION_74,T3,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,9.789008013365957e-06,9.789007993051766e-06,1,1,11.678313255310059
BASE_ONLY_EXTENSION_74,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,5.168139027247737e-06,5.168162581353399e-06,1,1,11.300472259521484
BASE_ONLY_EXTENSION_74,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,4.883299176677423e-06,4.883312803191909e-06,1,1,11.626968145370483
BASE_ONLY_EXTENSION_74,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,8.088601396715789e-06,8.088609434790366e-06,1,1,11.99652361869812
BASE_ONLY_EXTENSION_74,T1,PASS,,576,72,8,576,576,True,1.0,True,0.0,1.9664572215890048e-05,1.967067137372633e-05,1,1,6.0139381885528564
FORMAL_72,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,2.105291076339999e-06,2.105291101674749e-06,1,1,11.88072919845581
BASE_ONLY_EXTENSION_74,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,8.465743880243534e-06,8.465743934775466e-06,1,1,11.4835205078125
FORMAL_72,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,8.100477118331033e-06,8.100497973851692e-06,1,1,12.125665426254272
FORMAL_72,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,3.8633160580540995e-06,3.8633160580540995e-06,1,1,5.905490398406982
BASE_ONLY_EXTENSION_74,T3,PASS,,576,72,8,576,576,True,1.0,True,0.0,1.6712071526329126e-05,1.67189693350313e-05,1,1,6.211651086807251
FORMAL_72,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,3.12924320752454e-06,3.1292432075301297e-06,1,1,5.884389877319336
BASE_ONLY_EXTENSION_74,T3,PASS,,648,72,9,648,648,True,1.0,True,0.0,1.5190652629779683e-05,1.5195863898813577e-05,1,1,6.206104278564453
FORMAL_72,T1,PASS,,576,72,8,576,576,True,1.0,True,0.0,2.1485513481181255e-05,2.1492148479066424e-05,1,1,6.36365008354187
BASE_ONLY_EXTENSION_74,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,2.766881508331207e-06,2.766900733239858e-06,1,1,11.971129894256592
FORMAL_72,T3,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,9.733478246608358e-06,9.7335023912665e-06,1,1,12.184525728225708
BASE_ONLY_EXTENSION_74,T0,PASS,,576,72,8,576,576,True,1.0,True,0.0,1.978208951912134e-05,1.9801237588228126e-05,1,1,5.815718412399292
BASE_ONLY_EXTENSION_74,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,5.12085271869935e-06,5.120852761553723e-06,1,1,11.77098798751831
FORMAL_72,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,7.324401298411866e-06,7.324414445935991e-06,1,1,5.654171466827393
FORMAL_72,T0,PASS,,864,144,6,864,864,True,1.0,True,0.0,1.0932229291175192e-05,1.094611831979605e-05,1,1,8.87662649154663
FORMAL_72,T3,PASS,,864,144,6,864,864,True,1.0,True,0.0,9.587669586056116e-06,9.601666019295394e-06,1,1,8.641647100448608
FORMAL_72,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,3.704636379386549e-06,3.704636379386549e-06,1,1,5.449683666229248
BASE_ONLY_EXTENSION_74,T0,PASS,,576,72,8,576,576,True,1.0,True,0.0,1.8519728541055473e-05,1.8526913797958236e-05,1,1,5.908663511276245
FORMAL_72,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,5.08848140470235e-06,5.0884813940489396e-06,1,1,5.897983074188232
FORMAL_72,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,9.502808784686376e-06,9.502808763760374e-06,1,1,12.24489140510559
BASE_ONLY_EXTENSION_74,T2,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,3.821194127665373e-06,3.8211941279167975e-06,1,1,12.690274477005005
FORMAL_72,T2,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,9.045211608373892e-06,9.045240978505936e-06,1,1,12.558704614639282
BASE_ONLY_EXTENSION_74,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,7.316576783526711e-06,7.3165968648444715e-06,1,1,11.73534107208252
BASE_ONLY_EXTENSION_74,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,5.9037782607085766e-06,5.903778288696865e-06,1,1,11.089867353439331
BASE_ONLY_EXTENSION_74,T1,PASS,,576,72,8,576,576,True,1.0,True,0.0,1.192018064621906e-05,1.1927034051414862e-05,1,1,6.1781721115112305
BASE_ONLY_EXTENSION_74,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,7.743864998036e-06,7.743865054151067e-06,1,1,11.787017822265625
FORMAL_72,T2,PASS,,576,72,8,576,576,True,1.0,True,0.0,2.1858977349499193e-05,2.1864245105181427e-05,1,1,6.239912033081055
FORMAL_72,T0,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,8.344926523247085e-06,8.344956290601316e-06,1,1,12.015655994415283
BASE_ONLY_EXTENSION_74,T3,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,5.9635361099523e-06,5.963541759943467e-06,1,1,5.774839639663696
FORMAL_72,T0,PASS,,960,160,6,960,960,True,1.0,True,0.0,7.306848049514101e-06,7.3068678589204025e-06,1,1,10.687873601913452
FORMAL_72,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,4.788198128094016e-06,4.78819813931824e-06,1,1,5.822004318237305
FORMAL_72,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,4.113738262500584e-06,4.11376007190938e-06,1,1,11.488893747329712
BASE_ONLY_EXTENSION_74,T3,PASS,,576,72,8,576,576,True,1.0,True,0.0,2.4647591625394535e-05,2.4654460230326754e-05,1,1,6.098851680755615
FORMAL_72,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,1.9376804184432837e-06,1.937704711420946e-06,1,1,11.837700843811035
BASE_ONLY_EXTENSION_74,T2,PASS,,576,72,8,576,576,True,1.0,True,0.0,1.758505477229853e-05,1.7592431613089534e-05,1,1,5.844585657119751
BASE_ONLY_EXTENSION_74,T1,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,1.2492894909079145e-06,1.2493104744451448e-06,1,1,13.103148937225342
FORMAL_72,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,6.252262114894018e-06,6.25226212774567e-06,1,1,11.387876033782959
BASE_ONLY_EXTENSION_74,T3,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,7.0587661228134225e-06,7.0587907797148464e-06,1,1,11.891359567642212
FORMAL_72,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,9.193128728515486e-06,9.193139197699994e-06,1,1,6.09831976890564
BASE_ONLY_EXTENSION_74,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,5.8105150524935785e-06,5.8105208606034055e-06,1,1,5.976958751678467
FORMAL_72,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,2.7032942966028004e-06,2.7033145225893973e-06,1,1,11.914994716644287
FORMAL_72,T2,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,1.0952729115946519e-05,1.0952742255083519e-05,1,1,11.281970024108887
FORMAL_72,T2,PASS,,960,160,6,960,960,True,1.0,True,0.0,1.3458495051302176e-06,1.3458592177718965e-06,1,1,9.688710689544678
BASE_ONLY_EXTENSION_74,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,6.388379385840177e-06,6.388379411434206e-06,1,1,11.385839462280273
FORMAL_72,T3,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,8.922160117046963e-06,8.922179326643482e-06,1,1,12.43083143234253
BASE_ONLY_EXTENSION_74,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,1.0899854409615362e-05,1.0899860360524633e-05,1,1,5.96386981010437
FORMAL_72,T3,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,4.351920187545355e-06,4.351924003896419e-06,1,1,5.681886911392212
BASE_ONLY_EXTENSION_74,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,7.751427628983687e-06,7.751427685269542e-06,1,1,11.845942735671997
BASE_ONLY_EXTENSION_74,T2,PASS,,576,72,8,576,576,True,1.0,True,0.0,8.787500581086455e-06,8.794192543051335e-06,1,1,6.013213157653809
