model,task,target,timepoint,transition,representation,fold_count,spearman_mean,spearman_sd_ddof1,pearson_mean,pearson_sd_ddof1,r2_mean,r2_sd_ddof1,mae_mean,mae_sd_ddof1,rmse_mean,rmse_sd_ddof1,rmse_gain_over_b0_mean,rmse_gain_over_b0_sd_ddof1,prediction_target_variance_ratio_mean,prediction_target_variance_ratio_sd_ddof1
G0,static,ftv,T1,,response_state,5,0.691456412026531,0.037016842083945026,0.5141294575669577,0.22306713654682883,0.23168960908915337,0.15659715291537318,11.303624100733947,4.973031757852539,29.5714300761583,19.67742775866742,0.16340966184221045,0.08505990884210428,0.4087072434599281,0.37614654358418603
G0,static,ftv,T2,,response_state,5,0.5074652990212205,0.1148507690688395,0.3819011283774255,0.23898220166447548,0.09049538815737639,0.18787726175129124,7.378410971528952,4.578610203494759,24.506527108309392,20.25935218192893,0.08833453115699982,0.09290822717946662,0.09885302317630065,0.1493376385815461
G0,static,ftv,T3,,response_state,5,0.3458125221588184,0.11419442923876036,0.4426616603820566,0.27550465769611776,0.015004251343011754,0.09340748726866505,3.0669103264095163,1.810817136633616,9.906094051234785,7.359794707220904,0.04667294954915149,0.03628980004696024,0.018502305600649895,0.01511605222002908
G0,static,ld,T0,,response_state,5,0.42944627880083897,0.11470648910772709,0.44932415609894144,0.10389734686797579,0.1181289659258842,0.06233215092994163,1.406658985421646,0.08577598770129001,1.99468720275889,0.19748323450127014,0.08038513983868571,0.04309026695313758,0.08615947787349333,0.0636461815559078
G0,static,ld,T1,,response_state,5,0.20284893635943418,0.06189752438497727,0.17133128566437433,0.07821565886168726,-0.059728096132699984,0.045577252796361996,1.4221838812501375,0.17373365159425522,2.0826415531768063,0.304879052259357,0.011311831196266142,0.01616350916104055,0.0681374883785684,0.0454210636607101
G0,static,ld,T2,,response_state,5,0.26241316554429517,0.12344327858440891,0.3044184349407947,0.1367871217610715,-0.13971100873050946,0.17469975112327615,1.5870520186411856,0.17229259302135821,2.203750517105787,0.33173637918792376,0.0633801312391771,0.04639235861397682,0.0870144034286408,0.05579690438929235
G0,static,ld,T3,,response_state,5,0.16667601817870842,0.11641257183999018,0.18043680341336404,0.1701529625388451,-0.24700875298327768,0.1309510267440216,1.3607556036618462,0.11729448606741581,1.9506704154497647,0.21573321148850477,0.033915223063458996,0.040874353330206156,0.10948589480811359,0.11816357766962592
G0,static,sphericity,T0,,response_state,5,0.42337845897723925,0.06477316750024083,0.3908150302794854,0.07175961942120719,0.12126026091478377,0.08192340720223298,0.06764888941273313,0.005798986426588363,0.08752477174210013,0.007248638267280573,0.071705863501885,0.04815811614321181,0.2610053011365281,0.10527779184202378
G0,static,sphericity,T1,,response_state,5,0.25017734957391935,0.05902127490590288,0.24238410676895644,0.06900765048812868,0.03862026463830317,0.042527807228045326,0.07213181534042352,0.0098302326482913,0.08922976827076609,0.012939090448759284,0.02403825738220896,0.022947768826261556,0.07558350428707479,0.041457635171565796
G0,static,sphericity,T2,,response_state,5,0.21818068064874926,0.09957634384024275,0.18720830428141683,0.09704516430544252,-0.007881918482109151,0.08918037008985348,0.0898756143805962,0.005602299915261974,0.11885146968785912,0.013325791044784499,0.01929342758564665,0.01800065157810781,0.03705456120074104,0.010370515579414215
G0,static,sphericity,T3,,response_state,5,0.05710239952571533,0.16022196899118898,0.036057168051139225,0.09874793427185231,-0.050628432697152184,0.03474308047172651,0.11589608392766466,0.010416257818412059,0.14409041919766932,0.009868598153677612,-0.020345105140637094,0.018485321428941378,0.05670157279392154,0.03720315730842392
G1,change,ftv,,T0→T1,response_state,5,0.3982902855104765,0.10331554891312343,0.3316942304885828,0.08485266558627944,0.05375055682106009,0.09729161008104095,0.5767231989307795,0.05680585570983123,0.7751665191930396,0.11617671074052617,0.042734383184195576,0.0427417498161075,0.19128335463938478,0.1760998706287779
G1,change,ftv,,T1→T2,response_state,5,0.2680192631524876,0.11852484769389535,0.2738426018769725,0.1303910765187836,0.052521931260125165,0.06943253096408121,0.8575356411500443,0.03831486934670557,1.07670802169238,0.0698930223646082,0.03523798013341704,0.032551735156529024,0.06497105615732637,0.013840373521416451
G1,change,ftv,,T2→T3,response_state,5,0.24066613523855046,0.10094615633873644,0.29536263717148453,0.10368011539567225,0.0755723441942864,0.03927958731944532,0.8718640922348794,0.05397699056110781,1.1798811716288207,0.06787428622032557,0.04335381703111015,0.023201564297350548,0.07642876008440899,0.05411430863744028
G1,change,ld,,T0→T1,response_state,5,0.13334945090400083,0.07398665979257407,0.11294727030416489,0.10273709189816059,-0.011762044441522535,0.039122294906013724,0.2910281783430677,0.04077383802529556,0.555416832042478,0.1955497915377307,0.005930237997551459,0.013955569928155028,0.029842978888739113,0.016355638782704136
G1,change,ld,,T1→T2,response_state,5,0.04864652510150898,0.12406720559994293,0.07620387819647578,0.07810825030003331,-0.017141841356363163,0.030493791189488213,0.9615981731862776,0.113458906058781,1.3426012528886644,0.16396668268190573,-2.30863254249277e-05,0.012623660584006673,0.02583282211718325,0.013155169901689334
G1,change,ld,,T2→T3,response_state,5,0.19529317334857682,0.12063665496623976,0.12667936485326808,0.09195264930857534,-0.0018309356535946453,0.0334017939948832,0.9895373157379606,0.16746342970108397,1.3026205043236119,0.2620667353003083,0.003996658831596271,0.01680424548510099,0.027422504973200933,0.006991745404592765
G1,change,sphericity,,T0→T1,response_state,5,0.049229300558036364,0.11456707468638354,0.02811900962937123,0.12900183479429925,-0.14156871416049296,0.10489031040303665,0.05473833731786674,0.007518892112049009,0.07270879936753674,0.010847219785658623,-0.04201468232494491,0.04968658281395259,0.11781513163265023,0.16105765553490622
G1,change,sphericity,,T1→T2,response_state,5,0.013805521423385703,0.05611361726464155,0.022407817776977344,0.07223329731529608,-0.0645134812264486,0.11726068240231251,0.0772112557122672,0.014288566142305604,0.10678043644139087,0.02230018785445701,-0.00997891602423766,0.018172588889507554,0.02118106121062289,0.01690299149059086
G1,change,sphericity,,T2→T3,response_state,5,0.06824238278010199,0.10619332807359577,0.07471672252814128,0.05402507866708635,-0.029224229925300226,0.029966864230845852,0.0891506955132776,0.0044351000625948095,0.12734842118054018,0.00834264572756038,-0.005540406050242267,0.00993705200980694,0.038042116805736326,0.024781946553310077
G1,static,ftv,T0,,response_state,5,0.641073110782005,0.08841853132586999,0.4881848325082726,0.2107684479469499,0.17983571844960816,0.20161142300515833,16.869405992300898,3.525113098294421,38.11228216749325,13.92576413207579,0.14292638295908436,0.10960342254916275,0.1506555195542178,0.07708149620525852
G1,static,ftv,T1,,response_state,5,0.6125143571853267,0.05797001594002261,0.3907537197060126,0.21380378120673574,0.04194641248706173,0.11945791793634136,12.36255923533796,5.228316015434285,32.954063028478835,20.8713293595759,0.0636318501759254,0.06308761003602235,0.405972517336853,0.6481295384232814
G1,static,ftv,T2,,response_state,5,0.5422229656052527,0.10403628153772634,0.3980247656335445,0.32653033711201684,0.02071392166215593,0.34711347745205445,8.295868039174385,5.8675660042522555,26.49851528953833,23.6207752492723,0.06128926101972232,0.17064707339131807,0.19474417464722835,0.2567756724066411
G1,static,ftv,T3,,response_state,5,0.36396768197591667,0.12645123451737622,0.377222438801318,0.20867511039705167,0.00199458693616974,0.10014228815064131,3.0802672909934135,1.7693609540988395,9.954943203890867,7.398557343558727,0.04018395798727392,0.046951297712837584,0.04706605590335859,0.04560035909787489
