model,task,target,timepoint,transition,representation,metric,estimate,ci_low,ci_high,bootstrap_replicates,finite_replicates,bootstrap_unit
G0,change,sphericity,,T1→T2,response_state,mae,0.07553682918643762,0.06831555198045274,0.08331715172679349,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T1→T2,response_state,rmse,0.10715586625853377,0.09414627677510698,0.12045276235742981,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T1→T2,response_state,prediction_target_variance_ratio,0.014604811892849274,0.011263251505791062,0.019584074808212316,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T1→T2,response_state,rmse_gain_over_b0,0.00014633782762393493,-0.01152655598006877,0.011880685718570696,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T2→T3,response_state,spearman,0.0387887131641825,-0.05876528160116117,0.1361822919571987,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T2→T3,response_state,pearson,0.01913707542472616,-0.07977084835333605,0.1246281376607389,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T2→T3,response_state,r2,-0.029958284986422168,-0.07578007958662726,0.009224423886116247,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T2→T3,response_state,mae,0.09039657370074866,0.081237852772851,0.10039728990892623,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T2→T3,response_state,rmse,0.12922385054909494,0.115980106875619,0.143168795671949,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T2→T3,response_state,prediction_target_variance_ratio,0.037276029664875365,0.02695834786802025,0.05043544481218947,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T2→T3,response_state,rmse_gain_over_b0,-0.012494718635491946,-0.03223463113130096,0.007511186935558537,2000,2000,patient_within_outer_fold
G0,static,ftv,T0,,response_state,spearman,0.7583172147001934,0.7046999227751116,0.8028962699940585,2000,2000,patient_within_outer_fold
G0,static,ftv,T0,,response_state,pearson,0.591061950116462,0.4650452536868388,0.7809724463999518,2000,2000,patient_within_outer_fold
G0,static,ftv,T0,,response_state,r2,0.32037257877847036,0.18315333256777935,0.5591247090373992,2000,2000,patient_within_outer_fold
G0,static,ftv,T0,,response_state,mae,14.035034877045435,11.129452923092657,17.609415807968077,2000,2000,patient_within_outer_fold
G0,static,ftv,T0,,response_state,rmse,35.17440519790726,20.87939019185629,48.83571909712904,2000,2000,patient_within_outer_fold
G0,static,ftv,T0,,response_state,prediction_target_variance_ratio,0.4936402469838656,0.19741029111824537,1.0678742438348665,2000,2000,patient_within_outer_fold
G0,static,ftv,T0,,response_state,rmse_gain_over_b0,0.21134241840747778,0.13083109137180451,0.37029178927918033,2000,2000,patient_within_outer_fold
G0,static,ftv,T1,,response_state,spearman,0.6738577767664126,0.6066570481112048,0.7271603878779234,2000,2000,patient_within_outer_fold
G0,static,ftv,T1,,response_state,pearson,0.4568212095111362,0.2880887312003041,0.6894876234704506,2000,2000,patient_within_outer_fold
G0,static,ftv,T1,,response_state,r2,0.17384786382634765,0.024313016196290185,0.3991168346376457,2000,2000,patient_within_outer_fold
G0,static,ftv,T1,,response_state,mae,11.475070000888486,8.708697034923132,15.107995465649049,2000,2000,patient_within_outer_fold
G0,static,ftv,T1,,response_state,rmse,34.24775568748158,18.5307661469758,51.43541203014001,2000,2000,patient_within_outer_fold
G0,static,ftv,T1,,response_state,prediction_target_variance_ratio,0.3407174466887853,0.08793414315997633,1.0889421929366199,2000,2000,patient_within_outer_fold
G0,static,ftv,T1,,response_state,rmse_gain_over_b0,0.12277317577748953,0.04133406970642357,0.25685396245810904,2000,2000,patient_within_outer_fold
G0,static,ftv,T2,,response_state,spearman,0.4966225964273524,0.4130483389577205,0.5768296131914454,2000,2000,patient_within_outer_fold
G0,static,ftv,T2,,response_state,pearson,0.3305822474611798,0.15613682540610627,0.5714480623567517,2000,2000,patient_within_outer_fold
G0,static,ftv,T2,,response_state,r2,0.027006365090904372,-0.021468933576826593,0.1578874715901821,2000,2000,patient_within_outer_fold
G0,static,ftv,T2,,response_state,mae,7.5066038934577035,4.914388987246126,10.818757343164181,2000,2000,patient_within_outer_fold
G0,static,ftv,T2,,response_state,rmse,30.680077009166613,12.401311689482538,45.325276775324994,2000,2000,patient_within_outer_fold
G0,static,ftv,T2,,response_state,prediction_target_variance_ratio,0.014705675543631213,0.0059380562981237745,0.0791085860193131,2000,2000,patient_within_outer_fold
G0,static,ftv,T2,,response_state,rmse_gain_over_b0,0.03811851560012634,0.014530287154310064,0.13347405275605098,2000,2000,patient_within_outer_fold
G0,static,ftv,T3,,response_state,spearman,0.3349729397526994,0.24214747433165923,0.4237633328791548,2000,2000,patient_within_outer_fold
