comparison,kind,task,target,timepoint,transition,representation,fold,metric,estimate,n_patients,decision_point
G3-G1,probe,change,sphericity,,T1→T2,response_state,2,r2,0.010836536364383198,83,
G3-G1,probe,change,sphericity,,T1→T2,response_state,2,mae,-9.169877441199403e-05,83,
G3-G1,probe,change,sphericity,,T1→T2,response_state,2,rmse,-0.0005701269071809456,83,
G3-G1,probe,change,sphericity,,T1→T2,response_state,2,rmse_gain_over_b0,0.005394595776503169,83,
G3-G1,probe,change,sphericity,,T1→T2,response_state,2,prediction_target_variance_ratio,0.012964579572355132,83,
G3-G1,probe,change,sphericity,,T1→T2,response_state,3,spearman,0.014052350633481259,72,
G3-G1,probe,change,sphericity,,T1→T2,response_state,3,pearson,0.043347378087247125,72,
G3-G1,probe,change,sphericity,,T1→T2,response_state,3,r2,0.0013637780872202132,72,
G3-G1,probe,change,sphericity,,T1→T2,response_state,3,mae,-0.0009557742158882165,72,
G3-G1,probe,change,sphericity,,T1→T2,response_state,3,rmse,-4.427855175674622e-05,72,
G3-G1,probe,change,sphericity,,T1→T2,response_state,3,rmse_gain_over_b0,0.0005578182982663021,72,
G3-G1,probe,change,sphericity,,T1→T2,response_state,3,prediction_target_variance_ratio,0.011262730684988065,72,
G3-G1,probe,change,sphericity,,T1→T2,response_state,4,spearman,-0.024784853700516356,84,
G3-G1,probe,change,sphericity,,T1→T2,response_state,4,pearson,-0.10046725381595259,84,
G3-G1,probe,change,sphericity,,T1→T2,response_state,4,r2,-0.035567942824461296,84,
G3-G1,probe,change,sphericity,,T1→T2,response_state,4,mae,0.0007254974125371905,84,
G3-G1,probe,change,sphericity,,T1→T2,response_state,4,rmse,0.001748279953571727,84,
G3-G1,probe,change,sphericity,,T1→T2,response_state,4,rmse_gain_over_b0,-0.017452094812347295,84,
G3-G1,probe,change,sphericity,,T1→T2,response_state,4,prediction_target_variance_ratio,-0.0026819312445964943,84,
G3-G1,probe,change,sphericity,,T2→T3,response_state,0,spearman,0.04925100474972599,69,
G3-G1,probe,change,sphericity,,T2→T3,response_state,0,pearson,0.011765247212950932,69,
G3-G1,probe,change,sphericity,,T2→T3,response_state,0,r2,-0.012614317452855683,69,
G3-G1,probe,change,sphericity,,T2→T3,response_state,0,mae,0.0015925960423646551,69,
G3-G1,probe,change,sphericity,,T2→T3,response_state,0,rmse,0.0006889782169658271,69,
G3-G1,probe,change,sphericity,,T2→T3,response_state,0,rmse_gain_over_b0,-0.006018763841030967,69,
G3-G1,probe,change,sphericity,,T2→T3,response_state,0,prediction_target_variance_ratio,0.01172282423402958,69,
G3-G1,probe,change,sphericity,,T2→T3,response_state,1,spearman,0.019315188762072,67,
G3-G1,probe,change,sphericity,,T2→T3,response_state,1,pearson,-0.003216913847262734,67,
G3-G1,probe,change,sphericity,,T2→T3,response_state,1,r2,-0.030173741933060105,67,
G3-G1,probe,change,sphericity,,T2→T3,response_state,1,mae,0.00252626809866055,67,
G3-G1,probe,change,sphericity,,T2→T3,response_state,1,rmse,0.001747446423798038,67,
G3-G1,probe,change,sphericity,,T2→T3,response_state,1,rmse_gain_over_b0,-0.01456548293872379,67,
G3-G1,probe,change,sphericity,,T2→T3,response_state,1,prediction_target_variance_ratio,0.03695339228294573,67,
G3-G1,probe,change,sphericity,,T2→T3,response_state,2,spearman,0.012048192771084335,83,
G3-G1,probe,change,sphericity,,T2→T3,response_state,2,pearson,-0.021444537538635223,83,
G3-G1,probe,change,sphericity,,T2→T3,response_state,2,r2,-0.008766324702383255,83,
