model,task,target,timepoint,transition,representation,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
G0,static,ftv,T3,,response_state,375,375,5,0.3349729397526994,0.4726171396344915,0.026900661681822147,3.1439291360955517,12.240578650381178,12.7102476994274,0.036951998116242966,154.38545631958928,1.0159902319372462,0.006580867499812104
G0,static,ld,T0,,response_state,375,375,5,0.40348495256781647,0.41547119081267603,0.130088780208658,1.4062765316777004,2.0067045248505253,2.1969467589818237,0.08659392101949082,4.641427736185383,0.4230652322084471,0.09114980481332426
G0,static,ld,T1,,response_state,375,375,5,0.1984283265299763,0.15154503595004964,-0.06003974600477191,1.4326267417945897,2.1158188247300047,2.140487048495622,0.011524584455184913,4.234425240641712,0.24896077537274788,0.05879446707034525
G0,static,ld,T2,,response_state,375,375,5,0.26646619340665667,0.3290423046540529,-0.11142206961314627,1.6006470862764661,2.251622164652028,2.4119305880851725,0.06646477482605055,4.573742174688057,0.4708659241994555,0.10294981794236575
G0,static,ld,T3,,response_state,375,375,5,0.17251115153666552,0.2150723381149313,-0.2263522043711339,1.369027553200933,1.9719443161432508,2.0507854155826677,0.038444343733065114,3.179316352228164,0.42621037605574885,0.13405724024822108
G0,static,sphericity,T0,,response_state,375,375,5,0.42480942086699286,0.39251577434100005,0.1419257652717011,0.06732219053100118,0.08733663448891915,0.09462372746632344,0.07701126527696518,0.00891307803133714,0.0022406231796921637,0.251386016347489
G0,static,sphericity,T1,,response_state,375,375,5,0.2265980202525885,0.21048009969861883,0.038282153728594004,0.0717498634029706,0.0895954771652626,0.09147100650659057,0.020504085534390978,0.008369204191322312,0.0006930045615442345,0.08280411681946807
G0,static,sphericity,T2,,response_state,375,375,5,0.1961276595744681,0.17210504339060476,0.02910066395155919,0.08996054444397256,0.11965139842052996,0.12208066269256974,0.019898845717747186,0.014784989450696916,0.0005547356202864611,0.03752019046995753
G0,static,sphericity,T3,,response_state,375,375,5,0.025557856411423375,0.024571213477650563,-0.044806893291036376,0.1158283774013088,0.14448020673486842,0.14161215403104124,-0.020252871114427782,0.02003273956580448,0.0011095008798700553,0.0553843809642468
G1,change,ftv,,T0→T1,response_state,375,375,5,0.3829297986119013,0.29485862513458766,0.07232262004233048,0.5802024579611361,0.7894782193220529,0.825048957340101,0.043113487631965056,0.6736634796504758,0.11309385987305107,0.1678788642835868
