comparison,kind,task,target,timepoint,transition,representation,metric,estimate,ci_low,ci_high,bootstrap_replicates,finite_replicates,bootstrap_unit,n_patients,decision_point
G3-G1,probe,static,ld,T0,,response_state,r2,0.0144131423026157,-0.021071645141760707,0.047432626540698304,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T0,,response_state,mae,-0.012810780763805596,-0.052031260213650024,0.02401901920627098,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T0,,response_state,rmse,-0.016111944497911868,-0.05452096708631261,0.02224681321194097,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T0,,response_state,rmse_gain_over_b0,0.007333789238196629,-0.010743056283444815,0.024368688868588843,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T0,,response_state,prediction_target_variance_ratio,0.06138030145691098,0.0409979473115789,0.08626476916571739,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T1,,response_state,spearman,0.04726278937226491,0.0007797891811592392,0.09333357044051559,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T1,,response_state,pearson,0.059595891525267786,0.014722019094615598,0.10295154220211312,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T1,,response_state,r2,0.028511140631442444,0.0010351765909190238,0.05554964188651464,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T1,,response_state,mae,-0.022991634960060736,-0.05190020734530225,0.0044670702515263025,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T1,,response_state,rmse,-0.0289046500161394,-0.05739876040802852,-0.0010045094256789487,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T1,,response_state,rmse_gain_over_b0,0.01350377244116201,0.0004925828559411852,0.026642386105584163,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T1,,response_state,prediction_target_variance_ratio,0.032410067674909705,0.020179230726458552,0.04658583682627067,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T2,,response_state,spearman,0.07623672820416727,0.01770396873931668,0.1295773038319853,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T2,,response_state,pearson,0.06383831374433546,0.0046857325892119064,0.14109242865205032,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T2,,response_state,r2,0.09399913576861985,0.006752377442171226,0.16802388220592132,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T2,,response_state,mae,-0.08243274604279738,-0.1365714560145341,-0.027711693243958415,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T2,,response_state,rmse,-0.09507829832945092,-0.17185410116356664,-0.006835715805412427,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T2,,response_state,rmse_gain_over_b0,0.03941999773921082,0.0027681867108231583,0.07110662836188428,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T2,,response_state,prediction_target_variance_ratio,0.179138901985636,0.0756293264849885,0.38769450061960414,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T3,,response_state,spearman,0.038264900129762275,-0.01931267980267872,0.09699456383755321,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T3,,response_state,pearson,0.1574459103446984,-0.013035287551968118,0.25543617381154693,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T3,,response_state,r2,1.327285073071105,-0.07354276803434097,3.9951251637281664,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T3,,response_state,mae,-0.13078316345245233,-0.3615558032702084,0.027124608508553447,2000,2000,patient_within_outer_fold,375,
