model,decision_point,fold,n,n_patients,n_folds,prevalence,auroc,auprc,accuracy,sensitivity,specificity
G2,T0-T1,2,162,162,1,0.3395061728395062,0.5687340696686491,0.4063791248450872,0.43209876543209874,0.7454545454545455,0.27102803738317754
G2,T0-T2,2,162,162,1,0.3395061728395062,0.5796091758708583,0.38878231428721144,0.5,0.7818181818181819,0.35514018691588783
G3,T0,2,162,162,1,0.3395061728395062,0.5541206457094308,0.39113935145752987,0.5802469135802469,0.4909090909090909,0.6261682242990654
G3,T0-T1,2,162,162,1,0.3395061728395062,0.5928632115548004,0.4183640497508154,0.5185185185185185,0.7272727272727273,0.411214953271028
G3,T0-T2,2,162,162,1,0.3395061728395062,0.5466440101954121,0.42442480976668895,0.5493827160493827,0.5636363636363636,0.5420560747663551
G4,T0,2,162,162,1,0.3395061728395062,0.47969413763806296,0.3363391512312768,0.49382716049382713,0.6363636363636364,0.4205607476635514
G4,T0-T1,2,162,162,1,0.3395061728395062,0.518606627017842,0.4242523306885746,0.6111111111111112,0.36363636363636365,0.7383177570093458
G4,T0-T2,2,162,162,1,0.3395061728395062,0.5135089209855566,0.36709782286628034,0.5308641975308642,0.4,0.5981308411214953
G0,T0,3,161,161,1,0.3416149068322981,0.44099485420240137,0.2976620357018805,0.42857142857142855,0.9454545454545454,0.16037735849056603
G0,T0-T1,3,161,161,1,0.3416149068322981,0.5140651801029159,0.3425135939820829,0.4906832298136646,0.43636363636363634,0.5188679245283019
G0,T0-T2,3,161,161,1,0.3416149068322981,0.5531732418524871,0.37355987009866765,0.6149068322981367,0.4909090909090909,0.6792452830188679
G1,T0,3,161,161,1,0.3416149068322981,0.4789022298456261,0.39392194038806627,0.6459627329192547,0.21818181818181817,0.8679245283018868
G1,T0-T1,3,161,161,1,0.3416149068322981,0.5200686106346484,0.4080516869116257,0.484472049689441,0.4727272727272727,0.49056603773584906
G1,T0-T2,3,161,161,1,0.3416149068322981,0.5456260720411664,0.4018047074023609,0.422360248447205,0.8,0.22641509433962265
G2,T0,3,161,161,1,0.3416149068322981,0.5295025728987993,0.3627107325951068,0.4658385093167702,0.7272727272727273,0.330188679245283
G2,T0-T1,3,161,161,1,0.3416149068322981,0.5075471698113208,0.4002328594027038,0.5838509316770186,0.4,0.6792452830188679
G2,T0-T2,3,161,161,1,0.3416149068322981,0.5780445969125214,0.46052460285017555,0.546583850931677,0.5818181818181818,0.5283018867924528
G3,T0,3,161,161,1,0.3416149068322981,0.5188679245283019,0.35735926666558093,0.453416149068323,0.7090909090909091,0.32075471698113206
G3,T0-T1,3,161,161,1,0.3416149068322981,0.5291595197255574,0.38026074984707003,0.5093167701863354,0.5636363636363636,0.4811320754716981
G3,T0-T2,3,161,161,1,0.3416149068322981,0.565008576329331,0.4116489601576121,0.5217391304347826,0.6,0.4811320754716981
G4,T0,3,161,161,1,0.3416149068322981,0.5121783876500857,0.3691706359465604,0.453416149068323,0.6909090909090909,0.330188679245283
G4,T0-T1,3,161,161,1,0.3416149068322981,0.5168096054888508,0.364674171673662,0.5217391304347826,0.2727272727272727,0.6509433962264151
G4,T0-T2,3,161,161,1,0.3416149068322981,0.5850771869639795,0.481054305992254,0.5962732919254659,0.45454545454545453,0.6698113207547169
