model,task,target,timepoint,transition,representation,fold,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
G1,static,ld,T0,,response_state,2,83,83,1,0.3705867076943907,0.3226582329507969,-0.005763624123018785,1.4386975407752594,2.1300542834505722,2.219742300442864,0.040404697867134395,4.566144578313253,0.2856455851846115,0.06255728006101151
G1,static,ld,T1,,response_state,2,83,83,1,0.21762417409796722,0.12240539213395504,-0.1637939762734275,1.467972663752632,2.259012562806886,2.3004341817351612,0.01800600045728417,4.438389656185719,0.16827850792316126,0.037914315992656024
G1,static,ld,T2,,response_state,2,83,83,1,0.39265842516686184,0.31670279471162804,-0.08697301068012964,1.7394608397082665,2.767718264467358,2.9173502943926564,0.0512903884778256,7.133279459300618,0.3633618040497693,0.05093895537430621
G1,static,ld,T3,,response_state,2,83,83,1,0.3214524557717423,0.3614341530829211,-0.24894094436413616,1.4569759834170994,2.171282230715444,2.224568865785433,0.023953690932905766,3.820805171907141,0.046383550678189354,0.012139731965196533
G1,static,sphericity,T0,,response_state,2,83,83,1,0.3898241047814953,0.3650739117002747,0.12493698004792986,0.05757515669389074,0.07057809868323581,0.07547010818517934,0.06482049144464078,0.005761888080833325,0.0010193796187156214,0.17691763609684547
G1,static,sphericity,T1,,response_state,2,83,83,1,0.2954745812518366,0.30607444828810476,0.06666874732897721,0.06022337537865909,0.07590344209329503,0.07906346411906039,0.03996817064588436,0.00624814893707224,0.0003132004513289126,0.0501269183054513
G1,static,sphericity,T2,,response_state,2,83,83,1,0.2947819151169136,0.2988126005449823,0.08065373298527623,0.0896911092527643,0.1217477952317907,0.12698440374655587,0.041238202174943825,0.016319518216320772,0.0007108818160389886,0.04356022075014764
G1,static,sphericity,T3,,response_state,2,83,83,1,0.17236891818143654,0.17161315652831344,0.013114808639373643,0.1090055846940455,0.13311770790552246,0.1340032422687045,0.006608305502088912,0.01817478449282748,0.0016152482869875627,0.08887303657575728
G2,change,ftv,,T0→T1,response_state,2,83,83,1,0.26676042147684814,0.2562378953295935,0.006513499522750488,0.5757675322469172,0.7343020797957164,0.7601236907867567,0.0339702752381181,0.5493533614498459,0.06955398058907485,0.12661063983573145
G2,change,ftv,,T1→T2,response_state,2,83,83,1,0.4025649636875026,0.3264997128240387,0.10261643199436332,0.8704041322417821,1.1534105164013568,1.2184404171729222,0.05337142453173912,1.5005619879951004,0.12657885026003685,0.08435429610552693
