model,decision_point,metric,estimate,ci_low,ci_high,bootstrap_replicates,finite_replicates,bootstrap_unit
G1,T0-T1,auroc,0.5384615384615384,0.4960366342775876,0.5795626734754928,2000,2000,patient_within_outer_fold
G1,T0-T1,auprc,0.38176552437634426,0.3379032399804117,0.4406907037237742,2000,2000,patient_within_outer_fold
G1,T0-T1,accuracy,0.5074257425742574,0.474009900990099,0.5396039603960396,2000,2000,patient_within_outer_fold
G1,T0-T1,sensitivity,0.5054545454545455,0.44598552767229116,0.5618419070315281,2000,2000,patient_within_outer_fold
G1,T0-T1,specificity,0.5084427767354597,0.46520043045466775,0.5492034340360791,2000,2000,patient_within_outer_fold
G1,T0-T2,auroc,0.5412450963670475,0.5006760972595631,0.5820747579484088,2000,2000,patient_within_outer_fold
G1,T0-T2,auprc,0.36747099361875957,0.32435314466095005,0.4223826447929638,2000,2000,patient_within_outer_fold
G1,T0-T2,accuracy,0.5074257425742574,0.4739789603960396,0.5396039603960396,2000,2000,patient_within_outer_fold
G1,T0-T2,sensitivity,0.6036363636363636,0.5476917030689186,0.6619730578593512,2000,2000,patient_within_outer_fold
G1,T0-T2,specificity,0.45778611632270166,0.41935029105020616,0.4980938584316447,2000,2000,patient_within_outer_fold
G2,T0,auroc,0.5049155722326455,0.46410182277371015,0.5464524282770347,2000,2000,patient_within_outer_fold
G2,T0,auprc,0.3461888426138199,0.30821692473558665,0.3976105560058288,2000,2000,patient_within_outer_fold
G2,T0,accuracy,0.46782178217821785,0.43316831683168316,0.5,2000,2000,patient_within_outer_fold
G2,T0,sensitivity,0.6363636363636364,0.5806231956821891,0.6936840588988474,2000,2000,patient_within_outer_fold
G2,T0,specificity,0.3808630393996248,0.33897992945656585,0.41834862385321103,2000,2000,patient_within_outer_fold
G2,T0-T1,auroc,0.5167047586559782,0.47182212501280774,0.5573708387391126,2000,2000,patient_within_outer_fold
G2,T0-T1,auprc,0.34636441862276024,0.30765386205809575,0.3962274305836365,2000,2000,patient_within_outer_fold
G2,T0-T1,accuracy,0.49876237623762376,0.46410891089108913,0.530940594059406,2000,2000,patient_within_outer_fold
G2,T0-T1,sensitivity,0.5854545454545454,0.5280820848938826,0.6423083941605839,2000,2000,patient_within_outer_fold
G2,T0-T1,specificity,0.4540337711069418,0.4138579887400505,0.4943609022556391,2000,2000,patient_within_outer_fold
G2,T0-T2,auroc,0.5867508101654443,0.5444670108149047,0.6285045110145325,2000,2000,patient_within_outer_fold
G2,T0-T2,auprc,0.4109803169559342,0.362104984305239,0.4711409904793261,2000,2000,patient_within_outer_fold
G2,T0-T2,accuracy,0.5445544554455446,0.5099009900990099,0.5792079207920792,2000,2000,patient_within_outer_fold
G2,T0-T2,sensitivity,0.6290909090909091,0.5724507350641226,0.6842105263157895,2000,2000,patient_within_outer_fold
G2,T0-T2,specificity,0.50093808630394,0.45929889629848475,0.5426944971537002,2000,2000,patient_within_outer_fold
G3,T0,auroc,0.5148012962647109,0.4744209328163885,0.5584688694541895,2000,2000,patient_within_outer_fold
G3,T0,auprc,0.34696812915997727,0.30733137433318547,0.3995732548104314,2000,2000,patient_within_outer_fold
G3,T0,accuracy,0.5,0.46410891089108913,0.5334158415841584,2000,2000,patient_within_outer_fold
G3,T0,sensitivity,0.5818181818181818,0.5222101449275363,0.6403427831538774,2000,2000,patient_within_outer_fold
G3,T0,specificity,0.45778611632270166,0.4153543307086614,0.4990441584639777,2000,2000,patient_within_outer_fold
G3,T0-T1,auroc,0.5449701517994201,0.5029363617588001,0.5860226152906542,2000,2000,patient_within_outer_fold
