comparison_id,family,estimand,analysis_population,timing,reference_model,reference_spatial,candidate_model,candidate_spatial,metric,higher_is_better,reference_value,candidate_value,delta_candidate_minus_reference,ci_level,ci_low,ci_high,bootstrap_seed,bootstrap_replicates,valid_bootstrap_replicates,n_paired,positive,inference_scope
beyond_ftv:941ac2a8ec5f,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T1,clinical_ftv,TABULAR,medicalnet_resnet50_3dseg8_mri_clinical_ftv,LOCAL,auprc,True,0.5506750319989909,0.3666774131367827,-0.18399761886220822,0.95,-0.2799314108826916,-0.08351812968553811,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:941ac2a8ec5f,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T1,clinical_ftv,TABULAR,medicalnet_resnet50_3dseg8_mri_clinical_ftv,LOCAL,auroc,True,0.7247341337907376,0.579639794168096,-0.14509433962264162,0.95,-0.22168226593965698,-0.06618504942414045,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:941ac2a8ec5f,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T1,clinical_ftv,TABULAR,medicalnet_resnet50_3dseg8_mri_clinical_ftv,LOCAL,brier,False,0.21502450481039986,0.26238251756017666,0.0473580127497768,0.95,0.019930194344462294,0.07483647453444264,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:0eb3b35803c0,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T2,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,GLOBAL,auprc,True,0.5781705841259126,0.35942693365251,-0.2187436504734026,0.95,-0.32134467443916076,-0.12916005391161692,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:0eb3b35803c0,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T2,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,GLOBAL,auroc,True,0.772967409948542,0.5132418524871355,-0.25972555746140646,0.95,-0.33833711709216,-0.18251608889803608,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:0eb3b35803c0,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T2,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,GLOBAL,brier,False,0.194945476386185,0.3542834892960043,0.15933801290981928,0.95,0.1164749303501723,0.203329051601583,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:c0ab4f365ff9,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T2,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,LOCAL,auprc,True,0.5781705841259126,0.42438532110326693,-0.15378526302264567,0.95,-0.2552618602531858,-0.05444544060122693,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:c0ab4f365ff9,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T2,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,LOCAL,auroc,True,0.772967409948542,0.6232590051457976,-0.1497084048027444,0.95,-0.2245094673700946,-0.07640561497710316,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:c0ab4f365ff9,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T2,clinical_ftv,TABULAR,dino_vitb16_imagenet1k_mri_clinical_ftv,LOCAL,brier,False,0.194945476386185,0.24844645065680546,0.05350097427062045,0.95,0.022869371226828538,0.08413510929371026,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
beyond_ftv:d7648cd5ecb1,beyond_ftv,clinical_FTV_foundation_minus_clinical_FTV,radiomics_complete_case_375,T0-T2,clinical_ftv,TABULAR,medicalnet_resnet50_3dseg8_mri_clinical_ftv,GLOBAL,auprc,True,0.5781705841259126,0.4089346112859673,-0.1692359728399453,0.95,-0.27166143857027686,-0.0713422528393918,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
