target,model,spatial,timing,analysis_population,split_seed,fold_manifest_sha256,aggregation,n,positive,n_folds,ece_bin_contract,auroc,auprc,brier,calibration_slope,calibration_intercept,ece_10bin
pCR,GAP0_mri_only,GLOBAL,T0-T1,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,275,5,"10_equal_width_bins_[0,1]",0.523070806816178,0.36754125952723016,0.26627591857919086,0.7312364789964372,-0.0601098649518315,0.18400508492460554
pCR,GAP0_mri_only,GLOBAL,T0-T2,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,275,5,"10_equal_width_bins_[0,1]",0.5520245608050486,0.39425580631072243,0.27419972800995673,2.9239693417933204,3.0655321285095183,0.19502411516838367
pCR,GAP0_mri_only,GLOBAL,T0-T2,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,275,5,"10_equal_width_bins_[0,1]",0.551930876388644,0.41405354536965433,0.2741938077041969,0.7310543831467466,-0.04729911825140487,0.2014579732275598
pCR,GAP0_mri_only_paired,GLOBAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.4826758147512864,0.28118894339380285,0.2618279474060911,0.014908604258781287,-0.8759930005165654,0.20604102870070862
pCR,GAP0_mri_only_paired,GLOBAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.4756534746593529,0.30774710174159176,0.261958100074043,-0.30167495310825115,-0.9725253401891676,0.22276247297463767
pCR,GAP0_mri_only_paired,GLOBAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.45550600343053177,0.2813974026596193,0.3213982870957275,2.673959816538013,-2.2082889327712154,0.2806309950605256
pCR,GAP0_mri_only_paired,GLOBAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.4413088246521532,0.2995288361122198,0.322185731391787,1.2898216188465477,-2.0919989117315447,0.305854584024461
pCR,GAP0_mri_only_paired,GLOBAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.49680960548885084,0.2915909121190875,0.30722842760694785,1.3865145023740162,-3.009851199465279,0.2695691190837752
pCR,GAP0_mri_only_paired,GLOBAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.4848277696605098,0.3057006110855099,0.3078500134962458,1.2174679885268298,-0.1140748943079658,0.28308805626467964
pCR,LOCAL0_mri_clinical,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,275,5,"10_equal_width_bins_[0,1]",0.6879617943032577,0.5286197850377259,0.22546691552300627,0.8032426256185712,-0.6692360804808238,0.14256880790217913
pCR,LOCAL0_mri_clinical,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,275,5,"10_equal_width_bins_[0,1]",0.6951276831086388,0.558898880358017,0.2254478818294007,1.0819435113142872,-0.6754415818078601,0.15104791605006873
pCR,LOCAL0_mri_clinical,LOCAL,T0-T1,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,275,5,"10_equal_width_bins_[0,1]",0.6838956165785434,0.5223576094865131,0.22839508331562236,0.7293521709892754,-0.6681288423213232,0.14986910934966058
pCR,LOCAL0_mri_clinical,LOCAL,T0-T1,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,275,5,"10_equal_width_bins_[0,1]",0.6986893445119507,0.5611633863597888,0.22838635157698314,1.3691596168935782,-0.6964105045271896,0.1659306713170568
pCR,LOCAL0_mri_clinical,LOCAL,T0-T2,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,275,5,"10_equal_width_bins_[0,1]",0.6746580249019273,0.5076969907913054,0.23334170831767123,0.4099755418649235,-0.6211321506239371,0.15389735574515837
pCR,LOCAL0_mri_clinical,LOCAL,T0-T2,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,275,5,"10_equal_width_bins_[0,1]",0.6978336352414999,0.5503841850091405,0.23331846008095608,1.8124748512861886,-0.22303385918040158,0.16651924293573778
pCR,LOCAL0_mri_clinical_ftv,LOCAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.6702915951972557,0.4631598904163809,0.23706076781237814,1.1525744655457668,-0.9907496446891157,0.21346525065721728
pCR,LOCAL0_mri_clinical_ftv,LOCAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.6657507034810684,0.49620497843822864,0.23704882291932136,1.2935847289755305,-1.0140748525071737,0.21787965384081337
pCR,LOCAL0_mri_clinical_ftv,LOCAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.6436020583190395,0.42709843751421633,0.2508627961321385,2.4288984920406933,4.63278752084787,0.1913026713969696
pCR,LOCAL0_mri_clinical_ftv,LOCAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.6508350513376848,0.46458732513351925,0.24939532446909016,0.5829253548383754,-0.8719757723356836,0.21005911045069875
pCR,LOCAL0_mri_clinical_ftv,LOCAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.6340994854202401,0.42949711607059304,0.29702625600095706,1.0,-2.423272406372641,0.2792976320520231
pCR,LOCAL0_mri_clinical_ftv,LOCAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.6331632151580469,0.44994864281877084,0.29733430485170653,1.3443123935140788,-0.48310079986428905,0.3038527848720327
pCR,LOCAL0_mri_clinical_paired,LOCAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.6702572898799314,0.4632352912412934,0.23702598373576828,1.1527792754245276,-0.9904880570837776,0.21340410022934542
pCR,LOCAL0_mri_clinical_paired,LOCAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.665112405608728,0.49600016683320225,0.2370098850513691,1.295138114227602,-1.0136988102246114,0.21781120228068213
