target,model,spatial,task,endpoint,analysis_population,split_seed,fold_manifest_sha256,aggregation,n,n_folds,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,calibration_slope,calibration_intercept,calibration_mean_bias
FTV,LOCAL0,LOCAL,static,T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.31722691059584834,0.41994744748720886,0.05768313712682105,12.045417060248546,3.1805632206603516,12.477635535818399,0.034639453470901825,0.04738703965816634,1.4590862859902938,-1.9366183520123026
FTV,LOCAL0,LOCAL,static,T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.3265284117737554,0.43561285151583834,0.05978181347544511,9.685957904039894,3.096394451068472,10.294290046637563,0.09364112547915004,0.07082340528146605,1.4054205929522796,-1.8616473989033078
FTV,dino_vitb16_imagenet1k,GLOBAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.33586915462509953,0.3717348318976485,0.11677078991294554,23.80639107958412,15.000746861939234,25.477864188497076,0.06560491478196999,0.19253279975369636,-8.738960388890206,0.16577553318932253
FTV,dino_vitb16_imagenet1k,GLOBAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.3543575283756216,0.3712825614636677,0.005920864564029693,23.322192285463167,14.990197501477303,24.445499639427307,0.02076064521166809,0.20438810693714887,-8.49554615232525,0.34504649486628025
FTV,dino_vitb16_imagenet1k,GLOBAL,delta,T1-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.2966114461258391,0.3401749717017887,0.0793360979908585,16.49719738203693,10.303624657477512,17.219808801872187,0.04196396302360178,0.1804101284766735,-7.290957070908863,-0.2539940280852051
FTV,dino_vitb16_imagenet1k,GLOBAL,delta,T1-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.2966377864944418,0.36584588217844266,0.0010775725729360365,16.164755411020565,10.298461508085591,16.60517378340784,0.012271383881616065,0.1994173886701122,-7.205020345718006,-0.31371679278713954
FTV,dino_vitb16_imagenet1k,GLOBAL,delta,T2-T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.26749664353168734,0.32512257830567187,0.08298622045957915,26.228559149438727,12.215285714405928,27.537956917151757,0.04754883492818175,0.15463055035190718,-4.341574010456808,0.23390710207010543
FTV,dino_vitb16_imagenet1k,GLOBAL,delta,T2-T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.2508737185411121,0.3675073091653715,-0.7408579897831477,23.555453606302642,12.215068569579309,22.944585785259125,-0.1815657791353063,0.30112336660278693,-3.944391594112596,0.25613495202601094
FTV,dino_vitb16_imagenet1k,GLOBAL,static,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.6201536010922745,0.6775299079215397,0.39541740762777366,33.175626641815946,15.996100880531502,42.77656700591202,0.2244439195592568,0.32610981418994117,12.503194558031247,-6.763977440945295
FTV,dino_vitb16_imagenet1k,GLOBAL,static,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.6120813283372785,0.6981557457596372,0.3766317857596479,32.378607987294245,16.060189057019056,41.82120336681659,0.22419259680532738,0.3216244821793145,12.325557604856664,-6.834678946471707
FTV,dino_vitb16_imagenet1k,GLOBAL,static,T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.5738593696666288,0.6594478135072426,0.39882432790577216,29.214792122208973,10.631295057853803,37.95576601319648,0.23029370262079393,0.36192030603573194,5.392576950570257,-5.814005365145296
FTV,dino_vitb16_imagenet1k,GLOBAL,static,T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.5866218899295788,0.7113302256261719,0.38419217872614986,25.54982875643962,10.562988319169516,33.934864367476976,0.2617562476385479,0.3481931364308638,5.43440011050113,-5.758500628523307
FTV,dino_vitb16_imagenet1k,GLOBAL,static,T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.5229875445431685,0.8241634804821826,0.32554708440380664,25.54331528570826,6.914659353271485,31.345565059981617,0.18510592369830958,0.20380598247567863,2.6495151936768586,-4.497938917930479
FTV,dino_vitb16_imagenet1k,GLOBAL,static,T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.512119939928833,0.710527016050049,0.2642031208130437,20.991096873604754,6.83143760360966,25.99578169892136,0.21397452279083468,0.1899192585131272,2.64917033742737,-4.4370711927397215
FTV,dino_vitb16_imagenet1k,GLOBAL,static,T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.34709782133250827,0.4422255389134391,0.06527971962007562,11.996766138099414,3.2128314399539692,12.477635535818399,0.038538503255572544,0.05044094245789435,1.5197197068430042,-1.8650989235859352
FTV,dino_vitb16_imagenet1k,GLOBAL,static,T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.3486172065457958,0.519887467409836,0.11105677903003097,9.607886681321254,3.1303036587394053,10.294290046637563,0.11349474880239274,0.09510383956394051,1.4171675821314227,-1.7939010991074582
FTV,dino_vitb16_imagenet1k,LOCAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.5075066560473319,0.4780442483979623,0.22496286582239966,22.30068008364927,12.45131197261531,25.477864188497076,0.12470370676841368,0.2570509102665028,-8.149341792151564,0.04388939495812781
FTV,dino_vitb16_imagenet1k,LOCAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.49885080709103324,0.47716002274861413,0.1593052041908639,21.538666728251968,12.382758977416508,24.445499639427307,0.10275337040989108,0.2781750276909284,-7.790072776899345,0.2051974353182074
FTV,dino_vitb16_imagenet1k,LOCAL,delta,T1-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.48791102514506773,0.48393499361302944,0.22482961632548604,15.137640905157507,8.84737023864933,17.219808801872187,0.12091701601752397,0.28070273369461907,-6.36950746601965,-0.19365237597661408
FTV,dino_vitb16_imagenet1k,LOCAL,delta,T1-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.4782252470578584,0.5160805166452475,0.22967337082189646,14.508953399529412,8.785716440978252,16.60517378340784,0.1292343507839141,0.34289970000832837,-5.856839312513823,-0.20577194989413897
FTV,dino_vitb16_imagenet1k,LOCAL,delta,T2-T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.2876880191148026,0.404342943108344,0.15218503257065052,25.21953312112468,11.725114262773317,27.537956917151757,0.08419011631843566,0.2064322404958839,-4.142865248534132,0.15224418158883296
FTV,dino_vitb16_imagenet1k,LOCAL,delta,T2-T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.2932480840862849,0.43556928479975926,-0.5672525882825087,22.637927392648272,11.660342111251941,22.944585785259125,-0.1325547189336054,0.38152561929914824,-3.610594491930102,0.21851090230955253
