seed_base,fold,model,task,cell,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
2026,1,G1,static,T3,67,67,1,0.3623194189480406,0.30750354990175716,0.001334724440742896,1.3476438668183255,2.686572383458458,2.8105271318345517,0.04410373661654826,7.227317649068884,0.2788013472097003,0.038576047262239684
2026,1,G1,change,T0→T1,67,67,1,0.552278713384947,0.45990487123032325,0.20890692084016071,0.5202336775010147,0.6738159546556665,0.7578399042023658,0.11087295493516588,0.5739248044373187,0.11628868492061627,0.20262007151725528
2026,1,G1,change,T1→T2,67,67,1,0.40083007422779154,0.37302143915541364,0.05609300762364933,0.8429130771679333,1.082372776060553,1.1444860965527222,0.0542717999626724,1.2411507021551127,0.09475884391744012,0.07634757306498115
2026,1,G1,change,T2→T3,67,67,1,0.36207997445925455,0.3212070066752686,0.08428656721544692,0.8038069859370401,1.071744715337944,1.1293918526804367,0.0510426360927575,1.2543626572802054,0.12083530954238027,0.09633203670490607
2026,2,G1,static,T0,83,83,1,0.5922925150077663,0.43481718255901797,0.036785863163547705,19.089405992503828,40.89758117223303,44.382000757426226,0.07850974552133419,1736.4904456581796,92.35066410655335,0.05318236235474927
2026,2,G1,static,T1,83,83,1,0.643885647118089,0.25834588065805586,-0.06364221143090232,18.157489441555366,51.88019175754791,53.08702422778185,0.022733096981585446,2530.5072212008527,20.01713249178513,0.00791032419274662
2026,2,G1,static,T2,83,83,1,0.6333907056798622,0.14203303309081905,-0.06749873385086413,13.976349317879833,48.532378362121996,48.971605967989944,0.008969025973031139,2206.4585884681987,5.516964983485945,0.0025003709620111275
2026,2,G1,static,T3,83,83,1,0.48196969060912637,0.5065511090846313,-0.04002345218830583,6.013743559707461,21.596093272179385,21.92283072852445,0.014903981168815786,448.44300735655645,0.3762973761002394,0.0008391197318883509
2026,2,G1,change,T0→T1,83,83,1,0.31730405944334833,0.32699968429401055,-0.025801062710581135,0.5811632288713203,0.7461486292253032,0.7601236907867567,0.018385246678719793,0.542734646251655,0.2561917094148751,0.47203861257842794
2026,2,G1,change,T1→T2,83,83,1,0.34100163721086435,0.40776760367966763,0.1332092870334579,0.8763705849635425,1.1335794784813746,1.2184404171729222,0.06964717970243103,1.482482927898774,0.07773233429143071,0.05243388158378738
2026,2,G1,change,T2→T3,83,83,1,0.29797237731413456,0.38612916745041537,0.10361874588386377,0.9320809985027447,1.2565206332015875,1.3446595880675725,0.06554741114266,1.76135332417021,0.09546015878663355,0.05419705261668935
2026,3,G1,static,T0,72,72,1,0.5612579587111712,0.2196360070121561,-0.005721754703402304,20.05900456857361,50.643930246729035,52.16050104449419,0.029075081093862247,2550.2159606679124,292.02720702693045,0.1145107753738814
2026,3,G1,static,T1,72,72,1,0.5397131648337514,0.6244975346158156,-0.0010530292456611967,9.167880396900456,19.299520017924188,19.8148258172942,0.02600607263073983,372.07966215629017,578.7961392521793,1.5555704815950377
2026,3,G1,static,T2,72,72,1,0.46839025017686037,0.84934639997578,0.3414737577329672,3.802863237228264,9.910999256346372,12.59717156234494,0.21323614532868534,149.16323747576163,11.321971224999288,0.07590322801111808
2026,3,G1,static,T3,72,72,1,0.2278603125602933,0.5978130527797183,0.11439801489947254,3.16181369620578,12.488148525695454,13.553456916138419,0.07860049262963144,176.09925928759827,3.250339251309972,0.018457427160449593
2026,3,G1,change,T0→T1,72,72,1,0.31056659592256747,0.311995925998564,0.034633857892011566,0.6202271616955476,0.8041671949278756,0.836179605912315,0.03828413268882852,0.6698856000750728,0.023295388047270087,0.03477517361868865
2026,3,G1,change,T1→T2,72,72,1,0.16753488970351793,0.08393770088522369,-0.05548235002582658,0.8112360270931086,0.9938623447321518,0.9799155510350991,-0.014232648601525469,0.9358397705582865,0.07343711976330454,0.07847189452046341
2026,3,G1,change,T2→T3,72,72,1,0.09312495980448905,0.1168094878626152,0.007752307284213833,0.8804142757191661,1.1865103754903066,1.1921362013885097,0.004719113379537184,1.4188058903850658,0.05314389997824323,0.03745677991498887
