kind,seed_base,model,fold,cells,test_once,source_feature_sha256,source_checkpoint_sha256
pcr_selection,4026,G1,3,3,True,af866e63f0c05a2a06a2f9c1ab09bdd12b63af615ca88d5420cc3d420423ad0a,7c8e0458a99f21889058e52b6aa4b7ddb7a8d240a67108e1ea11e62e42c3c185
probe_selection,4026,G1,4,7,True,7c4d23e324a2268580ad8fcb0d482e8041e30d158f5f25927dba6c9e0ba5e903,8896b541587f919250e2ae9f93bc0271d319a58b983494b6987f68fcc0e7daaf
pcr_selection,4026,G1,4,3,True,7c4d23e324a2268580ad8fcb0d482e8041e30d158f5f25927dba6c9e0ba5e903,8896b541587f919250e2ae9f93bc0271d319a58b983494b6987f68fcc0e7daaf
probe_selection,4026,G3,0,7,True,848d5bee83fa55fb28a40a2fbeb7e165428222d9bf634b844a1515458379c979,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b
pcr_selection,4026,G3,0,3,True,848d5bee83fa55fb28a40a2fbeb7e165428222d9bf634b844a1515458379c979,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b
probe_selection,4026,G3,1,7,True,6ef41754190e8052ca5ce7b06b7795276192d5adade99813a70d50695c17f225,e35e63f5256316a330433b134861876d882ba8b2406932173d11ba78cbec3d44
pcr_selection,4026,G3,1,3,True,6ef41754190e8052ca5ce7b06b7795276192d5adade99813a70d50695c17f225,e35e63f5256316a330433b134861876d882ba8b2406932173d11ba78cbec3d44
probe_selection,4026,G3,2,7,True,fe3d1634e5734e0abedf80e4caf02e535b4f8df3d23e88b5c21874fb0ee39250,9ded31108df3f3fa9df2ac2e68915cb543f39fc931b3631902adae16b6cad3f5
pcr_selection,4026,G3,2,3,True,fe3d1634e5734e0abedf80e4caf02e535b4f8df3d23e88b5c21874fb0ee39250,9ded31108df3f3fa9df2ac2e68915cb543f39fc931b3631902adae16b6cad3f5
probe_selection,4026,G3,3,7,True,da5e7d82d3a225f5597a2ac5f9e7c87ac73398118cddac3203cceb9ffb01a7af,472d2bf1bbc7db114aa4a2a1524de4abc7782161d539280614681a18d25e2aed
pcr_selection,4026,G3,3,3,True,da5e7d82d3a225f5597a2ac5f9e7c87ac73398118cddac3203cceb9ffb01a7af,472d2bf1bbc7db114aa4a2a1524de4abc7782161d539280614681a18d25e2aed
probe_selection,4026,G3,4,7,True,7b9576db8c1f81bde654ceb560e79bd49b725212c6de0b7b345d09829aa4bf2c,30be1dbf094ad9f5b94d3892160362ec6ba9f54618d617559374be12d34862b9
