protocol,population,scenario,view,timing,timing_label,model_type,model,fold,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+FULL,0,69,20,49,0.6775510204081633,0.49295150819572225,0.6923469387755102,0.1885826633820238
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+FULL,1,67,20,47,0.8627659574468085,0.6843626995281408,0.7686170212765957,0.16767548886326442
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+FULL,2,83,24,59,0.7725988700564972,0.5941150487381051,0.743997175141243,0.1684654446780558
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+FULL,3,72,23,49,0.74622892635315,0.6232544463898368,0.6947648624667258,0.19369120669214732
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+FULL,4,84,23,61,0.8610121168923734,0.6457003304712633,0.8089807555238774,0.1361447357897402
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+N,0,69,20,49,0.6744897959183673,0.4963078776127632,0.5637755102040816,0.1981616962314997
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+N,1,67,20,47,0.826595744680851,0.6785414049457339,0.6861702127659575,0.15868776228236076
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+N,2,83,24,59,0.7104519774011299,0.49794627429782634,0.7100988700564972,0.1827109925902891
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+N,3,72,23,49,0.7568766637089618,0.683379340969752,0.7240461401952085,0.17368700523249853
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,C+N,4,84,23,61,0.7911617961511048,0.5348934763824179,0.7084818246614397,0.1678403294195983
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,F,0,69,20,49,0.6132653061224489,0.38324119533024253,0.5071428571428571,0.19939759925813527
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,F,1,67,20,47,0.7734042553191489,0.5803432569203895,0.6898936170212766,0.177358574814664
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,F,2,83,24,59,0.739406779661017,0.5820725549542376,0.6970338983050848,0.1836047383047969
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,F,3,72,23,49,0.5891748003549245,0.3813481747811922,0.5847382431233363,0.21909517201891643
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,F,4,84,23,61,0.7847469707769066,0.5122375157938258,0.6642908054169636,0.17150884204560718
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,FULL,0,69,20,49,0.5959183673469388,0.4081089881427537,0.6051020408163266,0.2099547911158339
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,FULL,1,67,20,47,0.823404255319149,0.5845255824941996,0.7478723404255319,0.17793585993753946
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,FULL,2,83,24,59,0.7330508474576272,0.5242884176947672,0.6490112994350282,0.18081991025035773
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,FULL,3,72,23,49,0.7054125998225378,0.4913945945966077,0.6921029281277729,0.21880088307670192
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,FULL,4,84,23,61,0.7719173200285103,0.6348750570274837,0.6870990734141126,0.1746067442362144
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,N,0,69,20,49,0.5653061224489796,0.39153597959314673,0.5948979591836734,0.2133589390113217
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,N,1,67,20,47,0.7180851063829787,0.5236300196658646,0.601063829787234,0.2056581514818378
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,N,2,83,24,59,0.7005649717514124,0.4499204266074823,0.5702683615819208,0.19243304916777218
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,N,3,72,23,49,0.6921029281277729,0.5003260149966314,0.6730257320319433,0.21891817793665702
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T1,T1,logistic,N,4,84,23,61,0.6892373485388453,0.4931616315878221,0.6432644333570919,0.19644853888863886
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C,0,69,20,49,0.6724489795918368,0.5103028691021548,0.5438775510204081,0.1906445230215775
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C,1,67,20,47,0.7574468085106383,0.537995652556363,0.5898936170212765,0.19814563353685835
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C,2,83,24,59,0.6483050847457626,0.48743554652994403,0.6345338983050848,0.1921075681020469
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C,3,72,23,49,0.7400177462289264,0.6132980714082653,0.7138420585625554,0.18563086424984737
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C,4,84,23,61,0.7997148966500357,0.5624589646442884,0.7736992159657876,0.16263980352194368
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+F,0,69,20,49,0.733673469387755,0.5517646359748062,0.6627551020408163,0.18320732497703582
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+F,1,67,20,47,0.8372340425531914,0.707761664983576,0.7718085106382979,0.14640761542050354
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+F,2,83,24,59,0.8029661016949152,0.622695444171,0.7115112994350282,0.16083936362773651
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+F,3,72,23,49,0.6965394853593612,0.5808423986737451,0.6051464063886424,0.21470572474219424
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+F,4,84,23,61,0.8674269422665716,0.6869735581726346,0.7875980042765502,0.13531206124934891
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+FULL,0,69,20,49,0.7357142857142858,0.521318140943852,0.6923469387755102,0.19218743459593035
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+FULL,1,67,20,47,0.8531914893617022,0.6637413158736689,0.8292553191489361,0.15068261367078775
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+FULL,2,83,24,59,0.8333333333333333,0.7629528691939353,0.7263418079096045,0.1396869870098247
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+FULL,3,72,23,49,0.7985803016858918,0.7019603930864113,0.6845607808340728,0.17436588065294645
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+FULL,4,84,23,61,0.902352102637206,0.7927759648449255,0.8335709194583036,0.14645378417677907
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+N,0,69,20,49,0.7204081632653061,0.5468250918028082,0.6433673469387755,0.18395052204501108
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+N,1,67,20,47,0.8287234042553191,0.6820385451803938,0.7367021276595744,0.14963162704160143
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+N,2,83,24,59,0.8241525423728814,0.7456882459873385,0.7447033898305084,0.1947122441470361
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+N,3,72,23,49,0.7799467613132209,0.7138550962003943,0.6907719609582963,0.1770950428386628
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,C+N,4,84,23,61,0.827512473271561,0.6786888585034364,0.7198859586600143,0.18892696702895778
