protocol,population,view,timing,timing_label,feature_set,model_type,target,n,n_positive,auroc,auprc,balanced_accuracy,brier
locked_mri_manifest_375,mri_matched_375,static,T0,T0,N,logistic,HER2,375,88.0,0.4797671840354767,0.24460543758725128,0.49018055115616094,0.18098480719092427
locked_mri_manifest_375,mri_matched_375,static,T0,T0,N,logistic,HR,375,217.0,0.4705710785743452,0.5592055540608858,0.48080849326255615,0.24722061092241712
locked_mri_manifest_375,mri_matched_375,static,T0,T0,N,logistic,subtype,375,,0.47896448281298215,0.25966451745637215,0.2482950642723972,0.6776027990337699
locked_mri_manifest_375,mri_matched_375,static,T1,T1,FULL,logistic,HER2,375,88.0,0.6286822933164398,0.36142264209819797,0.5898004434589801,0.17412080097338756
locked_mri_manifest_375,mri_matched_375,static,T1,T1,FULL,logistic,HR,375,217.0,0.5546287114274049,0.6526298496682912,0.5270810243247973,0.24559319297648552
locked_mri_manifest_375,mri_matched_375,static,T1,T1,FULL,logistic,subtype,375,,0.5890743827770198,0.3059323719394559,0.2628478268462202,0.6719769834974197
locked_mri_manifest_375,mri_matched_375,static,T1,T1,N,logistic,HER2,375,88.0,0.5222917326575863,0.26661230461377994,0.5277557808045613,0.18305951959318084
locked_mri_manifest_375,mri_matched_375,static,T1,T1,N,logistic,HR,375,217.0,0.49670419413171557,0.5831493620840107,0.5135915534037216,0.24692669808408324
locked_mri_manifest_375,mri_matched_375,static,T1,T1,N,logistic,subtype,375,,0.5083272479899319,0.2559242662928649,0.26395839466195664,0.6802631754306471
locked_mri_manifest_375,mri_matched_375,static,T2,T2,FULL,logistic,HER2,375,88.0,0.5537694013303769,0.2879863163024473,0.5521460247070004,0.18024563779620587
locked_mri_manifest_375,mri_matched_375,static,T2,T2,FULL,logistic,HR,375,217.0,0.5049874584378464,0.5819536198924429,0.4972146065449455,0.24596144785229074
locked_mri_manifest_375,mri_matched_375,static,T2,T2,FULL,logistic,subtype,375,,0.543930596785688,0.29427532070874873,0.25169828313117754,0.6738857912445874
locked_mri_manifest_375,mri_matched_375,static,T2,T2,N,logistic,HER2,375,88.0,0.5562638580931265,0.29922578436076797,0.5391194171681977,0.17795624522527537
locked_mri_manifest_375,mri_matched_375,static,T2,T2,N,logistic,HR,375,217.0,0.4760251997900017,0.5543800129451628,0.468179431838068,0.2459408353201099
locked_mri_manifest_375,mri_matched_375,static,T2,T2,N,logistic,subtype,375,,0.515516311525869,0.26347143868552003,0.23860514179177705,0.6827316219006354
locked_mri_manifest_375,mri_matched_375,static,T3,T3 (late/pre-surgery),FULL,logistic,HER2,375,88.0,0.4874485270826734,0.23658836721203969,0.5243506493506493,0.18178271047837885
locked_mri_manifest_375,mri_matched_375,static,T3,T3 (late/pre-surgery),FULL,logistic,HR,375,217.0,0.5184040132998892,0.587180533112569,0.49460421163156976,0.24445457490817482
locked_mri_manifest_375,mri_matched_375,static,T3,T3 (late/pre-surgery),FULL,logistic,subtype,375,,0.5181120385180082,0.2738390893059419,0.2541826121087234,0.6799514923969034
locked_mri_manifest_375,mri_matched_375,static,T3,T3 (late/pre-surgery),N,logistic,HER2,375,88.0,0.49148717136522013,0.2293836745504071,0.5544425087108014,0.1820416275708886
locked_mri_manifest_375,mri_matched_375,static,T3,T3 (late/pre-surgery),N,logistic,HR,375,217.0,0.4812751560403664,0.560959156149131,0.4904917459021175,0.2464562465440618
locked_mri_manifest_375,mri_matched_375,static,T3,T3 (late/pre-surgery),N,logistic,subtype,375,,0.492024111197192,0.2558394475399838,0.25110391521931114,0.6786996017719293
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T0,T0,FULL,logistic,HER2,384,90.0,0.4872260015117158,0.23130454161221808,0.5252834467120182,0.18394589222232846
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T0,T0,FULL,logistic,HR,384,222.0,0.5724057390724058,0.6253301502078688,0.5146813480146814,0.24163035143851838
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T0,T0,FULL,logistic,subtype,384,,0.4815937637383023,0.2838534705498089,0.27397586980920313,0.6704366484888257
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T0,T0,FULL,rbf_svm,HER2,384,90.0,0.5058956916099773,0.2421109285755571,0.5049886621315193,0.18076222633727354
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T0,T0,FULL,rbf_svm,HR,384,222.0,0.5353965076187298,0.6055474721716525,0.535618952285619,0.24369594232652392
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T0,T0,FULL,rbf_svm,subtype,384,,0.511736254591716,0.26723132552485757,0.2556116722783389,0.6731997609713675
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T0,T0,N,logistic,HER2,384,90.0,0.4825774754346183,0.23486566512901255,0.5307256235827664,0.1832820059053303
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T0,T0,N,logistic,HR,384,222.0,0.48615281948615285,0.5742198639133356,0.49324324324324326,0.24548005896476346
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T0,T0,N,logistic,subtype,384,,0.4678874040750217,0.2604693689843023,0.2521324354657688,0.6765180824767715
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T0,T0,N,rbf_svm,HER2,384,90.0,0.5117913832199547,0.2327406459124417,0.4937641723356009,0.17991661768948575
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T0,T0,N,rbf_svm,HR,384,222.0,0.4769908797686575,0.5544710139423071,0.4665498832165499,0.24762779910618193
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T0,T0,N,rbf_svm,subtype,384,,0.48324258449023044,0.262992920827478,0.2588383838383838,0.6758416422026966
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T1,T1,FULL,logistic,HER2,384,90.0,0.5931594860166288,0.2900989409297125,0.5878684807256236,0.1803700953510418
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T1,T1,FULL,logistic,HR,384,222.0,0.5513847180513848,0.6236537566265156,0.5216883550216884,0.2423587044553873
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T1,T1,FULL,logistic,subtype,384,,0.5848174226823002,0.3134243292721639,0.2839225589225589,0.6674870436102696
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T1,T1,FULL,rbf_svm,HER2,384,90.0,0.6312169312169312,0.3077965204853757,0.5578231292517006,0.17839195290101204
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T1,T1,FULL,rbf_svm,HR,384,222.0,0.6015320876431988,0.6537160229387579,0.580663997330664,0.23784532427264873
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T1,T1,FULL,rbf_svm,subtype,384,,0.5892732092708552,0.3044765544080485,0.2722362514029181,0.6621868293068475
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T1,T1,N,logistic,HER2,384,90.0,0.562055933484505,0.32301415731444194,0.5306122448979592,0.17880869125324897
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T1,T1,N,logistic,HR,384,222.0,0.4959403848292737,0.5725395900068682,0.5092592592592593,0.24678232047028614
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T1,T1,N,logistic,subtype,384,,0.5405025216230489,0.2701698131514856,0.24671717171717172,0.6832867635063412
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T1,T1,N,rbf_svm,HER2,384,90.0,0.49637188208616784,0.23874348576012389,0.4883219954648526,0.180704654844428
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T1,T1,N,rbf_svm,HR,384,222.0,0.45509398287176067,0.5557823488670139,0.48023023023023026,0.24786862707349386
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T1,T1,N,rbf_svm,subtype,384,,0.5246534195157077,0.26933321042399977,0.2595398428731762,0.6724851759652366
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T2,T2,FULL,logistic,HER2,384,90.0,0.6208238851095994,0.32495627132712257,0.5833333333333333,0.17857258864220862
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T2,T2,FULL,logistic,HR,384,222.0,0.5858636414191969,0.6488279001194837,0.5590590590590591,0.241129908572568
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T2,T2,FULL,logistic,subtype,384,,0.5847827931632075,0.31157763824826856,0.27891414141414145,0.6754742085148787
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T2,T2,FULL,rbf_svm,HER2,384,90.0,0.6119425547996976,0.3021624915802894,0.5874149659863945,0.17728749423695497
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T2,T2,FULL,rbf_svm,HR,384,222.0,0.5490768546324102,0.6352945904323266,0.5259426092759426,0.24124595447355054
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T2,T2,FULL,rbf_svm,subtype,384,,0.6043190547133579,0.3173563812939306,0.26342592592592595,0.6604047225708873
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T2,T2,N,logistic,HER2,384,90.0,0.5885487528344671,0.342480338988549,0.5699546485260771,0.17901847164465887
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T2,T2,N,logistic,HR,384,222.0,0.5021966410855301,0.5787666504232623,0.4932432432432432,0.24444505736965585
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T2,T2,N,logistic,subtype,384,,0.5501233230870707,0.28402408072272967,0.2630050505050505,0.6999807434681135
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T2,T2,N,rbf_svm,HER2,384,90.0,0.5595616024187453,0.29181047676179006,0.5306122448979591,0.1784841875022735
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T2,T2,N,rbf_svm,HR,384,222.0,0.5381492603714826,0.6205296075694153,0.5155989322655989,0.24325177662603048
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T2,T2,N,rbf_svm,subtype,384,,0.5459534670104349,0.27878114986637076,0.2524551066217733,0.6723976251193676
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T3,T3 (late/pre-surgery),FULL,logistic,HER2,384,90.0,0.6425925925925926,0.3405539645524757,0.5809523809523809,0.18660106944867302
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T3,T3 (late/pre-surgery),FULL,logistic,HR,384,222.0,0.5702090979868758,0.6442812677424646,0.5644811478144811,0.24414816167941844
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T3,T3 (late/pre-surgery),FULL,logistic,subtype,384,,0.5873873432430401,0.3142417047680089,0.27495791245791246,0.6748196832592477
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T3,T3 (late/pre-surgery),FULL,rbf_svm,HER2,384,90.0,0.5873393801965231,0.2736344728362653,0.5671201814058957,0.1802923279027923
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T3,T3 (late/pre-surgery),FULL,rbf_svm,HR,384,222.0,0.49496718941163387,0.5853501061079868,0.5125959292625959,0.24526835650898882
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T3,T3 (late/pre-surgery),FULL,rbf_svm,subtype,384,,0.5704754346821201,0.2954287929573544,0.26283670033670037,0.6687567171115685
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T3,T3 (late/pre-surgery),N,logistic,HER2,384,90.0,0.6046485260770975,0.3742345099324457,0.5315192743764172,0.17409705407523454
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T3,T3 (late/pre-surgery),N,logistic,HR,384,222.0,0.49847069291513746,0.5647493854546384,0.4911578244911578,0.2463222522333918
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T3,T3 (late/pre-surgery),N,logistic,subtype,384,,0.5502929965912546,0.2808658324495521,0.26221941638608304,0.7004064963004399
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T3,T3 (late/pre-surgery),N,rbf_svm,HER2,384,90.0,0.491761148904006,0.24402558618469966,0.5089569160997732,0.1845995284234103
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T3,T3 (late/pre-surgery),N,rbf_svm,HR,384,222.0,0.4647564230897564,0.5575773948923705,0.48865532198865536,0.24594366173061857
primary_stratified_384,clinical_radiomics_complete_384,longitudinal,T3,T3 (late/pre-surgery),N,rbf_svm,subtype,384,,0.4930863850649633,0.26094483948407105,0.24859708193041527,0.6769839034248949
primary_stratified_384,clinical_radiomics_complete_384,static,T0,T0,FULL,logistic,HER2,384,90.0,0.4872260015117158,0.23130454161221808,0.5252834467120182,0.18394589222232846
primary_stratified_384,clinical_radiomics_complete_384,static,T0,T0,FULL,logistic,HR,384,222.0,0.5724057390724058,0.6253301502078688,0.5146813480146814,0.24163035143851838
primary_stratified_384,clinical_radiomics_complete_384,static,T0,T0,FULL,logistic,subtype,384,,0.4815937637383023,0.2838534705498089,0.27397586980920313,0.6704366484888257
primary_stratified_384,clinical_radiomics_complete_384,static,T0,T0,FULL,rbf_svm,HER2,384,90.0,0.5058956916099773,0.2421109285755571,0.5049886621315193,0.18076222633727354
primary_stratified_384,clinical_radiomics_complete_384,static,T0,T0,FULL,rbf_svm,HR,384,222.0,0.5353965076187298,0.6055474721716525,0.535618952285619,0.24369594232652392
