protocol,population,scenario,view,timing,timing_label,model_type,comparison,baseline_model,augmented_model,n,n_positive,n_bootstrap,bootstrap_seed,stratification,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,brier_improvement,brier_improvement_ci_low,brier_improvement_ci_high
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T2,T2,logistic,C+N_vs_C,C,C+N,384,113,2000,20360813,outer_fold+outcome,0.06276328250008179,0.005191359435718202,0.12141854161904451,0.041221899407768325,-0.044088838298197826,0.13005978597545892,0.006802721763258024,-0.009301463580911428,0.02239140459878162
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T3,T3 (late/pre-surgery),logistic,C+N_vs_C,C,C+N,384,113,2000,20360814,outer_fold+outcome,0.07680501583776911,0.026055579139862277,0.1268417529308037,0.07371127561592417,0.0006082854245998459,0.14643178578310212,0.016943130817242025,0.0022893788388916874,0.03131917033665015
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+N_vs_C,C,C+N,384,113,2000,20361811,outer_fold+outcome,-0.011592593802044249,-0.053424713450674385,0.028478594520458356,-0.022248955214747013,-0.07614632492594232,0.03132287787865148,-0.005615342688116809,-0.014218788190972945,0.002794022009594668
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+N_vs_C,C,C+N,384,113,2000,20361812,outer_fold+outcome,0.03017339907912364,-0.01691865591222281,0.07941824772230036,0.034537332670882104,-0.029938277496987194,0.10574380111545549,0.006832643973938235,-0.005848842338986758,0.020414248888698912
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,logistic,C+N_vs_C,C,C+N,384,113,2000,20361813,outer_fold+outcome,0.05339124187702049,-0.0064665447539430775,0.11423031708193189,0.03469404003502363,-0.04935248299698753,0.12780720367007586,0.007593407352152498,-0.009779321715294992,0.025689997960722143
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+N_vs_C,C,C+N,384,113,2000,20361814,outer_fold+outcome,0.05626489893217512,-0.005627306273062639,0.12454854194559647,0.02550297951960212,-0.05971929100849883,0.12089022223146297,0.004766484330645804,-0.01213749584145138,0.022171093451560778
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,logistic,C+F+N_res_vs_C+F,C+F,C+F+N_res,384,113,2000,20460811,outer_fold+outcome,0.012670215197727153,-0.014727492407667468,0.038638441694151454,0.005708155627337397,-0.0356491523651717,0.0482679251959927,0.0009199802664122125,-0.005967057582879591,0.007891824362415338
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,logistic,C+F+N_res_vs_C+F,C+F,C+F+N_res,384,113,2000,20460812,outer_fold+outcome,0.005584038141266401,-0.025635959899422106,0.03730529340691632,-0.005907245290977081,-0.06194514660272731,0.048946834725681405,-0.005174782709566311,-0.014121867212993865,0.004223662233702103
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T2,T2,logistic,C+F+N_res_vs_C+F,C+F,C+F+N_res,384,113,2000,20460813,outer_fold+outcome,0.05335858668321203,0.016877836919961996,0.08960830095026619,0.08997600868858768,0.03841915899514756,0.1481373902663292,0.022528341435867266,0.010851981770672314,0.03384278234841831
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T3,T3 (late/pre-surgery),logistic,C+F+N_res_vs_C+F,C+F,C+F+N_res,384,113,2000,20460814,outer_fold+outcome,0.011690559383469967,-0.03958952421382616,0.0633682199653855,-0.021882137756473297,-0.10119474805140491,0.05646411843347512,-0.011129497858546361,-0.027122642891135997,0.0039444021172947465
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F+N_res_vs_C+F,C+F,C+F+N_res,384,113,2000,20461811,outer_fold+outcome,0.012670215197727153,-0.013652320151520087,0.04039692388074324,0.005708155627337397,-0.03441649893108678,0.0490834508730749,0.0009199802664122125,-0.005647136325795766,0.00789953839611311
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,logistic,C+F+N_res_vs_C+F,C+F,C+F+N_res,384,113,2000,20461812,outer_fold+outcome,0.06573490513666191,0.02588332299252207,0.10688534761453806,0.09111720732095974,0.029297402830687286,0.15244547943515385,0.028117755374705372,0.013774931763039995,0.042591046029194356
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,logistic,C+F+N_res_vs_C+F,C+F,C+F+N_res,384,113,2000,20461813,outer_fold+outcome,0.040590405904058935,-0.0018948176207423297,0.08190820625020401,0.042543232915824736,-0.03437476040059288,0.1211282239820045,0.017460296380867657,0.0003865425602140607,0.033151531279001244
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+F+N_res_vs_C+F,C+F,C+F+N_res,384,113,2000,20461814,outer_fold+outcome,0.027789569931097602,-0.03125346961434229,0.08385037390196891,0.0627580312462166,-0.02367289581974402,0.14552493948547623,0.011730834928061457,-0.008077044238949236,0.030690374919116685
