protocol,population,scenario,view,timing,timing_label,model_type,model,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,rbf_svm,C,384,113,271,0.7080625673513372,0.5262909378074971,0.6263919276360905,0.18321838917943892
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,rbf_svm,C+F,384,113,271,0.7866636188485778,0.6227148436750497,0.7082258433203801,0.16078669946226729
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,rbf_svm,C+FULL,384,113,271,0.7802632008620971,0.5981528852229933,0.6997518205270549,0.1659073158815729
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,rbf_svm,C+N,384,113,271,0.7263984586748523,0.5312672232545798,0.6462462854717044,0.18010632645927185
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,rbf_svm,F,384,113,271,0.5746334454494988,0.37101954805593845,0.6111746073212945,0.20627180144910398
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,rbf_svm,FULL,384,113,271,0.6718153022238187,0.4428382039295329,0.6325964144597198,0.19625116740264995
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T1,T1,rbf_svm,N,384,113,271,0.6317473794206969,0.40530218001981255,0.5916468014237665,0.20214036927922852
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,logistic,C,384,113,271,0.7019887013029422,0.537629741038823,0.6510139437677562,0.18366981207093533
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,logistic,C+F,384,113,271,0.7702707115566731,0.6036662256541608,0.7226104561930575,0.17130928539892268
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,logistic,C+FULL,384,113,271,0.8088038402507919,0.6431429771872803,0.7144956405316265,0.15493606307689992
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,logistic,C+N,384,113,271,0.7553799431799627,0.5723237810738466,0.7126669496783464,0.17607640471878283
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,logistic,F,384,113,271,0.6534630833033994,0.4033351233305881,0.649577115240179,0.1993717908993681
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,logistic,FULL,384,113,271,0.7387584495313979,0.5300245406372837,0.6591777422199001,0.18435552636035424
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,logistic,N,384,113,271,0.702315253241028,0.5204148603433539,0.6938249028507985,0.18968692671321705
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,rbf_svm,C,384,113,271,0.7080625673513372,0.5262909378074971,0.6263919276360905,0.18321838917943892
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,rbf_svm,C+F,384,113,271,0.8069751493975116,0.6576593083354751,0.7370113966626393,0.1515365879413687
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,rbf_svm,C+FULL,384,113,271,0.7570290304672957,0.5660833199331196,0.6772523919929465,0.1727615195335778
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,rbf_svm,C+N,384,113,271,0.7854227214838521,0.6197714740264852,0.7174346079743983,0.16234810657622892
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,rbf_svm,F,384,113,271,0.6229631322861902,0.40047088516058993,0.619322078176534,0.20354073941024256
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,rbf_svm,FULL,384,113,271,0.7249453025503706,0.4763393461139702,0.6577082584985141,0.18813224925661556
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,rbf_svm,N,384,113,271,0.7107566208405447,0.48966242196303694,0.6495607876432746,0.1864444330536185
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C,384,113,271,0.7019887013029422,0.537629741038823,0.6510139437677562,0.18366981207093533
