protocol,population,scenario,view,timing,timing_label,model,logistic_auroc,svm_auroc,logistic_auprc,svm_auprc,logistic_balanced_accuracy,svm_balanced_accuracy,logistic_brier,svm_brier,delta_svm_minus_lr,delta_svm_minus_lr_auprc,delta_svm_minus_lr_balanced_accuracy,delta_svm_minus_lr_brier
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,C+FULL,0.7024132188224538,0.7320314796068315,0.5402656797391855,0.5384927683785099,0.6857264147862717,0.6528916174117494,0.1822069393401825,0.17885084398728632,0.02961826078437768,-0.0017729113606755886,-0.03283479737452233,-0.003356095352896188
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,C+N,0.690396107500898,0.7333703425529832,0.515380785824076,0.5642646372945813,0.6776115991248408,0.6739378898213761,0.18928515475905214,0.17624379282662309,0.0429742350520852,0.048883851470505335,-0.0036737093034646673,-0.013041361932429052
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,F,0.47301048231721254,0.4644548215393658,0.2751905489048604,0.2794871665333931,0.4657610292917088,0.46073212944518827,0.2077187639709939,0.20859357241764345,-0.008555660777846752,0.0042966176285327284,-0.0050288998465205514,0.0008748084466495554
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,FULL,0.6029781536753421,0.4640629592136629,0.38159308091399924,0.2829713608719764,0.5459458576886653,0.5042451751951148,0.20392576492858305,0.20865971962760232,-0.13891519446167921,-0.09862172004202285,-0.04170068249355052,0.004733954699019272
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,N,0.6065049146066681,0.5118375077556085,0.38754465702467034,0.3021546020949326,0.5868628155308102,0.5064983835679064,0.20338862595207527,0.20822432939683974,-0.09466740685105957,-0.08539005492973772,-0.08036443196290377,0.004835703444764472
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,C,0.7019887013029422,0.7080625673513372,0.537629741038823,0.5262909378074971,0.6510139437677562,0.6263919276360905,0.18366981207093533,0.18321838917943892,0.0060738660483949936,-0.011338803231325856,-0.024622016131665703,-0.00045142289149641135
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,C+F,0.7535512523266825,0.759821049537929,0.6004873311506266,0.5788503024392069,0.6979068020768704,0.6919962119975183,0.16969961162861769,0.1698798694087961,0.006269797211246431,-0.021637028711419704,-0.005910590079352129,0.0001802577801784111
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,C+FULL,0.7570127028703915,0.7726055579139863,0.5946899233112811,0.6241949672465016,0.6960781112235901,0.6809424288933155,0.17221612646112147,0.1646057199979598,0.015592855043594867,0.029505043935220465,-0.015135682330274625,-0.007610406463161662
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,C+N,0.7384972079809294,0.7572739444208602,0.5774456992644342,0.5857263923076378,0.6617901577245862,0.6610390882669889,0.17864596650748665,0.17030699910051258,0.01877673643993072,0.008280693043203557,-0.0007510694575972865,-0.008338967406974068
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,F,0.538598439081736,0.5736701172321458,0.3367042386385214,0.36097865918121386,0.5886751787871861,0.5473826862162428,0.20761911060237448,0.2107031639821487,0.03507167815040979,0.024274420542692465,-0.04129249257094336,0.0030840533797742153
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,FULL,0.6799137902883454,0.6543121183424224,0.4516372719034284,0.4220845974812278,0.6602880188093916,0.6164157659275709,0.19362684726099536,0.19945083168677577,-0.025601671945923,-0.02955267442220061,-0.04387225288182073,0.005823984425780415
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T1,T1,N,0.6340658981811057,0.6047741893348137,0.41383244289990134,0.41275629823499527,0.6204650099598341,0.6115664696469973,0.20158563434716892,0.20211129010721254,-0.029291708846291953,-0.0010761446649060757,-0.008898540312836767,0.0005256557600436251
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T2,T2,C,0.7019887013029422,0.7080625673513372,0.537629741038823,0.5262909378074971,0.6510139437677562,0.6263919276360905,0.18366981207093533,0.18321838917943892,0.0060738660483949936,-0.011338803231325856,-0.024622016131665703,-0.00045142289149641135
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T2,T2,C+F,0.7319335140254057,0.7899781210201483,0.5489061980458745,0.6172297036340485,0.6979068020768704,0.7314763413120857,0.18361058025869528,0.1615772415117108,0.058044606994742565,0.06832350558817402,0.03356953923521533,-0.022033338746984488
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T2,T2,C+FULL,0.7920517258269928,0.8012931456748196,0.6448904106252581,0.6861203668242718,0.7211409724716716,0.702315253241028,0.1606117474393948,0.1535192613184376,0.009241419847826782,0.041229956199013706,-0.01882571923064369,-0.007092486120957198
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T2,T2,C+N,0.764751983803024,0.7860268425693107,0.5788516404465913,0.665779392190115,0.7093361199098717,0.7038173921562225,0.1768670903076773,0.15763169612163822,0.021274858766286653,0.08692775174352363,-0.005518727753649144,-0.01923539418603909
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T2,T2,F,0.5578976586226039,0.5758580152173203,0.36445617576983474,0.36689075954047723,0.6381314698102734,0.5971818567743199,0.20757176849592632,0.20522321691123238,0.017960356594716398,0.0024345837706424844,-0.04094961303595346,-0.0023485515846939364
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T2,T2,FULL,0.7185448845638899,0.6907716422296966,0.5457403243173378,0.5378929239971235,0.6540018940012409,0.6495934428370833,0.18829378126857632,0.18126201998517688,-0.027773242334193315,-0.007847400320214248,-0.004408451164157556,-0.00703176128339944
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T2,T2,N,0.692094177578944,0.7100545341736604,0.5034343074668951,0.5491597614732994,0.6724684060999901,0.6506873918296705,0.19488150218201597,0.1760733110382041,0.017960356594716398,0.045725454006404265,-0.021781014270319643,-0.01880819114381188
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T3,T3 (late/pre-surgery),C,0.7019887013029422,0.7080625673513372,0.537629741038823,0.5262909378074971,0.6510139437677562,0.6263919276360905,0.18366981207093533,0.18321838917943892,0.0060738660483949936,-0.011338803231325856,-0.024622016131665703,-0.00045142289149641135
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T3,T3 (late/pre-surgery),C+F,0.7456813506188159,0.741142278679424,0.58109133965412,0.5537636917573837,0.6860856219181661,0.6573327237697155,0.17481517839276603,0.17552564185285868,-0.004539071939391959,-0.02732764789673625,-0.028752898148450612,0.0007104634600926529
