stage,analysis_role,seed_base,arm,pooling,endpoint,analysis_scope,availability,status_reason,feature_dim,aggregation,n_test,spearman,pearson,natural_r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias,transformed_scale,transformed_fold_count,transformed_spearman_fold_mean,transformed_spearman_fold_sd,transformed_r2_fold_mean,transformed_r2_fold_sd,transformed_rmse_fold_mean,transformed_mae_fold_mean
final,primary,2026,N1,P0,T1→T2,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.15680031858004326,0.1463380668618917,-0.10189117630738687,18.047995148731157,10.300866597642452,17.219808801872187,-0.04809497924093836,0.24640920573063174,0.07264166301130018,-8.43789417321964,-0.475635766201056,standardized_outer_train,5.0,0.17345773044459253,0.06128987064866461,-0.11786971967025721,0.292032531786973,0.9625033459679846,0.5650851824402792
final,primary,2026,N1,P0,T2→T3,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.036668562976447834,-0.03337192427540009,-0.059903668744030414,28.1980905239891,10.061335263630141,27.537956917151757,-0.023971771356290666,0.04538658911035999,-0.0071095976302334935,-5.923611111069577,-0.4727269513451882,standardized_outer_train,5.0,0.04531505851358734,0.1791221997300881,-0.646706688100427,1.1430668695051078,0.9072381628328202,0.3566933675925442
final,primary,2026,N1,P0,macro,primary_measurement_valid,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,1125.0,0.07448886866158456,0.030019543006861937,-0.061008050869502485,23.94827320970693,11.40825063547431,23.41187663584034,-0.025603619906380132,0.10243016886075962,0.020893529832204633,-8.521144022847546,-0.36361959309834796,standardized_outer_train,5.0,0.08406359844758167,0.104052445876268,-0.2707071404981048,0.3714407103916259,0.939041250484489,0.4814172147592502
final,primary,2026,N1,PLOCAL,T0→T1,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.31908089657526456,0.12431598649755149,-0.015810867289555164,25.530732732215156,13.654072670696628,25.477864188497076,-0.002075077538954381,0.0906573150600377,0.0374307394684805,-10.71340849919246,-0.09820943088356944,standardized_outer_train,5.0,0.34106840820541184,0.12575434668729357,-0.1009812601951181,0.2487851617676917,0.9522995581853884,0.5141881070759473
final,primary,2026,N1,PLOCAL,T1→T2,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.3317799522129935,0.29009998251068025,0.08390692201882755,16.456194573665606,9.39135916040449,17.219808801872187,0.04434510493075619,0.07754412220903183,0.08078340315587862,-8.07734144916081,-0.18498766943487835,standardized_outer_train,5.0,0.3344656193191836,0.07280437591390355,0.05688308586261838,0.08849583395108356,0.8819457192729601,0.5130467384065023
final,primary,2026,N1,PLOCAL,T2→T3,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.15191762430310618,0.09804449601434849,-0.012257014482679462,27.556997711436917,10.074943322710581,27.537956917151757,-0.0006914381608790056,0.059887524170636065,0.02399337810539056,-5.7995080927580265,-0.5169658077973522,standardized_outer_train,5.0,0.16510927763401212,0.11739404702906792,-0.4245930127665202,0.6743256223043892,0.8821415622767093,0.3546357544893143
final,primary,2026,N1,PLOCAL,macro,primary_measurement_valid,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,1125.0,0.2675928243637881,0.17082015500752676,0.018613013415530972,23.181308339105893,11.040125051270566,23.41187663584034,0.013859529743640934,0.07602965381323519,0.04740250690991656,-8.196752680370432,-0.26672096937193335,standardized_outer_train,5.0,0.2802144350528692,0.03711515926348303,-0.15623039569967323,0.19925672469001612,0.905462279911686,0.4606235333239213
final,primary,2026,N1,PLOCAL+GLOBAL,T0→T1,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.3007143019683695,0.09976563754123771,-0.031861414525667264,25.731644237671514,13.767341189347654,25.477864188497076,-0.009960805477918205,0.09253785907327441,0.0303487428637328,-10.809495410638155,-0.11619619219671616,standardized_outer_train,5.0,0.3182252764157053,0.15711810881686106,-0.13916573448942487,0.3308466147715023,0.9619054360153291,0.5192560802001311
final,primary,2026,N1,PLOCAL+GLOBAL,T1→T2,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.3675191716918877,0.3234640026050147,0.1043801765507617,16.271270375114227,9.34793453579874,17.219808801872187,0.055084143945595486,0.10183341681338662,0.10322172539904524,-7.960368021750162,-0.260668702327229,standardized_outer_train,5.0,0.3803687764797217,0.0795334995825236,0.09138292017543244,0.08794341162508407,0.8689017475724835,0.5091827578367326
final,primary,2026,N1,PLOCAL+GLOBAL,T2→T3,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.14934577312549777,0.08216424668077174,-0.0313162379724925,27.815215599522045,10.410310203354337,27.537956917151757,-0.01006823720454004,0.076630290142869,0.022744851869939076,-5.6523047408464535,-0.3630049273150698,standardized_outer_train,5.0,0.15639433257379104,0.1206596250899713,-0.6570853685662399,1.1421576808286689,0.8985856271475849,0.36521844244984236
final,primary,2026,N1,PLOCAL+GLOBAL,macro,primary_measurement_valid,AVAILABLE,,384.0,mean_of_pooled_endpoint_metrics,1125.0,0.27252641559525165,0.16846462894234138,0.013734174684200648,23.272710070769264,11.175195309500245,23.41187663584034,0.011685033754379083,0.09033385534317667,0.05210510671090571,-8.14072272441159,-0.24662327394633832,standardized_outer_train,5.0,0.2849961284897394,0.05768141671894307,-0.23495606096007746,0.3442763158876475,0.9097976035784658,0.46455242682890197
final,secondary_sensitivity,2026,N1,PLOCAL+PVALID_SECONDARY,T0→T1,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.29608101035385137,0.12598654943335785,-0.03434447574431121,25.762585823022444,14.152803032374377,25.477864188497076,-0.011175255210517866,0.12255048920878413,0.04410437845296811,-10.583559306149738,-0.041957026389072324,standardized_outer_train,5.0,0.31778922782117786,0.1668553293528667,-0.1689961692539458,0.4122183464041584,0.9652804371529624,0.5339949233711806
final,secondary_sensitivity,2026,N1,PLOCAL+PVALID_SECONDARY,T1→T2,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.3628795084765048,0.32624984133023105,0.10615210226422556,16.255166579708252,9.34595509621515,17.219808801872187,0.0560193340856988,0.09966474129908666,0.1029961713351031,-7.92940620341085,-0.22777028659052873,standardized_outer_train,5.0,0.37590565602487575,0.09845571015338717,0.09359665262067524,0.1045967012711612,0.8677967326178433,0.5090350182402156
final,secondary_sensitivity,2026,N1,PLOCAL+PVALID_SECONDARY,T2→T3,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.1387538969166003,0.08432473527804021,-0.03579408005129481,27.875535234585232,10.587088053070534,27.537956917151757,-0.012258655151835836,0.08469388665306686,0.02454036501448329,-5.647993887777273,-0.36841211703011256,standardized_outer_train,5.0,0.1529567133368977,0.1367982075060937,-0.7161835099326403,1.232341591536114,0.9034149452194841,0.371537565376111
final,secondary_sensitivity,2026,N1,PLOCAL+PVALID_SECONDARY,macro,primary_measurement_valid,AVAILABLE,,384.0,mean_of_pooled_endpoint_metrics,1125.0,0.2659048052489855,0.17885370868054304,0.012004515489539846,23.297762545771974,11.36194872722002,23.41187663584034,0.0108618079077817,0.10230303905364589,0.05721363826751816,-8.053653132445953,-0.2127131433365712,standardized_outer_train,5.0,0.28221719906098375,0.06612134182341937,-0.2638610088553036,0.36949841370798137,0.9121640383300967,0.471522502329169
final,primary,2026,N1,PORACLE,T0→T1,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.3005475025600182,0.281291368316916,0.07750039459341829,24.329878853424304,13.315137753940256,25.477864188497076,0.045058146419944885,0.05828994848968192,0.0679130509672448,-10.43051827930092,-0.1514776755194639,standardized_outer_train,5.0,0.31269641365156964,0.16422538802928158,0.044266332860195656,0.09122024887412951,0.9004159087000684,0.5007090212610772
final,primary,2026,N1,PORACLE,T1→T2,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.41288337694845834,0.3351885415790827,0.10814251901917238,16.23705802464743,9.308164518693221,17.219808801872187,0.05707094593976625,0.1557576330273451,0.13228598433965644,-7.8957956991736244,-0.44564084477928245,standardized_outer_train,5.0,0.4400648129926067,0.15468933289535433,0.09883702810679096,0.12992423901244768,0.8671610856495278,0.5111480579823875
final,primary,2026,N1,PORACLE,T2→T3,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.2487939469791785,0.13183558792197336,-0.03172896757492549,27.820780824863014,10.998264636625938,27.537956917151757,-0.010270330096097418,0.12265559145493173,0.04617175003221211,-6.193489225097713,-1.0309852522620062,standardized_outer_train,5.0,0.25590476583748456,0.05737109804715121,-0.9580692514687256,1.4935096207360472,0.9154000923048246,0.3852542188678398
