seed,arm,fold,epoch,train_state_loss,val_state_loss
3026,L1,1,2,0.2515869262628257,0.1197857325973589
3026,L1,1,3,0.1537434206809848,0.1017396406940192
3026,L1,1,4,0.1587230070028454,0.1471187726032635
3026,L1,1,5,0.216565328836441,0.219462276982867
3026,L1,1,6,0.2978401355445385,0.29741260187685
3026,L1,1,7,0.3763320580124855,0.3630501123006678
3026,L1,2,1,0.8984432430937886,0.2941113235044085
3026,L1,2,2,0.2388556098565459,0.1220262136217976
3026,L1,2,3,0.1556060367729514,0.1198929551958052
3026,L1,2,4,0.1556592590175569,0.1658364920453592
3026,L1,2,5,0.2056078321766108,0.2395597085479862
3026,L1,2,6,0.2708581540733575,0.3304642057123263
3026,L1,2,7,0.3351412669755518,0.3983180300017033
3026,L1,3,1,0.8393769647926093,0.2501144143175487
3026,L1,3,2,0.1891587588004767,0.0552989828808248
3026,L1,3,3,0.0972824018914252,0.0489566521950004
3026,L1,3,4,0.1086306258104741,0.069406241794263
3026,L1,3,5,0.1205352843273431,0.0895932335252604
3026,L1,3,6,0.1648750951979309,0.146892044600869
3026,L1,3,7,0.24961350094527,0.2430211555612974
3026,L1,4,1,0.9335021652281285,0.3323866293942633
3026,L1,4,2,0.2609919904731214,0.1087486993921689
3026,L1,4,3,0.1565875341184437,0.0944462194423045
3026,L1,4,4,0.1476402056403458,0.1154752674797349
3026,L1,4,5,0.1817035001236945,0.17813246143012
3026,L1,4,6,0.2497493632137775,0.2679809528318318
3026,L1,4,7,0.3204312777146697,0.36786821182848
3026,L3,0,1,0.9020359609276056,0.3264155264728325
3026,L3,0,2,0.2511938755400479,0.0921768698810545
3026,L3,0,3,0.14303431189619,0.0879641164186572
3026,L3,0,4,0.1361950074322521,0.0992044165484176
3026,L3,0,5,0.1600701077841222,0.1447296444295851
3026,L3,0,6,0.2197362572886049,0.2095417487473527
3026,L3,0,7,0.2979440531693399,0.2995701880494425
3026,L3,1,1,0.857663482427597,0.3151899994897448
3026,L3,1,2,0.2493320634588599,0.1161133819375156
3026,L3,1,3,0.1517667002510279,0.1008005592325502
3026,L3,1,4,0.1545080310665071,0.14132580604435
3026,L3,1,5,0.2087625898886472,0.2123494767699359
3026,L3,1,6,0.2867498933337629,0.285222688489709
3026,L3,1,7,0.3651908143423498,0.3582709791246524
3026,L3,2,1,0.9000651562586427,0.2958168586916175
3026,L3,2,2,0.2404612567275762,0.1253542916710711
3026,L3,2,3,0.1579220339655876,0.1213685330157437
3026,L3,2,4,0.1607679025270044,0.1671885525392106
3026,L3,2,5,0.2115526769310236,0.2362501541198777
3026,L3,2,6,0.2769303108565509,0.326815662182067
3026,L3,2,7,0.3533843676559627,0.4024573970924724
3026,L3,3,1,0.8402638571336866,0.2526630851601766
3026,L3,3,2,0.1946242143400013,0.0641409012773805
3026,L3,3,3,0.1106530981138348,0.0716384620952212
3026,L3,3,4,0.1139285000041127,0.074783464354917
3026,L3,3,5,0.1319884299766272,0.102399322058051
3026,L3,3,6,0.1789524106774479,0.1549712089467639
3026,L3,4,1,0.9325283071026206,0.3327964334941107
3026,L3,4,2,0.2656945985741913,0.1163368076701794
3026,L3,4,3,0.1589488111902028,0.0944394399065616
3026,L3,4,4,0.151064218673855,0.1216232115941599
3026,L3,4,5,0.1889509631320834,0.1780537965376515
3026,L3,4,6,0.2540951817762106,0.2596647670446348
3026,L3,4,7,0.3210206042043865,0.342647283160982
3026,N1,0,1,0.8792426154017449,0.3156294916286941
3026,N1,0,2,0.2303623370826244,0.0718834692658471
3026,N1,0,3,0.1201174915768206,0.0626946488810964
3026,N1,0,4,0.1085838743951171,0.0754478199422852
3026,N1,0,5,0.1306036527268588,0.1088372146295122
3026,N1,0,6,0.1643208510708063,0.1413194465735727
3026,N1,0,7,0.1959406972397119,0.1804765930845717
3026,N1,1,1,0.8350268011912704,0.2903298646950524
3026,N1,1,2,0.2254751390311867,0.0970558394824177
3026,N1,1,3,0.1249828126281499,0.0720608289823059
3026,N1,1,4,0.1237800682894885,0.1060377998539238
3026,N1,1,5,0.1602270936127752,0.1504770687296371
3026,N1,1,6,0.1966373934876173,0.1821640835813254
3026,N1,1,7,0.2300197861157357,0.2185850009814766
3026,N1,2,1,0.88619867246598,0.2854905667876409
3026,N1,2,2,0.2177474543452263,0.1161743675874284
3026,N1,2,3,0.1288573904894292,0.1227990524335341
3026,N1,2,4,0.129587865434587,0.1799623616470778
3026,N1,2,5,0.168035822128877,0.2247133204513345
3026,N1,2,6,0.19298926461488,0.2243442592049433
3026,N1,3,1,0.8482732919976115,0.2499818846213916
3026,N1,3,2,0.1880942437797784,0.061441498662322
3026,N1,3,3,0.1134656029753387,0.0624729523912441
3026,N1,3,4,0.1055029589217156,0.0830540002500715
3026,N1,3,5,0.1380796913057565,0.1322534062153051
3026,N1,3,6,0.1912437175400555,0.1794423598888491
3026,N1,4,1,0.951182571798563,0.3486506916767309
3026,N1,4,2,0.2616714593954384,0.1175220479403645
3026,N1,4,3,0.1434301377739757,0.0847055672798767
