analysis,seed_base,endpoint,stratum,n,l1_spearman,n1_spearman,n1_minus_l1_spearman,l1_mae,n1_mae,n1_minus_l1_mae,mean_paired_abs_error_difference,stratifier_error_difference_spearman,status_reason
downsampling_bin,3026,T1,<=1.5,178,0.6340212930976701,0.2045526842984949,-0.42946860879917514,12.162809055817208,14.20574925788536,2.042940202068152,2.0429402020681544,,
downsampling_bin,3026,T1,"(1.5,2]",188,0.5349778854159329,0.37175256949975344,-0.1632253159161795,12.948170955504345,13.765030253757939,0.8168592982535934,0.816859298253596,,
downsampling_bin,3026,T1,>2,9,0.39999999999999997,-0.19999999999999998,-0.6,18.441746076930034,11.426598789002698,-7.015147287927336,-7.015147287927337,,
downsampling_correlation,3026,T1,ALL,375,0.5839569916941632,0.28216975765161,-0.30178723404255314,12.707231643367066,13.918102519229631,1.2108708758625646,1.2108708758625637,-0.09201655743082236,
occupancy_quartile,3026,T2,Q1,128,0.1509625068668742,-0.20743110236220472,-0.3583936092290789,1.3726403718710523,1.5806864655000246,0.2080460936289723,0.20804609362897236,,
occupancy_quartile,3026,T2,Q2,135,0.0960052677787533,0.07030045849185446,-0.025704809286898847,1.3524966322238423,0.923131621313819,-0.4293650109100233,-0.4293650109100234,,
occupancy_quartile,3026,T2,Q3,66,-0.027283164596597433,0.023901471662665697,0.05118463625926313,5.502013015844556,5.524116471300363,0.02210345545580772,0.022103455455807934,,
occupancy_quartile,3026,T2,Q4,46,0.09071847055195806,0.042738205365402404,-0.047980265186555654,47.508137154049244,52.000205929274216,4.492068775224972,4.492068775224965,,
occupancy_correlation,3026,T2,ALL,375,0.4487848446922289,0.06763204005006258,-0.38115280464216633,7.751445816217919,8.222804790170152,0.47135897395223214,0.47135897395223203,0.039948572078734784,
downsampling_bin,3026,T2,<=1.5,178,0.4688726488915652,0.15400631324280875,-0.31486633564875643,8.423665892403744,8.949815765881274,0.5261498734775305,0.5261498734775321,,
downsampling_bin,3026,T2,"(1.5,2]",189,0.4466556462077179,0.0058888355640875235,-0.4407668106436304,7.201496264803815,7.605549437417926,0.4040531726141108,0.4040531726141109,,
downsampling_bin,3026,T2,>2,8,0.3333333333333334,-0.3333333333333334,-0.6666666666666669,5.787107273241596,6.629468289369017,0.8423610161274206,0.8423610161274203,,
downsampling_correlation,3026,T2,ALL,375,0.4487848446922289,0.06763204005006258,-0.38115280464216633,7.751445816217919,8.222804790170152,0.47135897395223214,0.47135897395223203,0.009228115303061783,
