stage,seed_base,arm,pooling,target_name,endpoint,availability,status_reason,feature_dim,aggregation,n_test,spearman,pearson,natural_r2,rmse,mae,standardized_scale,standardized_fold_count,standardized_spearman_fold_mean,standardized_r2_fold_mean,standardized_r2_fold_sd
final,3026,L1,P0,max_resample_factor,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.3828041774874687,0.35539444241294826,0.11107900295989215,0.2790411121536006,0.20997311368228283,standardized_outer_train,5.0,0.3832646163114295,0.11157601334755467,0.03826412434445342
final,3026,L1,P0,max_resample_factor,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.4158399214915997,0.37809647480039227,0.12124098861393276,0.27967650316762993,0.21105606278621125,standardized_outer_train,5.0,0.4122271859988277,0.12075871959059589,0.04014471821800032
final,3026,L1,P0,native_spacing_x_mm,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.4769716039237418,0.5028384724661631,0.24722128856498482,0.12962164549796498,0.0919408653605791,standardized_outer_train,5.0,0.4824928140362168,0.24400869614736997,0.0621781161257573
final,3026,L1,P0,native_spacing_x_mm,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.44576096503981116,0.44989449756692446,0.2021876641081629,0.13201881634764945,0.0921340411937547,standardized_outer_train,5.0,0.4474637926479633,0.1953389999131952,0.02104345328846781
final,3026,L1,P0,native_spacing_x_mm,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.40978949983754026,0.4252083678903094,0.1760605978383185,0.13355821154313421,0.09239812594515955,standardized_outer_train,5.0,0.42297647044633174,0.17000806424804918,0.012256158817407591
final,3026,L1,P0,native_spacing_x_mm,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.38662070380508823,0.41044081327259485,0.15227058029851248,0.13467337578999208,0.09284334073654427,standardized_outer_train,5.0,0.3901625504822656,0.14877836687286394,0.07717666435225337
final,3026,L1,P0,native_spacing_x_mm,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.42978569315154536,0.4470955377989979,0.19443503270249468,0.13246801229468516,0.0923290933090094,standardized_outer_train,5.0,0.43577390690319434,0.18953353179536955,0.03246477949989144
final,3026,L1,P0,native_spacing_y_mm,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.4767951456614523,0.5028384668966431,0.24722128429848478,0.12962164556740174,0.09194086353909232,standardized_outer_train,5.0,0.48229383137721893,0.2440086927186321,0.06217811875780957
final,3026,L1,P0,native_spacing_y_mm,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.44567616062909926,0.44989451846403483,0.2021876824346086,0.13201881479717403,0.0921340392230002,standardized_outer_train,5.0,0.44745063251675143,0.19533901976135143,0.021043433572375658
final,3026,L1,P0,native_spacing_y_mm,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.4098715725002894,0.42520837022446056,0.1760605995895439,0.13355821127253273,0.09239812610813027,standardized_outer_train,5.0,0.42308523488148725,0.17000806729975168,0.01225615232360309
final,3026,L1,P0,native_spacing_y_mm,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.3867264548383813,0.4104410707635798,0.15227086223553488,0.13467335313056408,0.09284332753574485,standardized_outer_train,5.0,0.39028548324971507,0.14877858260128934,0.0771764854606974
final,3026,L1,P0,native_spacing_y_mm,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.4297673334073056,0.44709560658717956,0.19443510713954304,0.13246800619191815,0.09232908910149192,standardized_outer_train,5.0,0.43577879550629317,0.18953359059525615,0.032464729533025205
final,3026,L1,P0,native_spacing_z_mm,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.6145349587704181,0.6173198897241714,0.37503710268510804,0.43037603390978096,0.35511339400621544,standardized_outer_train,5.0,0.6119538598424116,0.37426126332282844,0.07001567186264583
final,3026,L1,P0,native_spacing_z_mm,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.47297266399146715,0.48036144143208526,0.1851818105591041,0.4916766778392943,0.3991035203242182,standardized_outer_train,5.0,0.47659627661775,0.18599300958141685,0.09595119076356992
final,3026,L1,P0,native_spacing_z_mm,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.4515459812618402,0.46804624776284975,0.1995129117981127,0.48571277740442004,0.3951584145072372,standardized_outer_train,5.0,0.4534805510789086,0.19891093754135136,0.03541034070506738
final,3026,L1,P0,native_spacing_z_mm,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.44581012816293386,0.46065968844907823,0.18862626779009029,0.49162351046917707,0.40847732996352903,standardized_outer_train,5.0,0.44506765307386764,0.18701963589270304,0.049409719524816605
final,3026,L1,P0,native_spacing_z_mm,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.4962159330466648,0.5065968168420462,0.23708952320810378,0.4748472499056681,0.38946316470029996,standardized_outer_train,5.0,0.4967745851532344,0.23654621158457495,0.030076348212032877
final,3026,L1,P0,padding_fraction,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.2781385365754522,0.26701722165459424,0.056008520064692924,0.08884572950146846,0.06906525276055563,standardized_outer_train,5.0,0.2861233101734657,0.0493269251892465,0.06277153655236604
final,3026,L1,P0,padding_fraction,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.22762153762726317,0.23877454361177342,0.04317266591596991,0.1048670273718297,0.08169015567753879,standardized_outer_train,5.0,0.22812933323685053,0.0390027579670902,0.06548679959864283
final,3026,L1,P0,padding_fraction,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.17995581551022294,0.17486392880997934,0.018205758406107386,0.1070470032589808,0.08282134589719531,standardized_outer_train,5.0,0.18794679350483307,0.01644074136673334,0.014474391929666468
final,3026,L1,P0,padding_fraction,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.18788519834578812,0.2131863208311853,0.034201330272305985,0.10686145766480076,0.08321214402943085,standardized_outer_train,5.0,0.18880791596640636,0.03275043137047792,0.05106711962150005
final,3026,L1,P0,padding_fraction,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.2184002720146816,0.2234605037268831,0.03789706866476905,0.10190530444926993,0.07919722459118014,standardized_outer_train,5.0,0.22275183822038888,0.03438021397338696,0.03106933678532167
final,3026,L1,P0,resize_anisotropy,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.10459114761227879,0.23354743874010853,0.031110838185190226,0.33176987376941514,0.2266714785265251,standardized_outer_train,5.0,0.12007002494944516,0.014054089198637218,0.14086896734602078
final,3026,L1,P0,resize_anisotropy,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.04992848028483282,0.14218541152074668,0.017295095522968595,0.334007663798181,0.22556442096840107,standardized_outer_train,5.0,0.04232418804612442,0.012239317376020522,0.023718397352123062
final,3026,L1,P0,resize_anisotropy,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.1518061147480089,0.24772654200791785,0.03934374092221238,0.3310893636652208,0.22184163156105485,standardized_outer_train,5.0,0.15119326825520668,0.026216129594728584,0.085547519424365
final,3026,L1,P0,resize_anisotropy,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.14480258310990943,0.21241643705061916,0.0399374932419545,0.3288236266083535,0.22030507771912633,standardized_outer_train,5.0,0.1529666089113764,0.03470234553470284,0.039174785351546206
final,3026,L1,P0,resize_anisotropy,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.11278208143875748,0.20896895732984808,0.031921791968081425,0.3314226319602926,0.22359565219377683,standardized_outer_train,5.0,0.11663852254053815,0.021802970426022278,0.061702993903135245
