stage,analysis_role,seed_base,arm,pooling,endpoint,analysis_scope,availability,status_reason,feature_dim,aggregation,n_test,spearman,pearson,natural_r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias,transformed_scale,transformed_fold_count,transformed_spearman_fold_mean,transformed_spearman_fold_sd,transformed_r2_fold_mean,transformed_r2_fold_sd,transformed_rmse_fold_mean,transformed_mae_fold_mean
final,primary,3026,L1,PVALID,macro,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,3026,L3,P0,T0,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.708267834793492,0.5045385127262977,0.21775634406673505,37.73656281032008,15.696666433390744,42.77656700591202,0.11782161469141217,0.29156230625504115,0.272433187093821,12.75737277724657,-8.044465890517708,transformed_outer_train,5.0,0.7089650566927486,0.07972493769073018,0.4984275113301503,0.09796735518001912,0.28348292632922506,0.21705044246294253
final,primary,3026,L3,P0,T1,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.6396957560587098,0.42951555637921285,0.14465205913667278,34.84765100981091,12.176423259999162,37.95576601319648,0.08188782179511117,0.11504019358656685,0.14568126362997683,8.29893342478513,-6.70545134650787,transformed_outer_train,5.0,0.6314081732665147,0.03057944318491489,0.3656725888890734,0.08492111751726136,0.388383096398936,0.2984421592070488
final,primary,3026,L3,P0,T2,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.524163613607919,0.17265723734430227,-0.0020487729881151218,31.13478535833752,7.566966224928664,31.345565059981617,0.006724386727141675,0.02897781986606976,0.029391221908111505,3.1620764183665595,-5.551103471261442,transformed_outer_train,5.0,0.5375000200190827,0.05592426298470558,0.2558696470509217,0.055466433452962115,0.5467488078589519,0.4269543894336875
final,primary,3026,L3,P0,T3,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.36218126989312094,0.3957386879873253,0.04139409217049983,12.149080528290296,3.131395800114121,12.477635535818399,0.02633151181447396,0.014003442822948459,0.046830190110803575,0.9704536749554542,-2.427235920914996,transformed_outer_train,5.0,0.36733873383949833,0.07372222901494174,0.13908188129785878,0.08054416525837224,0.56336627583874,0.44925277316631795
final,primary,3026,L3,P0,macro,primary_measurement_valid,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,1500.0,0.5585771185883104,0.37561249860928453,0.10043843059644814,28.967019926689705,9.642862929608173,31.138883403727128,0.058191333757034745,0.11239594063265655,0.12358396568567823,6.297209073838428,-5.682064157300504,transformed_outer_train,5.0,0.5613029959544611,0.03671777768469309,0.314762907142001,0.028114216847321565,0.44549527660646326,0.3479249410674992
final,primary,3026,L3,PLOCAL,T0,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.676779610877233,0.5331053874569747,0.24784550474412315,37.00367375432514,15.955867927410663,42.77656700591202,0.134954571057304,0.25630684140441423,0.269893963254768,12.820036794544194,-8.054400737962602,transformed_outer_train,5.0,0.6689706292326372,0.10083403521327781,0.455734145318132,0.13287955077073865,0.29447782760166463,0.22491892068879132
final,primary,3026,L3,PLOCAL,T1,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.6648219365115485,0.36585175484315974,0.07447105943160803,36.24908956925708,11.71121165681212,37.95576601319648,0.04496487946906466,0.05362764400927244,0.08472264414712816,8.41335671719705,-7.661643203816071,transformed_outer_train,5.0,0.6616193040214948,0.044286499867405585,0.4039785079646029,0.07130305074670362,0.37707338307709487,0.28623279507580274
final,primary,3026,L3,PLOCAL,T2,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.5134185914210946,0.20309065766725765,-0.00041512718855751807,31.109395397163066,7.476673200940681,31.345565059981617,0.00753438843315237,0.01582465021002786,0.025548005766975163,2.8720652280675742,-5.875615311408529,transformed_outer_train,5.0,0.5282532281386749,0.051207118847892134,0.25919911712279664,0.03231537322165226,0.5453870420323204,0.42542251186038327
final,primary,3026,L3,PLOCAL,T3,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.32433009013142,0.3228843410056335,0.02261755213628347,12.267487606880412,3.164244204363063,12.477635535818399,0.016841967240887486,0.013049598868966785,0.03688464131471988,1.0110086576147481,-2.422133055306706,transformed_outer_train,5.0,0.338317232509535,0.07115259057916044,0.08911209224805816,0.11670129809271503,0.5796495781104598,0.4595898796433985
final,primary,3026,L3,PLOCAL,macro,primary_measurement_valid,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,1500.0,0.544837557235324,0.3562330352432564,0.08612974728086428,29.157411581906427,9.576999247381632,31.138883403727128,0.05107395155010213,0.08470218362317034,0.10426231362089779,6.2791168493558915,-6.003448077123477,transformed_outer_train,5.0,0.5492900984755855,0.04363692072825016,0.30200596566339744,0.055375794831617135,0.44914695770538493,0.3490410268170939
final,primary,3026,L3,PLOCAL+GLOBAL,T0,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.6880666742519059,0.5005946690898935,0.21065938482421231,37.90736007025839,16.146274987500117,42.77656700591202,0.11382883846150325,0.33346420067504146,0.2890751960042152,12.455535006323773,-7.870492535478448,transformed_outer_train,5.0,0.6727331765958513,0.1008051702185056,0.46549389004588165,0.11701325672071741,0.2920793567881212,0.2228212429037284
final,primary,3026,L3,PLOCAL+GLOBAL,T1,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.6397003072021846,0.5882499426627552,0.28020252859806494,31.9673959283894,11.923184825090265,37.95576601319648,0.15777234169704388,0.15574484877263106,0.23215002736918888,7.141210023006026,-6.344525388735492,transformed_outer_train,5.0,0.6365704798993983,0.06966131955958497,0.3592295671432603,0.14992462430748352,0.3896407442298912,0.29749311979554205
final,primary,3026,L3,PLOCAL+GLOBAL,T2,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.5258129480031858,0.20691925879724635,0.008021493592504925,30.977943040336452,7.358260019980577,31.345565059981617,0.011728039323639493,0.0247397905618066,0.032546097670849566,3.092301503285655,-5.592556985721796,transformed_outer_train,5.0,0.5339111728409683,0.05194111996052999,0.2695257199072266,0.04347516871837112,0.5414053105318899,0.4211035533196448
final,primary,3026,L3,PLOCAL+GLOBAL,T3,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.36588396665627354,0.44570438246377136,0.05346033339267797,12.07237644921192,3.1103069352728925,12.477635535818399,0.032478836670869204,0.0137344360390446,0.05223388396800827,0.9827931532092525,-2.3956343193675234,transformed_outer_train,5.0,0.3663893603085564,0.06922668290840864,0.12708479195252603,0.09579633310744692,0.5669830019867058,0.4492188790224964
final,primary,3026,L3,PLOCAL+GLOBAL,macro,primary_measurement_valid,AVAILABLE,,384.0,mean_of_pooled_endpoint_metrics,1500.0,0.5548659740283874,0.4353670632534166,0.13808593510186504,28.231268872049043,9.634506691960963,31.138883403727128,0.07895201403826395,0.13192081901213093,0.1515013012530655,5.917959921456177,-5.550802307325815,transformed_outer_train,5.0,0.5524010474111936,0.03455961819789035,0.30533349226222367,0.03775195836247075,0.4475271033841521,0.3476591987603529
final,primary,3026,L3,PORACLE,T0,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,3026,L3,PORACLE,T1,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,3026,L3,PORACLE,T2,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,3026,L3,PORACLE,T3,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,3026,L3,PORACLE,macro,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,3026,L3,PVALID,T0,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,3026,L3,PVALID,T1,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,3026,L3,PVALID,T2,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,3026,L3,PVALID,T3,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,3026,L3,PVALID,macro,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
