task,fold,seed,arm,view,target,selected_C,validation_auroc,validation_threshold,train_rows,validation_rows,feature_dim,population,clinical_contract,timing,model,selected_alpha,validation_mse,subgroup
profile_binary,2,2026.0,LOCAL0,long_T0_T3,HER2,0.1,0.5717948717948718,0.30677973223799865,525,121,768,,,,,,,
profile_multiclass,2,2026.0,LOCAL0,long_T0_T3,subtype_4class,0.0001,0.5615357549263059,,525,121,768,,,,,,,
profile_binary,3,2026.0,LOCAL0,T0,HR,0.0001,0.5102663706992231,0.49314486524725465,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,T0,HER2,10.0,0.5340501792114696,0.19560681353731751,526,121,192,,,,,,,
profile_multiclass,3,2026.0,LOCAL0,T0,subtype_4class,100.0,0.5282018028154719,,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,T1,HR,100.0,0.46226415094339623,0.546411670508095,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,T1,HER2,100.0,0.6562724014336917,0.5328497301723094,526,121,192,,,,,,,
profile_multiclass,3,2026.0,LOCAL0,T1,subtype_4class,100.0,0.5434512915371761,,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,T2,HR,1.0,0.5929522752497226,0.4027859514250575,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,T2,HER2,0.1,0.5139784946236559,0.5384747653172718,526,121,192,,,,,,,
profile_multiclass,3,2026.0,LOCAL0,T2,subtype_4class,10.0,0.5879448841880702,,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,T3,HR,100.0,0.6029411764705883,0.5908713517228875,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,T3,HER2,0.001,0.5523297491039427,0.45265679258400165,526,121,192,,,,,,,
profile_multiclass,3,2026.0,LOCAL0,T3,subtype_4class,0.001,0.5898939482080079,,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL0,long_T0_T1,HR,1.0,0.4944506104328524,0.5803642431071881,526,121,384,,,,,,,
profile_binary,3,2026.0,LOCAL0,long_T0_T1,HER2,0.001,0.5587813620071684,0.5201575770344473,526,121,384,,,,,,,
profile_multiclass,3,2026.0,LOCAL0,long_T0_T1,subtype_4class,10.0,0.5048936181310194,,526,121,384,,,,,,,
profile_binary,3,2026.0,LOCAL0,long_T0_T2,HR,1.0,0.5466148723640399,0.7406251663776343,526,121,576,,,,,,,
profile_binary,3,2026.0,LOCAL0,long_T0_T2,HER2,10.0,0.535483870967742,0.05710144619747285,526,121,576,,,,,,,
profile_multiclass,3,2026.0,LOCAL0,long_T0_T2,subtype_4class,1.0,0.5095739602592434,,526,121,576,,,,,,,
profile_binary,3,2026.0,LOCAL0,long_T0_T3,HR,1.0,0.5302441731409544,0.38542668117675266,526,121,768,,,,,,,
profile_binary,3,2026.0,LOCAL0,long_T0_T3,HER2,0.0001,0.5415770609318996,0.5536944903789486,526,121,768,,,,,,,
profile_multiclass,3,2026.0,LOCAL0,long_T0_T3,subtype_4class,0.001,0.5154523724140637,,526,121,768,,,,,,,
profile_binary,4,2026.0,LOCAL0,T0,HR,100.0,0.5732519422863485,0.47039622841189416,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL0,T0,HER2,0.01,0.6559139784946237,0.5719491678537039,526,121,192,,,,,,,
profile_multiclass,4,2026.0,LOCAL0,T0,subtype_4class,0.01,0.5983102441522316,,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL0,T1,HR,0.001,0.5477247502774696,0.5258224133778872,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL0,T1,HER2,0.001,0.6541218637992832,0.49881539743550474,526,121,192,,,,,,,
profile_multiclass,4,2026.0,LOCAL0,T1,subtype_4class,0.001,0.554387230573915,,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL0,T2,HR,0.01,0.560488346281909,0.3848712632187594,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL0,T2,HER2,0.1,0.6476702508960573,0.5922065505772244,526,121,192,,,,,,,
profile_multiclass,4,2026.0,LOCAL0,T2,subtype_4class,0.01,0.5939626372590102,,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL0,T3,HR,0.0001,0.5122086570477247,0.49547157648475804,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL0,T3,HER2,0.01,0.6652329749103943,0.47849552773224774,526,121,192,,,,,,,
profile_multiclass,4,2026.0,LOCAL0,T3,subtype_4class,0.001,0.5961010154743414,,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL0,long_T0_T1,HR,0.1,0.5541065482796892,0.5536499081758629,526,121,384,,,,,,,
profile_binary,4,2026.0,LOCAL0,long_T0_T1,HER2,0.0001,0.6455197132616487,0.5136053239296196,526,121,384,,,,,,,
profile_multiclass,4,2026.0,LOCAL0,long_T0_T1,subtype_4class,0.001,0.5853370389630511,,526,121,384,,,,,,,
profile_binary,4,2026.0,LOCAL0,long_T0_T2,HR,0.1,0.5502219755826858,0.5,526,121,576,,,,,,,
profile_binary,4,2026.0,LOCAL0,long_T0_T2,HER2,0.01,0.6408602150537634,0.5454340554579012,526,121,576,,,,,,,
profile_multiclass,4,2026.0,LOCAL0,long_T0_T2,subtype_4class,0.01,0.5593201075644272,,526,121,576,,,,,,,
profile_binary,4,2026.0,LOCAL0,long_T0_T3,HR,0.01,0.5485571587125416,0.40680743477299125,526,121,768,,,,,,,
profile_binary,4,2026.0,LOCAL0,long_T0_T3,HER2,0.01,0.6397849462365591,0.6486937316210832,526,121,768,,,,,,,
profile_multiclass,4,2026.0,LOCAL0,long_T0_T3,subtype_4class,0.01,0.564649432155202,,526,121,768,,,,,,,
profile_binary,0,2026.0,LOCAL3,T0,HR,100.0,0.5102663706992231,0.7634538851866907,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL3,T0,HER2,0.001,0.6401433691756272,0.5229953195297308,525,121,192,,,,,,,
profile_multiclass,0,2026.0,LOCAL3,T0,subtype_4class,1.0,0.5512339521010972,,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL3,T1,HR,1.0,0.5213651498335182,0.4118139638689079,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL3,T1,HER2,0.001,0.5799283154121864,0.5498410444606766,525,121,192,,,,,,,
profile_multiclass,0,2026.0,LOCAL3,T1,subtype_4class,0.0001,0.5589460970423366,,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL3,T2,HR,0.001,0.5962819089900111,0.5025670562159191,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL3,T2,HER2,0.01,0.6458781362007169,0.5095860245845575,525,121,192,,,,,,,
profile_multiclass,0,2026.0,LOCAL3,T2,subtype_4class,0.1,0.5807431080427122,,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL3,T3,HR,0.001,0.5926748057713651,0.4933656644175591,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL3,T3,HER2,0.01,0.6584229390681003,0.52315819476836,525,121,192,,,,,,,
profile_multiclass,0,2026.0,LOCAL3,T3,subtype_4class,0.0001,0.5843543666416007,,525,121,192,,,,,,,
profile_binary,0,2026.0,LOCAL3,long_T0_T1,HR,1.0,0.5011098779134295,0.33090369385917745,525,121,384,,,,,,,
profile_binary,0,2026.0,LOCAL3,long_T0_T1,HER2,0.001,0.6483870967741935,0.5265427188696589,525,121,384,,,,,,,
profile_multiclass,0,2026.0,LOCAL3,long_T0_T1,subtype_4class,0.001,0.5673985867429707,,525,121,384,,,,,,,
profile_binary,0,2026.0,LOCAL3,long_T0_T2,HR,0.001,0.5169256381798002,0.5556230576832274,525,121,576,,,,,,,
profile_binary,0,2026.0,LOCAL3,long_T0_T2,HER2,0.01,0.6426523297491039,0.6490963013469044,525,121,576,,,,,,,
profile_multiclass,0,2026.0,LOCAL3,long_T0_T2,subtype_4class,0.01,0.5706875427063453,,525,121,576,,,,,,,
profile_binary,0,2026.0,LOCAL3,long_T0_T3,HR,100.0,0.553274139844617,0.6919465443630991,525,121,768,,,,,,,
profile_binary,0,2026.0,LOCAL3,long_T0_T3,HER2,0.001,0.6555555555555556,0.5730185883373141,525,121,768,,,,,,,
profile_multiclass,0,2026.0,LOCAL3,long_T0_T3,subtype_4class,10.0,0.6071845756915029,,525,121,768,,,,,,,
profile_binary,1,2026.0,LOCAL3,T0,HR,0.1,0.5374583795782464,0.5803331403650971,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL3,T0,HER2,0.0001,0.46996336996336996,0.5432081973218768,525,121,192,,,,,,,
profile_multiclass,1,2026.0,LOCAL3,T0,subtype_4class,100.0,0.5595295978717458,,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL3,T1,HR,0.0001,0.5130410654827968,0.5182085412830005,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL3,T1,HER2,0.01,0.504029304029304,0.6166499955130396,525,121,192,,,,,,,
profile_multiclass,1,2026.0,LOCAL3,T1,subtype_4class,100.0,0.5207266178314398,,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL3,T2,HR,0.1,0.5477247502774696,0.3797649243989965,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL3,T2,HER2,0.1,0.5838827838827839,0.4817274823423336,525,121,192,,,,,,,
profile_multiclass,1,2026.0,LOCAL3,T2,subtype_4class,0.01,0.5552258996688448,,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL3,T3,HR,0.0001,0.5346836847946727,0.4986071882977541,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL3,T3,HER2,0.1,0.5673992673992674,0.5530293103641399,525,121,192,,,,,,,
profile_multiclass,1,2026.0,LOCAL3,T3,subtype_4class,1.0,0.559114244695159,,525,121,192,,,,,,,
profile_binary,1,2026.0,LOCAL3,long_T0_T1,HR,1.0,0.5418978912319645,0.669127796615329,525,121,384,,,,,,,
profile_binary,1,2026.0,LOCAL3,long_T0_T1,HER2,0.01,0.5285714285714286,0.6111320320163324,525,121,384,,,,,,,
profile_multiclass,1,2026.0,LOCAL3,long_T0_T1,subtype_4class,1.0,0.5506415171437653,,525,121,384,,,,,,,
profile_binary,1,2026.0,LOCAL3,long_T0_T2,HR,100.0,0.599889012208657,0.9884993134363348,525,121,576,,,,,,,
profile_binary,1,2026.0,LOCAL3,long_T0_T2,HER2,0.01,0.5512820512820513,0.607148213796289,525,121,576,,,,,,,
profile_multiclass,1,2026.0,LOCAL3,long_T0_T2,subtype_4class,100.0,0.5656420754475431,,525,121,576,,,,,,,
profile_binary,1,2026.0,LOCAL3,long_T0_T3,HR,10.0,0.5593784683684795,0.38417574995057224,525,121,768,,,,,,,
profile_binary,1,2026.0,LOCAL3,long_T0_T3,HER2,0.01,0.5619047619047619,0.5217098805179958,525,121,768,,,,,,,
profile_multiclass,1,2026.0,LOCAL3,long_T0_T3,subtype_4class,1.0,0.5573758304211813,,525,121,768,,,,,,,
profile_binary,2,2026.0,LOCAL3,T0,HR,0.0001,0.5607658157602664,0.49262894271785423,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL3,T0,HER2,10.0,0.5432234432234432,0.4427287965316449,525,121,192,,,,,,,
profile_multiclass,2,2026.0,LOCAL3,T0,subtype_4class,0.01,0.5234487571197526,,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL3,T1,HR,0.0001,0.5208102108768036,0.504980472953016,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL3,T1,HER2,100.0,0.5380952380952381,0.5679147240030973,525,121,192,,,,,,,
profile_multiclass,2,2026.0,LOCAL3,T1,subtype_4class,0.001,0.5448628764816994,,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL3,T2,HR,0.01,0.5180355160932297,0.39123215598628147,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL3,T2,HER2,1.0,0.5728937728937729,0.37330828603231975,525,121,192,,,,,,,
profile_multiclass,2,2026.0,LOCAL3,T2,subtype_4class,0.001,0.560889236188529,,525,121,192,,,,,,,
