seed,arm,view,target,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
2026,LOCAL3,T1,HR,808,453.0,355.0,0.5155116127226939,0.5762162450085371,0.5175543326182259,0.26968134437453695
2026,LOCAL3,T1,subtype_4class,808,,,0.5123376704226128,0.2565330379808074,0.2558012032637188,
2026,LOCAL3,T2,HER2,808,201.0,607.0,0.5722294622439696,0.2915264450724538,0.548870146794856,0.2522582732538014
2026,LOCAL3,T2,HR,808,453.0,355.0,0.5475670801853061,0.6122650471614275,0.5400242514690794,0.2504485997279509
2026,LOCAL3,T2,subtype_4class,808,,,0.5472147163683428,0.28733228926437543,0.29873998460102913,
2026,LOCAL3,T3,HER2,808,201.0,607.0,0.5428540985353301,0.2837824212751215,0.531985869663216,0.2508913857546804
2026,LOCAL3,T3,HR,808,453.0,355.0,0.4743836084942325,0.5563564177743375,0.484917451730249,0.28107068135382546
2026,LOCAL3,T3,subtype_4class,808,,,0.5405797453898794,0.2747478940744211,0.26791745099837105,
2026,LOCAL3,long_T0_T1,HER2,808,201.0,607.0,0.5545173637578171,0.3004974116349242,0.5445056431188375,0.24936077538769022
2026,LOCAL3,long_T0_T1,HR,808,453.0,355.0,0.4998041227497435,0.5512304062022603,0.5008425830923733,0.31324989156485217
2026,LOCAL3,long_T0_T1,subtype_4class,808,,,0.5161815153156558,0.2553301134506524,0.27956526561202144,
2026,LOCAL3,long_T0_T2,HER2,808,201.0,607.0,0.5637053611678019,0.31930384811848167,0.545198226331276,0.25062198746622244
2026,LOCAL3,long_T0_T2,HR,808,453.0,355.0,0.538441687653515,0.5835325114169564,0.5285856418866399,0.2999694112672756
2026,LOCAL3,long_T0_T2,subtype_4class,808,,,0.5522352042659404,0.2778226206258806,0.31693391252521547,
2026,LOCAL3,long_T0_T3,HER2,808,201.0,607.0,0.5516404796446105,0.3093233913705016,0.5378830722827379,0.2523125465976857
2026,LOCAL3,long_T0_T3,HR,808,453.0,355.0,0.5402916394614931,0.5952183215303632,0.5271647545316046,0.3116564905166034
2026,LOCAL3,long_T0_T3,subtype_4class,808,,,0.5516533711124452,0.28176116253356276,0.3041631073963603,
3026,LOCAL0,T0,HER2,808,201.0,607.0,0.5177243928627047,0.2639344205107401,0.502807215979411,0.26801408278256
3026,LOCAL0,T0,HR,808,453.0,355.0,0.5347946398035008,0.5749108827111553,0.5251593445885023,0.26510380772128733
3026,LOCAL0,T0,subtype_4class,808,,,0.5219130033961535,0.26647225598408064,0.243855244279997,
3026,LOCAL0,T1,HER2,808,201.0,607.0,0.5463129164720057,0.2937445908716171,0.5233552173235962,0.24957323538919943
3026,LOCAL0,T1,HR,808,453.0,355.0,0.5102446911046855,0.5647804892480639,0.516944936728539,0.26740027296025537
3026,LOCAL0,T1,subtype_4class,808,,,0.5255529544777818,0.2754807827470179,0.27315981792267613,
3026,LOCAL0,T2,HER2,808,201.0,607.0,0.5386084404993156,0.3023195769260959,0.5222651159359709,0.26790617638217196
3026,LOCAL0,T2,HR,808,453.0,355.0,0.5453657929919472,0.6045625301278621,0.5274414700121257,0.2734791698894041
3026,LOCAL0,T2,subtype_4class,808,,,0.5411939249282256,0.2838764163709982,0.295118723436101,
3026,LOCAL0,T3,HER2,808,201.0,607.0,0.5572139303482587,0.2838855347475272,0.5438130599063988,0.2624810344114021
3026,LOCAL0,T3,HR,808,453.0,355.0,0.523328047756739,0.5844020263658596,0.5055560737493393,0.27060476492818014
3026,LOCAL0,T3,subtype_4class,808,,,0.529911753405605,0.27068734956099383,0.2716781642053484,
3026,LOCAL0,long_T0_T1,HER2,808,201.0,607.0,0.5395592056193497,0.2815618020520957,0.5488414599162343,0.2596260503197133
3026,LOCAL0,long_T0_T1,HR,808,453.0,355.0,0.5246525510679974,0.5780814953002602,0.5261884774430245,0.2849815364194308
