population,seed,arm,timing,n,mse,r2,pearson,spearman,clinical_auroc,corrected_auroc,delta_auroc,clinical_auprc,corrected_auprc,delta_auprc,clinical_brier,corrected_brier,brier_improvement
ftv_complete_375,3026,LOCAL0,T2,375,0.2067038440473889,-0.016402622737478056,0.11349864081597483,0.07309501343668422,0.6966723842195541,0.5974442538593482,-0.09922813036020595,0.5362125873999827,0.38848503566188125,-0.14772755173810143,0.2430950945429407,0.20657189655061298,0.03652319799232773
ftv_complete_375,3026,LOCAL0,T3,375,0.21128099675354975,-0.038909364383488576,0.10825715550596567,0.06066322228504104,0.6966723842195541,0.5843739279588336,-0.11229845626072055,0.5362125873999827,0.36709296266583785,-0.16911962473414482,0.2430950945429407,0.21090820068438546,0.03218689385855525
ftv_complete_375,3026,LOCAL3,T0,375,0.20900229415218427,-0.027704544699846956,-0.05269793886604675,-0.02531790025234972,0.6966723842195541,0.5197598627787307,-0.17691252144082348,0.5362125873999827,0.31594101874739156,-0.22027156865259112,0.2430950945429407,0.20900229415218427,0.034092800390756434
ftv_complete_375,3026,LOCAL3,T1,375,0.21032220648020566,-0.03419480789822704,0.025472740881159257,0.013786780496846203,0.6966723842195541,0.5315608919382504,-0.16511149228130373,0.5362125873999827,0.3651580745995457,-0.171054512800437,0.2430950945429407,0.21031509456581274,0.032779999977127966
ftv_complete_375,3026,LOCAL3,T2,375,0.20613302148935872,-0.013595778250509616,0.100562783038945,0.08238640145481922,0.6966723842195541,0.6,-0.09667238421955415,0.5362125873999827,0.3506698948823014,-0.1855426925176813,0.2430950945429407,0.20613083263002463,0.036964261912916074
ftv_complete_375,3026,LOCAL3,T3,375,0.20852638286257372,-0.025364397204381772,0.13110612101367966,0.08205223370716104,0.6966723842195541,0.5957118353344768,-0.10096054888507733,0.5362125873999827,0.3809656209035459,-0.15524696649643677,0.2430950945429407,0.20821433605064738,0.03488075849229333
full_808,2026,LOCAL0,T0,808,0.2160351001898304,-0.007445384160188695,0.09963825462343891,0.19681416551257272,0.6796145318096538,0.6123759167661607,-0.06723861504349316,0.5424197284072237,0.47821949253769064,-0.0642002358695331,0.22583847913185245,0.21603503889130948,0.009803440240542971
full_808,2026,LOCAL0,T1,808,0.21401432891692276,0.0019781617800103124,0.12979929958437691,0.2180969093327852,0.6796145318096538,0.6244311785775201,-0.05518335323213375,0.5424197284072237,0.483262268497759,-0.05915745990946475,0.22583847913185245,0.2140024270509959,0.011836052080856557
full_808,2026,LOCAL0,T2,808,0.21987519928007387,-0.025353076474002867,0.12023607372905785,0.19372569350292018,0.6796145318096538,0.6207879924953096,-0.05882653931434423,0.5424197284072237,0.4769700576026514,-0.06544967080457237,0.22583847913185245,0.21960325380484097,0.006235225327011484
full_808,2026,LOCAL0,T3,808,0.2143069022691289,0.0006137924115633409,0.1464618844598875,0.20099089069378523,0.6796145318096538,0.6263346409687872,-0.053279890840866595,0.5424197284072237,0.49698974465706236,-0.045429983750161385,0.22583847913185245,0.21427681041024144,0.011561668721611018
full_808,2026,LOCAL3,T0,808,0.21519988071579155,-0.003550470772772485,0.10114098288161838,0.20900796279479472,0.6796145318096538,0.6113798396725225,-0.06823469213713129,0.5424197284072237,0.47823300376263866,-0.06418672464458508,0.22583847913185245,0.2151941966114087,0.010644282520443749
full_808,2026,LOCAL3,T1,808,0.21479023293620736,-0.0016401434032342621,0.12290998064628532,0.2151572108288916,0.6796145318096538,0.6175063960429814,-0.0621081357666724,0.5424197284072237,0.480030813683629,-0.06238891472359476,0.22583847913185245,0.21476422181359953,0.011074257318252928
full_808,2026,LOCAL3,T2,808,0.21906229676330144,-0.021562234672948488,0.13348798403282042,0.19891180369904643,0.6796145318096538,0.6244004775712093,-0.0552140542384445,0.5424197284072237,0.4763337278484474,-0.06608600055877634,0.22583847913185245,0.21892467880350486,0.006913800328347597
full_808,2026,LOCAL3,T3,808,0.21940237029636123,-0.023148113591953123,0.13228876122101352,0.17884727375962953,0.6796145318096538,0.6185468190346239,-0.06106771277502987,0.5424197284072237,0.48228293439175807,-0.06013679401546568,0.22583847913185245,0.21907190735758772,0.006766571774264735
full_808,3026,LOCAL0,T0,808,0.22272233790518292,-0.03863025533711295,0.07209731933545066,0.16058614486444794,0.6796145318096538,0.6070066518847006,-0.07260787992495321,0.5424197284072237,0.4493913867636923,-0.09302834164353146,0.22583847913185245,0.22163854647686057,0.004199932654991884
full_808,3026,LOCAL0,T1,808,0.21229567198935356,0.009992845445364162,0.13849839245197848,0.23215300285899937,0.6796145318096538,0.6332389561657854,-0.046375575643868405,0.5424197284072237,0.4904176578863743,-0.05200207052084943,0.22583847913185245,0.21228339066613847,0.013555088465713988
full_808,3026,LOCAL0,T2,808,0.21210110193900955,0.010900191978138851,0.1510749309656108,0.23692806368779973,0.6796145318096538,0.6359133549377451,-0.043701176871908665,0.5424197284072237,0.5008571925605978,-0.04156253584662595,0.22583847913185245,0.21204461401789593,0.013793865113956527
full_808,3026,LOCAL0,T3,808,0.21219045833614347,0.010483492609570266,0.15700598961540832,0.2291439677120548,0.6796145318096538,0.6373460685655807,-0.04226846324407307,0.5424197284072237,0.5003964314744082,-0.04202329693281559,0.22583847913185245,0.21212870402135264,0.013709775110499811
full_808,3026,LOCAL3,T0,808,0.21352440311785345,0.00426285294556461,0.1187476162133002,0.21908168074934553,0.6796145318096538,0.624806413099096,-0.054808118710557796,0.5424197284072237,0.48819508979893095,-0.0542246386082928,0.22583847913185245,0.2135219463132348,0.012316532818617665
full_808,3026,LOCAL3,T1,808,0.21072642829401786,0.01731076422846589,0.15550331682403945,0.24417321967704803,0.6796145318096538,0.6419239297288079,-0.03769060208084596,0.5424197284072237,0.49768235165402586,-0.04473737675319789,0.22583847913185245,0.21071057010530314,0.015127909026549313
full_808,3026,LOCAL3,T2,808,0.21019060130601122,0.019809508299690415,0.17063433541382594,0.24536406742215122,0.6796145318096538,0.6444550571379839,-0.03515947467166991,0.5424197284072237,0.509142360395857,-0.033277368011366715,0.22583847913185245,0.2101207840859239,0.015717695045928542
full_808,3026,LOCAL3,T3,808,0.20967936324698322,0.0221935858052541,0.18267903390293136,0.24446133754206179,0.6796145318096538,0.6484325430666894,-0.031181988742964406,0.5424197284072237,0.511617544325951,-0.030802184081272777,0.22583847913185245,0.2095886020383469,0.01624987709350556
