seed,arm,timing,subgroup,model,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
2026,LOCAL0,T2,HR-/HER2-,M,287,124,163,0.5052938848208984,0.45106475033694654,0.49092123490995454,0.3256906867559715
2026,LOCAL0,T2,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
2026,LOCAL0,T2,HR-/HER2-,remaining_clinical+M,287,124,163,0.5375519493370275,0.47258863326945133,0.5009152978428656,0.2936485845025628
2026,LOCAL0,T3,HER2+,M,201,94,107,0.5484191688208392,0.5083648678672086,0.5543845694969178,0.3125497550827122
2026,LOCAL0,T3,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
2026,LOCAL0,T3,HER2+,remaining_clinical+M,201,94,107,0.582123682640684,0.5568688448312877,0.5563233247166435,0.3663169715344176
2026,LOCAL0,T3,HR+/HER2-,M,320,57,263,0.46641318124207853,0.1704917620513682,0.47248349009405644,0.2277394837359778
2026,LOCAL0,T3,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
2026,LOCAL0,T3,HR+/HER2-,remaining_clinical+M,320,57,263,0.5804816223067173,0.24719609325453365,0.5540657727970115,0.2086983986729308
2026,LOCAL0,T3,HR-/HER2-,M,287,124,163,0.48842271917672675,0.42861932013456006,0.4796160696615872,0.3491288912771799
2026,LOCAL0,T3,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
2026,LOCAL0,T3,HR-/HER2-,remaining_clinical+M,287,124,163,0.5187512368889768,0.46081547087385666,0.501880071244805,0.3094623971464662
2026,LOCAL3,T0,HER2+,M,201,94,107,0.5888844700735733,0.5853923561566516,0.5817757009345794,0.24583922422362267
2026,LOCAL3,T0,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
2026,LOCAL3,T0,HER2+,remaining_clinical+M,201,94,107,0.6606681248757208,0.65007274287347,0.6249751441638496,0.24652489424078322
2026,LOCAL3,T0,HR+/HER2-,M,320,57,263,0.5302514842238677,0.18548878096014854,0.49032752985124406,0.1951435117390054
2026,LOCAL3,T0,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
2026,LOCAL3,T0,HR+/HER2-,remaining_clinical+M,320,57,263,0.6004269228203589,0.26440100848410575,0.5584684143819625,0.16701590054694251
2026,LOCAL3,T0,HR-/HER2-,M,287,124,163,0.4609143083316841,0.4167000530130603,0.47330793587967546,0.31694225897902195
